energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.13354950,0.01562144,0.51053371,0.49627143,0.63133543,1.25141262,1.04094107,0.03433470,1.00088074
-5.99399700,3.15317306,0.01599012,0.51080654,0.50335138,0.64116547,1.27451734,1.03266939,0.03545853,1.01183030
-5.98799400,3.18019058,0.01634290,0.51225630,0.51220357,0.65137565,1.30133613,1.02754974,0.03643402,1.02561686
-5.98199100,3.21428732,0.01667218,0.51481350,0.52278748,0.66185280,1.33156076,1.02554952,0.03724467,1.04217474
-5.97598799,3.25485150,0.01697006,0.51835507,0.53500407,0.67245549,1.36475299,1.02651188,0.03787651,1.06133756
-5.96998499,3.30099522,0.01722852,0.52271083,0.54869659,0.68301767,1.40035675,1.03016607,0.03831846,1.08284002
-5.96398199,3.35158623,0.01743971,0.52767187,0.56365369,0.69335357,1.43771534,1.03614208,0.03856278,1.10632358
-5.95797899,3.40528915,0.01759622,0.53300036,0.57961449,0.70326343,1.47609296,1.04398860,0.03860524,1.13134582
-5.95197599,3.46061461,0.01769137,0.53844026,0.59627577,0.71254024,1.51469986,1.05319372,0.03844537,1.15739327
-5.94597299,3.51597469,0.01771943,0.54372871,0.61330091,0.72097701,1.55272014,1.06320741,0.03808647,1.18389738
-5.93996998,3.56974234,0.01767589,0.54860743,0.63033026,0.72837445,1.58934108,1.07346496,0.03753556,1.21025302
-5.93396698,3.62031300,0.01755765,0.55283370,0.64699273,0.73454880,1.62378299,1.08341043,0.03680325,1.23583907
-5.92796398,3.66616587,0.01736312,0.55619061,0.66291808,0.73933959,1.65532821,1.09251925,0.03590344,1.26004019
-5.92196098,3.70592280,0.01709236,0.55849608,0.67774951,0.74261696,1.68334827,1.10031913,0.03485302,1.28226916
-5.91595798,3.73840244,0.01674706,0.55961032,0.69115613,0.74428837,1.70732800,1.10640847,0.03367139,1.30198885
-5.90995498,3.76266774,0.01633057,0.55944155,0.70284478,0.74430436,1.72688559,1.11047178,0.03238003,1.31873297
-5.90395198,3.77806475,0.01584773,0.55794966,0.71257077,0.74266311,1.74178770,1.11229125,0.03100197,1.33212478
