energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,5.87094982,1.64079317,0.46203178,0.01116551,0.67958027,0.17783750,2.83194630,0.64294662,0.66015432
-5.99399700,5.57424371,1.51060283,0.43525143,0.01106769,0.67725726,0.16533009,2.64201821,0.63422517,0.64922391
-5.98799400,5.28731609,1.38610756,0.40987491,0.01093290,0.67430560,0.15342788,2.45941972,0.62571846,0.63838353
-5.98199100,5.01141576,1.26800702,0.38598989,0.01076147,0.67053274,0.14221641,2.28525342,0.61729840,0.62748963
-5.97598799,4.74751230,1.15681990,0.36364796,0.01055402,0.66577950,0.13176506,2.12039708,0.60884244,0.61642385
-5.96998499,4.49632111,1.05289541,0.34286832,0.01031158,0.65992530,0.12212724,1.96551265,0.60024134,0.60509765
-5.96398199,4.25833580,0.95642845,0.32364209,0.01003554,0.65289362,0.11334100,1.82105975,0.59140760,0.59345717
-5.95797899,4.03386572,0.86747718,0.30593718,0.00972769,0.64465730,0.10542982,1.68731264,0.58228419,0.58148828
-5.95197599,3.82307618,0.78598201,0.28970316,0.00939023,0.63524369,0.09840354,1.56437911,0.57285327,0.56922146
-5.94597299,3.62602915,0.71178488,0.27487628,0.00902578,0.62473929,0.09225943,1.45222042,0.56314438,0.55673656
-5.93996998,3.44272210,0.64464802,0.26138401,0.00863731,0.61329361,0.08698329,1.35067111,0.55324187,0.54416685
-5.93396698,3.27312325,0.58427144,0.24914927,0.00822818,0.60112196,0.08255051,1.25945787,0.54329090,0.53170228
-5.92796398,3.11720141,0.53030875,0.23809406,0.00780202,0.58850682,0.07892712,1.17821692,0.53350184,0.51959158
-5.92196098,2.97494939,0.48238086,0.22814241,0.00736270,0.57579751,0.07607079,1.10650949,0.52415253,0.50814279
-5.91595798,2.84640015,0.44008753,0.21922268,0.00691428,0.56340794,0.07393173,1.04383521,0.51558823,0.49772207
-5.90995498,2.73163545,0.40301674,0.21126925,0.00646086,0.55181213,0.07245357,0.98964362,0.50821895,0.48875043
-5.90395198,2.63078705,0.37075209,0.20422348,0.00600659,0.54153744,0.07157417,0.94334383,0.50251401,0.48169824
-5.89794897,2.54403093,0.34287847,0.19803430,0.00555549,0.53315541,0.07122649,0.90431286,0.49899378,0.47707737
