energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.77794894,0.67920604,1.00647827,0.06935122,0.85110555,0.01902716,0.00006636
-5.99399700,1.80066146,0.69077140,1.02988993,0.07349972,0.86645720,0.01951918,0.00006382
-5.98799400,1.83019849,0.70478461,1.05660073,0.07775477,0.88527142,0.01998596,0.00006166
-5.98199100,1.86534964,0.72086394,1.08586938,0.08206576,0.90690947,0.02041255,0.00005987
-5.97598799,1.90484487,0.73859198,1.11693628,0.08638007,0.93070526,0.02078494,0.00005844
-5.96998499,1.94738448,0.75752513,1.14903957,0.09064379,0.95598003,0.02109046,0.00005734
-5.96398199,1.99166600,0.77720274,1.18142909,0.09480243,0.98205536,0.02131814,0.00005653
-5.95797899,2.03640766,0.79715561,1.21337796,0.09880169,1.00826459,0.02145899,0.00005598
-5.95197599,2.08036848,0.81691390,1.24419207,0.10258811,1.03396249,0.02150621,0.00005566
-5.94597299,2.12236501,0.83601441,1.27321758,0.10610980,1.05853338,0.02145531,0.00005550
-5.93996998,2.16128508,0.85400732,1.29984665,0.10931719,1.08139791,0.02130415,0.00005548
-5.93396698,2.19609922,0.87046235,1.32352201,0.11216367,1.10201873,0.02105291,0.00005555
-5.92796398,2.22587013,0.88497466,1.34374057,0.11460640,1.11990537,0.02070400,0.00005566
-5.92196098,2.24976094,0.89717047,1.36005660,0.11660697,1.13461858,0.02026188,0.00005576
-5.91595798,2.26704264,0.90671246,1.37208476,0.11813216,1.14577441,0.01973287,0.00005583
-5.90995498,2.27710128,0.91330510,1.37950325,0.11915467,1.15304808,0.01912485,0.00005581
-5.90395198,2.27944492,0.91669983,1.38205731,0.11965376,1.15617789,0.01844707,0.00005569
-5.89794897,2.27371073,0.91670004,1.37956294,0.11961592,1.15496905,0.01770979,0.00005543
-5.89194597,2.25967178,0.91316573,1.37191099,0.11903543,1.14929734,0.01692406,0.00005501
-5.88594297,2.23724350,0.90601760,1.35907106,0.11791474,1.13911250,0.01610140,0.00005441
-5.87993997,2.20648914,0.89524050,1.34109523,0.11626485,1.12444097,0.01525359,0.00005363
-5.87393697,2.16762373,0.88088578,1.31812103,0.11410536,1.10538780,0.01439240,0.00005266
-5.86793397,2.12101597,0.86307249,1.29037321,0.11146448,1.08213733,0.01352944,0.00005150
-5.86193097,2.06718725,0.84198708,1.25816402,0.10837869,1.05495239,0.01267595,0.00005016
-5.85592796,2.00680739,0.81788141,1.22189145,0.10489226,1.02417167,0.01184269,0.00004865
-5.84992496,1.94068654,0.79106903,1.18203521,0.10105653,0.99020516,0.01103980,0.00004700
-5.84392196,1.86976295,0.76191961,1.13915017,0.09692892,0.95352749,0.01027672,0.00004522
-5.83791896,1.79508662,0.73085153,1.09385721,0.09257178,0.91466913,0.00956208,0.00004334
-5.83191596,1.71779878,0.69832287,1.04683156,0.08805108,0.87420563,0.00890372,0.00004140
-5.82591296,1.63910779,0.66482090,0.99878878,0.08343492,0.83274505,0.00830854,0.00003942
-5.81990995,1.56026185,0.63085046,0.95046873,0.07879198,0.79091397,0.00778252,0.00003743
-5.81390695,1.48251949,0.59692153,0.90261801,0.07418991,0.74934242,0.00733065,0.00003549
-5.80790395,1.40711856,0.56353647,0.85597154,0.06969376,0.70864826,0.00695686,0.00003362
-5.80190095,1.33524507,0.53117735,0.81123373,0.06536442,0.66942158,0.00666403,0.00003185
-5.79589795,1.26800276,0.50029379,0.76906014,0.06125724,0.63220963,0.00645392,0.00003022
-5.78989495,1.20638468,0.47129191,0.73004018,0.05742077,0.59750284,0.00632710,0.00002876
-5.78389195,1.15124779,0.44452455,0.69468165,0.05389573,0.56572252,0.00628297,0.00002750
-5.77788894,1.10329162,0.42028337,0.66339763,0.05071417,0.53721066,0.00631972,0.00002645
-5.77188594,1.06304185,0.39879299,0.63649639,0.04789901,0.51222218,0.00643431,0.00002566
-5.76588294,1.03083931,0.38020730,0.61417454,0.04546369,0.49092009,0.00662249,0.00002512
-5.75987994,1.00683513,0.36460831,0.59651394,0.04341229,0.47337357,0.00687888,0.00002485
-5.75387694,0.99099189,0.35200727,0.58348234,0.04173977,0.45955916,0.00719700,0.00002486
-5.74787394,0.98309103,0.34234819,0.57493784,0.04043259,0.44936500,0.00756940,0.00002516
-5.74187094,0.98274601,0.33551348,0.57063690,0.03946953,0.44259792,0.00798781,0.00002574
