energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.63688524,-2.06689176,0.01026795,-0.01054746,0.13699917,-0.39721834,0.72194775,-1.07744343,0.37134480,-0.29204644,0.89379960,-0.91434810,0.00000000,-0.00000000,0.50475044,-0.38203299,0.02492121,-0.08386154
-5.99399700,1.66372403,-1.98517524,0.01076797,-0.01096411,0.13167291,-0.37511574,0.71863327,-1.01608282,0.37311121,-0.28810356,0.91889792,-0.88796128,0.00000000,-0.00000000,0.52008043,-0.37420326,0.02769615,-0.07835173
-5.98799400,1.69670708,-1.91676090,0.01144690,-0.01164106,0.12721201,-0.35616516,0.71720408,-0.96266890,0.37632088,-0.28694818,0.94673775,-0.86649673,0.00000000,-0.00000000,0.53684146,-0.36897788,0.03082611,-0.07309136
-5.98199100,1.73560713,-1.86214459,0.01229888,-0.01258737,0.12356688,-0.34049300,0.71766734,-0.91720457,0.38077745,-0.28868905,0.97728052,-0.85010346,0.00000000,-0.00000000,0.55496194,-0.36638011,0.03431933,-0.06814279
-5.97598799,1.78013271,-1.82158124,0.01331717,-0.01381182,0.12068747,-0.32817516,0.71999853,-0.87951834,0.38628808,-0.29340751,1.01044040,-0.83882607,0.00000000,-0.00000000,0.57434092,-0.36638454,0.03818050,-0.06356312
-5.96998499,1.82993109,-1.79509588,0.01449404,-0.01532262,0.11852272,-0.31923829,0.72413902,-0.84928625,0.39266795,-0.30115432,1.04608594,-0.83261222,0.00000000,-0.00000000,0.59484960,-0.36892288,0.04241024,-0.05940343
-5.96398199,1.88459504,-1.78250024,0.01582078,-0.01712699,0.11702031,-0.31366177,0.72999636,-0.82605724,0.39974454,-0.31194660,1.08404415,-0.83132332,0.00000000,-0.00000000,0.61633421,-0.37389094,0.04700487,-0.05570829
-5.95797899,1.94367276,-1.78341406,0.01728765,-0.01923074,0.11612674,-0.31138039,0.73744698,-0.80928059,0.40736163,-0.32576542,1.12410671,-0.83474761,0.00000000,-0.00000000,0.63862009,-0.38115650,0.05195630,-0.05251548
-5.95197599,2.00667994,-1.79728989,0.01888390,-0.02163777,0.11578756,-0.31228745,0.74634101,-0.79833430,0.41538265,-0.34255368,1.16603747,-0.84261520,0.00000000,-0.00000000,0.66151650,-0.39056766,0.05725212,-0.04985590
-5.94597299,2.07311296,-1.82344007,0.02059774,-0.02434954,0.11594790,-0.31623820,0.75650871,-0.79255332,0.42369327,-0.36221467,1.20958076,-0.85461410,0.00000000,-0.00000000,0.68482193,-0.40196118,0.06287578,-0.04775362
-5.93996998,2.14246193,-1.86106466,0.02241645,-0.02736457,0.11655310,-0.32305351,0.76776784,-0.79125637,0.43220285,-0.38461127,1.25446975,-0.87040651,0.00000000,-0.00000000,0.70832945,-0.41517052,0.06880701,-0.04622615
-5.93396698,2.21422242,-1.90927893,0.02432643,-0.03067795,0.11754947,-0.33252353,0.77993152,-0.79377057,0.44084469,-0.40956574,1.30043396,-0.88964461,0.00000000,-0.00000000,0.73183173,-0.43003310,0.07502222,-0.04528466
-5.92796398,2.28790480,-1.96713936,0.02631326,-0.03428083,0.11888508,-0.34441148,0.79281569,-0.79945283,0.44957501,-0.43686036,1.34720552,-0.91198485,0.00000000,-0.00000000,0.75512547,-0.44639639,0.08149506,-0.04493442
