energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,23.96840890,0.03179787,0.05341539,0.08109109,0.08719217,0.15691120,22.88937630
-5.99399700,23.65136037,0.03236081,0.05229285,0.08099841,0.08558571,0.15397041,22.57419114
-5.98799400,23.24250674,0.03294311,0.05104066,0.08049671,0.08407435,0.15122070,22.17116271
-5.98199100,22.74357325,0.03354139,0.04966239,0.07960072,0.08262920,0.14862414,21.68204393
-5.97598799,22.15806943,0.03415205,0.04816608,0.07833179,0.08122414,0.14614723,21.11029255
-5.96998499,21.49119317,0.03477168,0.04656379,0.07671722,0.07983608,0.14376170,20.46097622
-5.96398199,20.74968732,0.03539740,0.04487109,0.07478942,0.07844521,0.14144510,19.74063214
-5.95797899,19.94165441,0.03602726,0.04310643,0.07258511,0.07703520,0.13918141,18.95708668
-5.95197599,19.07633614,0.03666064,0.04129052,0.07014434,0.07559343,0.13696148,18.11924170
-5.94597299,18.16386613,0.03729860,0.03944565,0.06750959,0.07411112,0.13478334,17.23683556
-5.93996998,17.21500475,0.03794418,0.03759501,0.06472486,0.07258350,0.13265227,16.32018748
-5.93396698,16.24086554,0.03860258,0.03576207,0.06183480,0.07100982,0.13058075,15.37993458
-5.92796398,15.25264263,0.03928125,0.03396994,0.05888389,0.06939333,0.12858809,14.42677048
-5.92196098,14.26134797,0.03998985,0.03224083,0.05591570,0.06774114,0.12669988,13.47119421
-5.91595798,13.27756660,0.04074001,0.03059552,0.05297224,0.06606400,0.12494710,12.52327714
-5.90995498,12.31123698,0.04154506,0.02905295,0.05009336,0.06437593,0.12336506,11.59245463
-5.90395198,11.37146181,0.04241952,0.02762987,0.04731628,0.06269376,0.12199210,10.68734776
-5.89794897,10.46635366,0.04337854,0.02634050,0.04467513,0.06103657,0.12086812,9.81561888
-5.89194597,9.60291789,0.04443731,0.02519638,0.04220063,0.05942505,0.12003295,8.98386339
-5.88594297,8.78697400,0.04561030,0.02420618,0.03991979,0.05788081,0.11952481,8.19753858
-5.87993997,8.02311486,0.04691063,0.02337571,0.03785572,0.05642562,0.11937869,7.46092881
-5.87393697,7.31470234,0.04834948,0.02270784,0.03602743,0.05508075,0.11962489,6.77714538
-5.86793397,6.66389644,0.04993547,0.02220270,0.03444977,0.05386629,0.12028789,6.14815807
-5.86193097,6.07171429,0.05167437,0.02185776,0.03313340,0.05280055,0.12138533,5.57485469
-5.85592796,5.53811474,0.05356880,0.02166811,0.03208476,0.05189963,0.12292753,5.05712436
-5.84992496,5.06210363,0.05561825,0.02162673,0.03130624,0.05117704,0.12491731,4.59395975
-5.84392196,4.64185494,0.05781919,0.02172484,0.03079624,0.05064357,0.12735022,4.18357341
-5.83791896,4.27484240,0.06016547,0.02195230,0.03054944,0.05030725,0.13021527,3.82352334
-5.83191596,3.95797692,0.06264882,0.02229801,0.03055705,0.05017347,0.13349590,3.51084310
-5.82591296,3.68774478,0.06525953,0.02275035,0.03080714,0.05024521,0.13717132,3.24217197
-5.81990995,3.46034238,0.06798716,0.02329761,0.03128501,0.05052345,0.14121802,3.01388123
-5.81390695,3.27180343,0.07082135,0.02392837,0.03197359,0.05100751,0.14561134,2.82219290
-5.80790395,3.11811527,0.07375250,0.02463188,0.03285391,0.05169552,0.15032701,2.66328814
-5.80190095,2.99532148,0.07677243,0.02539834,0.03390552,0.05258480,0.15534246,2.53340261
-5.79589795,2.89960850,0.07987480,0.02621911,0.03510692,0.05367218,0.16063782,2.42890732
-5.78989495,2.82737491,0.08305537,0.02708681,0.03643600,0.05495419,0.16619653,2.34637352
-5.78389195,2.77528250,0.08631191,0.02799534,0.03787042,0.05642714,0.17200539,2.28262120
-5.77788894,2.74028916,0.08964389,0.02893979,0.03938790,0.05808698,0.17805406,2.23475137
-5.77188594,2.71966419,0.09305189,0.02991619,0.04096651,0.05992903,0.18433400,2.20016261
-5.76588294,2.71098745,0.09653665,0.03092124,0.04258484,0.06194751,0.19083685,2.17655323
-5.75987994,2.71213420,0.10009801,0.03195191,0.04422214,0.06413496,0.19755245,2.16191071
