energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
0.86743372,6.16721998,0.27427850,0.72208436,1.27381819,1.61192901,0.77575206,0.00000000,0.59009061,2.61013990
0.87343672,6.41915080,0.29176169,0.73657928,1.32971297,1.66090214,0.80390572,0.00000000,0.61738414,2.74459778
0.87943972,6.66621785,0.30861583,0.75034576,1.38451618,1.70766342,0.83123765,0.00000000,0.64250286,2.87859095
0.88544272,6.90685612,0.32461518,0.76337285,1.43782230,1.75181910,0.85757755,0.00000000,0.66504953,3.01139978
0.89144572,7.13957753,0.33954250,0.77565643,1.48923521,1.79298458,0.88276972,0.00000000,0.68466457,3.14234535
0.89744872,7.36300470,0.35319486,0.78719623,1.53837564,1.83079314,0.90667512,0.00000000,0.70103743,3.27080736
0.90345173,7.57590020,0.36538897,0.79799271,1.58488775,1.86490477,0.92917277,0.00000000,0.71391668,3.39623839
0.90945473,7.77718834,0.37596602,0.80804388,1.62844434,1.89501450,0.95016026,0.00000000,0.72311822,3.51817301
0.91545773,7.96596738,0.38479567,0.81734209,1.66875047,1.92085939,0.96955331,0.00000000,0.72853131,3.63623060
0.92146073,8.14151048,0.39177907,0.82587088,1.70554514,1.94222388,0.98728421,0.00000000,0.73012194,3.75011120
0.92746373,8.30325486,0.39685080,0.83360194,1.73860108,1.95894276,1.00329946,0.00000000,0.72793350,3.85958429
0.93346673,8.45077949,0.39997962,0.84049254,1.76772270,1.97090199,1.01755649,0.00000000,0.72208459,3.96447072
0.93946973,8.58377284,0.40116800,0.84648353,1.79274276,1.97803701,1.03002003,0.00000000,0.71276403,4.06461890
0.94547274,8.70199307,0.40045067,0.85149829,1.81351798,1.98032907,1.04065822,0.00000000,0.70022347,4.15987682
0.95147574,8.80522404,0.39789197,0.85544280,1.82992439,1.97779989,1.04943909,0.00000000,0.68476780,4.25006174
