energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.74187094,0.08225818,0.00906164,0.00000000,0.02612315,0.01038469,0.00037245,0.04902617
-5.73586793,0.06861929,0.00759800,0.00000000,0.02166018,0.00864443,0.00030292,0.04087399
-5.72986493,0.05692821,0.00632971,0.00000000,0.01788118,0.00716404,0.00024701,0.03389752
-5.72386193,0.04701089,0.00524107,0.00000000,0.01471916,0.00591984,0.00020321,0.02799092
-5.71785893,0.03869694,0.00431593,0.00000000,0.01211136,0.00488933,0.00017028,0.02305123
-5.71185593,0.03182465,0.00353821,0.00000000,0.01000073,0.00405177,0.00014724,0.01898135
-5.70585293,0.02624512,0.00289244,0.00000000,0.00833728,0.00338881,0.00013339,0.01569255
-5.69984992,0.02182567,0.00236412,0.00000000,0.00707911,0.00288490,0.00012835,0.01310645
-5.69384692,0.01845250,0.00194003,0.00000000,0.00619328,0.00252762,0.00013206,0.01115666
-5.68784392,0.01603275,0.00160849,0.00000000,0.00565649,0.00230801,0.00014479,0.00978998
-5.68184092,0.01449603,0.00135950,0.00000000,0.00545568,0.00222077,0.00016715,0.00896734
-5.67583792,0.01379549,0.00118490,0.00000000,0.00558854,0.00226439,0.00020010,0.00866438
-5.66983492,0.01390850,0.00107841,0.00000000,0.00606390,0.00244132,0.00024496,0.00887196
-5.66383192,0.01483711,0.00103569,0.00000000,0.00690221,0.00275798,0.00030343,0.00959628
-5.65782891,0.01660814,0.00105432,0.00000000,0.00813585,0.00322482,0.00037754,0.01085904
-5.65182591,0.01927318,0.00113380,0.00000000,0.00980953,0.00385624,0.00046970,0.01269731
-5.64582291,0.02290829,0.00127552,0.00000000,0.01198060,0.00467058,0.00058266,0.01516326
-5.63981991,0.02761348,0.00148274,0.00000000,0.01471933,0.00568990,0.00071950,0.01832382
-5.63381691,0.03351204,0.00176049,0.00000000,0.01810915,0.00693983,0.00088356,0.02226009
-5.62781391,0.04074955,0.00211558,0.00000000,0.02224671,0.00844923,0.00107845,0.02706652
-5.62181091,0.04949255,0.00255648,0.00000000,0.02724194,0.01024983,0.00130794,0.03284997
-5.61580790,0.05992693,0.00309327,0.00000000,0.03321782,0.01237580,0.00157591,0.03972845
-5.60980490,0.07225596,0.00373756,0.00000000,0.04031001,0.01486311,0.00188625,0.04782958
-5.60380190,0.08669784,0.00450239,0.00000000,0.04866625,0.01774895,0.00224276,0.05728887
-5.59779890,0.10348284,0.00540209,0.00000000,0.05844542,0.02107095,0.00264904,0.06824764
-5.59179590,0.12285007,0.00645213,0.00000000,0.06981632,0.02486638,0.00310835,0.08085069
-5.58579290,0.14504367,0.00766898,0.00000000,0.08295605,0.02917127,0.00362350,0.09524374
-5.57978989,0.17030871,0.00906985,0.00000000,0.09804797,0.03401947,0.00419670,0.11157064
-5.57378689,0.19888651,0.01067250,0.00000000,0.11527929,0.03944179,0.00482945,0.12997034
-5.56778389,0.23100970,0.01249486,0.00000000,0.13483805,0.04546500,0.00552244,0.15057377
-5.56178089,0.26689678,0.01455479,0.00000000,0.15690964,0.05211096,0.00627542,0.17350052
-5.55577789,0.30674640,0.01686960,0.00000000,0.18167278,0.05939582,0.00708717,0.19885552
-5.54977489,0.35073125,0.01945561,0.00000000,0.20929489,0.06732918,0.00795540,0.22672554
-5.54377189,0.39899168,0.02232768,0.00000000,0.23992683,0.07591347,0.00887678,0.25717575
-5.53776888,0.45162899,0.02549859,0.00000000,0.27369719,0.08514333,0.00984693,0.29024619
-5.53176588,0.50869854,0.02897845,0.00000000,0.31070587,0.09500509,0.01086046,0.32594825
-5.52576288,0.57020259,0.03277402,0.00000000,0.35101737,0.10547643,0.01191107,0.36426119
-5.51975988,0.63608306,0.03688799,0.00000000,0.39465356,0.11652596,0.01299163,0.40512855
-5.51375688,0.70621434,0.04131826,0.00000000,0.44158641,0.12811304,0.01409434,0.44845481
-5.50775388,0.78039617,0.04605725,0.00000000,0.49173061,0.14018751,0.01521080,0.49410193
-5.50175088,0.85834702,0.05109116,0.00000000,0.54493662,0.15268955,0.01633223,0.54188626
-5.49574787,0.93969807,0.05639937,0.00000000,0.60098416,0.16554955,0.01744959,0.59157568
-5.48974487,1.02398824,0.06195389,0.00000000,0.65957691,0.17868803,0.01855371,0.64288713
-5.48374187,1.11066064,0.06771898,0.00000000,0.72033839,0.19201563,0.01963544,0.69548496
-5.47773887,1.19906089,0.07365091,0.00000000,0.78280976,0.20543320,0.02068572,0.74898001
-5.47173587,1.28843778,0.07969799,0.00000000,0.84644983,0.21883201,0.02169572,0.80292988
-5.46573287,1.37794668,0.08580081,0.00000000,0.91063760,0.23209413,0.02265684,0.85684067
-5.45972986,1.46665622,0.09189277,0.00000000,0.97467776,0.24509312,0.02356081,0.91017028
-5.45372686,1.55355840,0.09790092,0.00000000,1.03780927,0.25769497,0.02439970,0.96233362
-5.44772386,1.63758258,0.10374713,0.00000000,1.09921716,0.26975942,0.02516592,1.01270995
-5.44172086,1.71761312,0.10934953,0.00000000,1.15804743,0.28114166,0.02585225,1.06065226
-5.43571786,1.79251070,0.11462425,0.00000000,1.21342493,0.29169456,0.02645185,1.10549881
-5.42971486,1.86113701,0.11948738,0.00000000,1.26447367,0.30127118,0.02695830,1.14658664
-5.42371186,1.92238195,0.12385712,0.00000000,1.31033914,0.30972787,0.02736565,1.18326681
-5.41770885,1.97519291,0.12765609,0.00000000,1.35021176,0.31692754,0.02766847,1.21492090
-5.41170585,2.01860482,0.13081356,0.00000000,1.38335076,0.32274338,0.02786195,1.24097831
-5.40570285,2.05176998,0.13326772,0.00000000,1.40910739,0.32706255,0.02794205,1.26093370
-5.39969985,2.07398645,0.13496775,0.00000000,1.42694656,0.32978993,0.02790560,1.27436381
-5.39369685,2.08472363,0.13587560,0.00000000,1.43646597,0.33085176,0.02775049,1.28094301
-5.38769385,2.08364383,0.13596753,0.00000000,1.43741163,0.33019880,0.02747580,1.28045672
-5.38169085,2.07061879,0.13523511,0.00000000,1.42968929,0.32780903,0.02708196,1.27281215
-5.37568784,2.04574015,0.13368589,0.00000000,1.41337091,0.32368970,0.02657089,1.25804557
-5.36968484,2.00932320,0.13134343,0.00000000,1.38869588,0.31787845,0.02594608,1.23632582
-5.36368184,1.96190369,0.12824691,0.00000000,1.35606689,0.31044365,0.02521270,1.20795368
-5.35767884,1.90422745,0.12445022,0.00000000,1.31604050,0.30148363,0.02437753,1.17335705
-5.35167584,1.83723331,0.12002054,0.00000000,1.26931276,0.29112503,0.02344899,1.13308195
-5.34567284,1.76202989,0.11503655,0.00000000,1.21670051,0.27952015,0.02243700,1.08777978
-5.33966983,1.67986717,0.10958632,0.00000000,1.15911912,0.26684342,0.02135278,1.03819123
