energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,6.34233161,0.11776093,0.93649422,1.99859995,1.19002537,0.38755779,0.59781193,0.11633610,1.81062488
-5.99399700,6.21013995,0.11812795,0.90074668,1.91438867,1.17156585,0.38100911,0.59174993,0.11742536,1.79322080
-5.98799400,6.08326914,0.11851650,0.86610449,1.83071436,1.15461472,0.37519573,0.58555518,0.11844707,1.77682069
-5.98199100,5.96292059,0.11891917,0.83298919,1.74876240,1.13941045,0.37007052,0.57925519,0.11940640,1.76143636
-5.97598799,5.85003721,0.11932555,0.80175373,1.66959312,1.12612061,0.36556769,0.57287285,0.12030834,1.74705182
-5.96998499,5.74528199,0.11972262,0.77267495,1.59411744,1.11483796,0.36160502,0.56642653,0.12115703,1.73362261
-5.96398199,5.64902715,0.12009525,0.74594932,1.52307876,1.10557947,0.35808706,0.55993045,0.12195516,1.72107584
-5.95797899,5.56135426,0.12042669,0.72169170,1.45704174,1.09828819,0.35490893,0.55339548,0.12270330,1.70931113
-5.95197599,5.48206480,0.12069916,0.69993717,1.39638774,1.09283763,0.35196080,0.54683010,0.12339945,1.69820252
-5.94597299,5.41070040,0.12089437,0.68064557,1.34131682,1.08903846,0.34913269,0.54024177,0.12403867,1.68760134
-5.93996998,5.34657159,0.12099413,0.66370843,1.29185577,1.08664700,0.34631941,0.53363847,0.12461284,1.67734010
-5.93396698,5.28879360,0.12098076,0.64895773,1.24787138,1.08537510,0.34342546,0.52703052,0.12511063,1.66723727
-5.92796398,5.23632760,0.12083757,0.63617615,1.20908822,1.08490093,0.34036951,0.52043256,0.12551758,1.65710295
-5.92196098,5.18802569,0.12054920,0.62510817,1.17510980,1.08488015,0.33708860,0.51386573,0.12581650,1.64674532
-5.91595798,5.14267818,0.12010186,0.61547158,1.14544232,1.08495710,0.33354150,0.50735995,0.12598790,1.63597779
-5.90995498,5.09906152,0.11948361,0.60696898,1.11951983,1.08477564,0.32971145,0.50095627,0.12601073,1.62462668
-5.90395198,5.05598557,0.11868442,0.59929879,1.09673000,1.08398935,0.32560818,0.49470927,0.12586319,1.61253944
-5.89794897,5.01233907,0.11769629,0.59216552,1.07643946,1.08227086,0.32126900,0.48868941,0.12552367,1.59959304
-5.89194597,4.96713232,0.11651333,0.58528901,1.05801809,1.07932021,0.31675933,0.48298524,0.12497185,1.58570263
-5.88594297,4.91953596,0.11513178,0.57841244,1.04086144,1.07487207,0.31217249,0.47770544,0.12418978,1.57082999
-5.87993997,4.86891537,0.11355006,0.57130902,1.02441080,1.06870194,0.30762895,0.47298043,0.12316292,1.55499166
-5.87393697,4.81485969,0.11176881,0.56378726,1.00817049,1.06063116,0.30327521,0.46896352,0.12188129,1.53826647
-5.86793397,4.75720495,0.10979100,0.55569484,0.99172192,1.05053081,0.29928226,0.46583137,0.12034029,1.52080195
-5.86193097,4.69605049,0.10762195,0.54692109,0.97473436,1.03832452,0.29584392,0.46378363,0.11854159,1.50281950
-5.85592796,4.63176821,0.10526951,0.53739813,0.95697225,1.02399016,0.29317488,0.46304154,0.11649364,1.48461763
-5.84992496,4.56500392,0.10274404,0.52710068,0.93829890,1.00756031,0.29150875,0.46384539,0.11421210,1.46657320
-5.84392196,4.49667032,0.10005860,0.51604479,0.91867692,0.98912164,0.29109586,0.46645064,0.11171987,1.44913996
-5.83791896,4.42793136,0.09722885,0.50428529,0.89816530,0.96881297,0.29220100,0.47112277,0.10904700,1.43284446
-5.83191596,4.36017767,0.09427311,0.49191242,0.87691343,0.94682205,0.29510097,0.47813068,0.10623014,1.41827880
-5.82591296,4.29499334,0.09121219,0.47904742,0.85515251,0.92338108,0.30008176,0.48773878,0.10331190,1.40609036
-5.81990995,4.23411444,0.08806914,0.46583742,0.83318447,0.89876088,0.30743553,0.50019803,0.10033983,1.39696850
-5.81390695,4.17938013,0.08486900,0.45244967,0.81136902,0.87326382,0.31745709,0.51573594,0.09736527,1.39162843
-5.80790395,4.13267767,0.08163826,0.43906532,0.79010918,0.84721565,0.33043993,0.53454613,0.09444198,1.39079268
-5.80190095,4.09588279,0.07840437,0.42587287,0.76983587,0.82095641,0.34667173,0.55677766,0.09162469,1.39517064
-5.79589795,4.07079767,0.07519510,0.41306157,0.75099201,0.79483066,0.36642933,0.58252470,0.08896758,1.40543695
-5.78989495,4.05908839,0.07203780,0.40081486,0.73401662,0.76917737,0.38997325,0.61181709,0.08652276,1.42220938
-5.78389195,4.06222467,0.06895866,0.38930423,0.71932957,0.74431991,0.41754162,0.64461222,0.08433886,1.44602722
-5.77788894,4.08142396,0.06598198,0.37868348,0.70731729,0.72055642,0.44934381,0.68078886,0.08245966,1.47733084
-5.77188594,4.11760253,0.06312948,0.36908389,0.69831991,0.69815111,0.48555380,0.72014322,0.08092299,1.51644338
-5.76588294,4.17133545,0.06041958,0.36061015,0.69262029,0.67732676,0.52630334,0.76238788,0.07975976,1.56355540
-5.75987994,4.24282725,0.05786697,0.35333745,0.69043508,0.65825892,0.57167522,0.80715355,0.07899328,1.61871282
-5.75387694,4.33189466,0.05548215,0.34730974,0.69190808,0.64107190,0.62169662,0.85399392,0.07863882,1.68180900
