energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.92331523,0.00678888,0.16598632,0.89866289,0.03675993,1.62508401,0.64441932,0.27368667
-5.99399700,2.80777570,0.00630745,0.15813127,0.86428434,0.03488981,1.56288317,0.62395978,0.26328413
-5.98799400,2.68758569,0.00583395,0.15005010,0.82827319,0.03295990,1.49796801,0.60249032,0.25243574
-5.98199100,2.56446305,0.00537230,0.14184920,0.79104960,0.03100143,1.43129768,0.58033673,0.24130139
-5.97598799,2.44015007,0.00492615,0.13363699,0.75307118,0.02904550,1.36384545,0.55783409,0.23004501
-5.96998499,2.31637559,0.00449878,0.12552132,0.71482422,0.02712247,1.29657761,0.53531975,0.21883075
-5.96398199,2.19481728,0.00409311,0.11760681,0.67681305,0.02526134,1.23043253,0.51312600,0.20781919
-5.95797899,2.07706511,0.00371162,0.10999241,0.63954808,0.02348920,1.16630041,0.49157281,0.19716352
-5.95197599,1.96458732,0.00335637,0.10276898,0.60353283,0.02183069,1.10500436,0.47096065,0.18700600
-5.94597299,1.85869969,0.00302899,0.09601726,0.56925044,0.02030764,1.04728325,0.45156385,0.17747468
-5.93996998,1.76053900,0.00273063,0.08980609,0.53715031,0.01893867,0.99377696,0.43362441,0.16868050
-5.93396698,1.67104137,0.00246201,0.08419098,0.50763526,0.01773892,0.94501421,0.41734666,0.16071493
-5.92796398,1.59092593,0.00222341,0.07921308,0.48104981,0.01671987,0.90140339,0.40289282,0.15364813
-5.92196098,1.52068406,0.00201467,0.07489852,0.45766994,0.01588918,0.86322640,0.39037952,0.14752767
-5.91595798,1.46057447,0.00183526,0.07125826,0.43769477,0.01525066,0.83063571,0.37987548,0.14237790
-5.90995498,1.41062378,0.00168425,0.06828814,0.42124051,0.01480424,0.80365452,0.37140035,0.13819991
-5.90395198,1.37063280,0.00156039,0.06596952,0.40833683,0.01454607,0.78217998,0.36492470,0.13497206
-5.89794897,1.34018777,0.00146212,0.06427011,0.39892579,0.01446864,0.76598925,0.36037126,0.13265114
-5.89194597,1.31867652,0.00138761,0.06314519,0.39286354,0.01456097,0.75474819,0.35761725,0.13117399
-5.88594297,1.30530881,0.00133484,0.06253914,0.38992446,0.01480886,0.74802245,0.35649792,0.13045958
-5.87993997,1.29914046,0.00130157,0.06238715,0.38980792,0.01519519,0.74529061,0.35681110,0.13041160
-5.87393697,1.29910049,0.00128546,0.06261718,0.39214722,0.01570028,0.74595908,0.35832266,0.13092124
-5.86793397,1.30402084,0.00128406,0.06315209,0.39652054,0.01630232,0.74937838,0.36077288,0.13187038
-5.86193097,1.31266781,0.00129490,0.06391186,0.40246350,0.01697780,0.75486041,0.36388347,0.13313485
-5.85592796,1.32377454,0.00131552,0.06481584,0.40948297,0.01770206,0.76169641,0.36736509,0.13458788
-5.84992496,1.33607385,0.00134348,0.06578505,0.41707160,0.01844982,0.76917501,0.37092524,0.13610350
-5.84392196,1.34833051,0.00137648,0.06674442,0.42472270,0.01919574,0.77660025,0.37427625,0.13755996
-5.83791896,1.35937242,0.00141236,0.06762491,0.43194484,0.01991503,0.78330878,0.37714318,0.13884286
-5.83191596,1.36811957,0.00144913,0.06836540,0.43827584,0.02058403,0.78868614,0.37927139,0.13984820
-5.82591296,1.37361037,0.00148506,0.06891446,0.44329547,0.02118077,0.79218149,0.38043355,0.14048502
-5.81990995,1.37502441,0.00151869,0.06923176,0.44663667,0.02168551,0.79332051,0.38043586,0.14067766
-5.81390695,1.37170110,0.00154887,0.06928922,0.44799476,0.02208125,0.79171605,0.37912336,0.14036760
-5.80790395,1.36315371,0.00157480,0.06907171,0.44713440,0.02235407,0.78707632,0.37638395,0.13951477
-5.80190095,1.34907830,0.00159601,0.06857747,0.44389408,0.02249350,0.77921024,0.37215126,0.13809836
-5.79589795,1.32935744,0.00161245,0.06781810,0.43818803,0.02249270,0.76803001,0.36640599,0.13611706
-5.78989495,1.30405848,0.00162446,0.06681810,0.43000569,0.02234860,0.75355063,0.35917588,0.13358872
-5.78389195,1.27342660,0.00163273,0.06561414,0.41940854,0.02206185,0.73588652,0.35053423,0.13054950
-5.77788894,1.23787287,0.00163837,0.06425388,0.40652482,0.02163668,0.71524544,0.34059697,0.12705250
-5.77188594,1.19795780,0.00164283,0.06279447,0.39154229,0.02108068,0.69191981,0.32951854,0.12316595
-5.76588294,1.15437094,0.00164790,0.06130091,0.37469933,0.02040448,0.66627586,0.31748658,0.11897098
-5.75987994,1.10790736,0.00165568,0.05984400,0.35627495,0.01962123,0.63874099,0.30471569,0.11455908
-5.75387694,1.05944186,0.00166851,0.05849831,0.33657807,0.01874621,0.60978978,0.29144059,0.11002934
-5.74787394,1.00990168,0.00168892,0.05733993,0.31593656,0.01779619,0.57992927,0.27790872,0.10548557
-5.74187094,0.96023889,0.00171962,0.05644429,0.29468646,0.01678893,0.54968382,0.26437281,0.10103331
-5.73586793,0.91140323,0.00176338,0.05588397,0.27316189,0.01574255,0.51958032,0.25108343,0.09677698
-5.72986493,0.86431628,0.00182299,0.05572662,0.25168582,0.01467503,0.49013406,0.23828207,0.09281703
-5.72386193,0.81984792,0.00190122,0.05603309,0.23056226,0.01360369,0.46183584,0.22619468,0.08924743
-5.71785893,0.77879560,0.00200071,0.05685568,0.21006977,0.01254470,0.43514055,0.21502625,0.08615339
-5.71185593,0.74186711,0.00212391,0.05823675,0.19045670,0.01151277,0.41045776,0.20495629,0.08360937
-5.70585293,0.70966721,0.00227306,0.06020760,0.17193801,0.01052084,0.38814431,0.19613558,0.08167753
-5.69984992,0.68268843,0.00245009,0.06278768,0.15469378,0.00957983,0.36849926,0.18868423,0.08040660
-5.69384692,0.66130610,0.00265655,0.06598419,0.13886913,0.00869862,0.35176102,0.18269107,0.07983111
-5.68784392,0.64577767,0.00289360,0.06979199,0.12457562,0.00788394,0.33810690,0.17821447,0.07997114
-5.68184092,0.63624604,0.00316194,0.07419401,0.11189373,0.00714047,0.32765474,0.17528450,0.08083240
-5.67583792,0.63274667,0.00346176,0.07916191,0.10087623,0.00647098,0.32046653,0.17390634,0.08240681
-5.66983492,0.63521804,0.00379273,0.08465723,0.09155230,0.00587652,0.31655380,0.17406484,0.08467340
-5.66383192,0.64351485,0.00415397,0.09063272,0.08393200,0.00535664,0.31588442,0.17573009,0.08759951
-5.65782891,0.65742363,0.00454399,0.09703414,0.07801086,0.00490970,0.31839060,0.17886366,0.09114237
-5.65182591,0.67667974,0.00496074,0.10380214,0.07377451,0.00453316,0.32397751,0.18342543,0.09525076
-5.64582291,0.70098543,0.00540158,0.11087443,0.07120291,0.00422391,0.33253245,0.18938054,0.09986702
-5.63981991,0.73002802,0.00586329,0.11818802,0.07027424,0.00397854,0.34393395,0.19670636,0.10492899
-5.63381691,0.76349761,0.00634213,0.12568151,0.07096814,0.00379369,0.35806050,0.20539893,0.11037207
-5.62781391,0.80110356,0.00683382,0.13329728,0.07326827,0.00366627,0.37479868,0.21547870,0.11613130
-5.62181091,0.84258918,0.00733364,0.14098360,0.07716409,0.00359373,0.39405017,0.22699520,0.12214321
-5.61580790,0.88774388,0.00783647,0.14869650,0.08265185,0.00357423,0.41573745,0.24003027,0.12834764
-5.60980490,0.93641242,0.00833689,0.15640130,0.08973475,0.00360682,0.43980797,0.25469964,0.13468933
-5.60380190,0.98850064,0.00882926,0.16407378,0.09842221,0.00369148,0.46623647,0.27115252,0.14111917
-5.59779890,1.04397742,0.00930784,0.17170093,0.10872845,0.00382922,0.49502532,0.28956914,0.14759524
-5.59179590,1.10287265,0.00976690,0.17928115,0.12067029,0.00402203,0.52620290,0.31015601,0.15408345
-5.58579290,1.16527094,0.01020085,0.18682392,0.13426429,0.00427280,0.55981973,0.33313894,0.16055785
-5.57978989,1.23130133,0.01060435,0.19434895,0.14952331,0.00458520,0.59594271,0.35875386,0.16700050
-5.57378689,1.30112295,0.01097248,0.20188470,0.16645268,0.00496349,0.63464720,0.38723559,0.17340100
-5.56778389,1.37490723,0.01130083,0.20946646,0.18504593,0.00541231,0.67600752,0.41880487,0.17975564
-5.56178089,1.45281683,0.01158566,0.21713389,0.20528048,0.00593636,0.72008585,0.45365411,0.18606609
-5.55577789,1.53498233,0.01182393,0.22492813,0.22711317,0.00654014,0.76692001,0.49193216,0.19233795
-5.54977489,1.62147725,0.01201345,0.23288863,0.25047606,0.00722756,0.81651057,0.53372893,0.19857882
-5.54377189,1.71229250,0.01215289,0.24104979,0.27527251,0.00800165,0.86880778,0.57906033,0.20479630
-5.53776888,1.80731129,0.01224183,0.24943745,0.30137382,0.00886416,0.92369892,0.62785447,0.21099580
-5.53176588,1.90628585,0.01228074,0.25806551,0.32861661,0.00981524,0.98099661,0.67993960,0.21717838
-5.52576288,2.00881698,0.01227096,0.26693282,0.35680109,0.01085316,1.04042891,0.73503483,0.22333854
-5.51975988,2.11433797,0.01221460,0.27602042,0.38569053,0.01197401,1.10163167,0.79274410,0.22946236
-5.51375688,2.22210377,0.01211449,0.28528935,0.41501184,0.01317152,1.16414391,0.85255418,0.23552576
-5.50775388,2.33118685,0.01197404,0.29467923,0.44445765,0.01443693,1.22740667,0.91383703,0.24149335
-5.50175088,2.44048026,0.01179707,0.30410763,0.47368974,0.01575893,1.29076580,0.97585704,0.24731760
-5.49574787,2.54870886,0.01158773,0.31347047,0.50234402,0.01712377,1.35347908,1.03778304,0.25293880
-5.48974487,2.65444886,0.01135026,0.32264339,0.53003683,0.01851533,1.41472769,1.09870526,0.25828550
