energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.69637115,-0.68936722,0.00192932,-0.01302973,0.04413515,-0.05749570,0.09927175,-0.12349341,0.05945330,-0.06687079,0.22445493,-0.19097587,0.11801349,-0.08606902,0.00688502,-0.00468468,0.37102064,-0.35331795
-5.99399700,0.74304444,-0.66725981,0.00207220,-0.01164489,0.04496908,-0.05692897,0.10615165,-0.11847810,0.06129932,-0.06656000,0.23185861,-0.18937144,0.13588282,-0.07747004,0.00745459,-0.00456279,0.39771351,-0.34139285
-5.98799400,0.79915044,-0.64696594,0.00223319,-0.01038490,0.04613785,-0.05640645,0.11439928,-0.11398376,0.06367163,-0.06620756,0.24174764,-0.18782566,0.15635422,-0.06975907,0.00812757,-0.00445307,0.42966016,-0.33041862
-5.98199100,0.86553896,-0.62790268,0.00241259,-0.00924406,0.04767905,-0.05586868,0.12413938,-0.10988248,0.06662248,-0.06576082,0.25442894,-0.18615842,0.17959738,-0.06286653,0.00891240,-0.00435095,0.46732857,-0.32011040
-5.97598799,0.94290937,-0.60953690,0.00261024,-0.00821561,0.04962226,-0.05526318,0.13547663,-0.10605747,0.07019222,-0.06517369,0.27016995,-0.18421067,0.20574888,-0.05672069,0.00981592,-0.00425224,0.51110549,-0.31020691
-5.96998499,1.03177644,-0.59140421,0.00282550,-0.00729207,0.05198786,-0.05454607,0.14849090,-0.10240645,0.07440745,-0.06440842,0.28918872,-0.18184978,0.23490344,-0.05125045,0.01084298,-0.00415333,0.56127740,-0.30048013
-5.96398199,1.13243840,-0.57312406,0.00305718,-0.00646559,0.05478613,-0.05368328,0.16323283,-0.09884430,0.07927938,-0.06343706,0.31164455,-0.17897375,0.26710542,-0.04638770,0.01199607,-0.00405125,0.61801253,-0.29074302
-5.95797899,1.24494825,-0.55441071,0.00330364,-0.00572825,0.05801657,-0.05265131,0.17971976,-0.09530486,0.08480261,-0.06224243,0.33762949,-0.17551413,0.30234077,-0.04206923,0.01327505,-0.00394383,0.68134462,-0.28085528
-5.95197599,1.36908968,-0.53508013,0.00356273,-0.00507224,0.06166752,-0.05143762,0.19793223,-0.09174204,0.09095430,-0.06081874,0.36716085,-0.17143767,0.34053000,-0.03823823,0.01467684,-0.00382968,0.75115901,-0.27072700
-5.94597299,1.50435867,-0.51505283,0.00383188,-0.00449009,0.06571605,-0.05004065,0.21781126,-0.08813008,0.09769379,-0.05917172,0.40017520,-0.16674673,0.38152247,-0.03484534,0.01619525,-0.00370828,0.82718192,-0.26032038
-5.93996998,1.64995205,-0.49435303,0.00410817,-0.00397478,0.07012821,-0.04846940,0.23925642,-0.08446327,0.10496271,-0.05731837,0.43652392,-0.16147855,0.42509244,-0.03184939,0.01782084,-0.00357993,0.90897347,-0.24964960
-5.93396698,1.80476393,-0.47310457,0.00438837,-0.00351983,0.07485946,-0.04674279,0.26212490,-0.08075503,0.11268556,-0.05528642,0.47597072,-0.15570345,0.47093727,-0.02921772,0.01954087,-0.00344572,0.99592505,-0.23877903
-5.92796398,1.96739089,-0.45152400,0.00466909,-0.00311941,0.07985550,-0.04488868,0.28623178,-0.07703653,0.12077082,-0.05311332,0.51819140,-0.14952223,0.51867798,-0.02692630,0.02133940,-0.00330750,1.08726164,-0.22782007
-5.92196098,2.13614656,-0.42991143,0.00494683,-0.00276829,0.08505326,-0.04294268,0.31135137,-0.07335499,0.12911256,-0.05084513,0.56277583,-0.14306288,0.56786253,-0.02495960,0.02319744,-0.00316778,1.18204937,-0.21692687
-5.91595798,2.30908574,-0.40863979,0.00521812,-0.00246191,0.09038222,-0.04094684,0.33721989,-0.06977167,0.13759248,-0.04853511,0.60923266,-0.13647678,0.61797182,-0.02331024,0.02509325,-0.00302968,1.27920847,-0.20629124
