energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.60995440,-1.60995440,0.46766960,-0.46766960,0.44568802,-0.44568802,0.00306687,-0.00306687,0.00138509,-0.00138509,1.12514739,-1.12514739,0.00000000,-0.00000000
-5.99399700,1.58735698,-1.58735698,0.46702575,-0.46702574,0.43489172,-0.43489172,0.00300005,-0.00300005,0.00136362,-0.00136362,1.11090582,-1.11090582,0.00000000,-0.00000000
-5.98799400,1.56414374,-1.56414374,0.46586107,-0.46586106,0.42334190,-0.42334190,0.00291991,-0.00291991,0.00135062,-0.00135062,1.09624210,-1.09624210,0.00000000,-0.00000000
-5.98199100,1.54064144,-1.54064144,0.46424539,-0.46424539,0.41120515,-0.41120515,0.00282779,-0.00282779,0.00134579,-0.00134579,1.08137165,-1.08137165,0.00000000,-0.00000000
-5.97598799,1.51708904,-1.51708904,0.46222949,-0.46222949,0.39863924,-0.39863924,0.00272527,-0.00272527,0.00134854,-0.00134854,1.06644777,-1.06644777,0.00000000,-0.00000000
-5.96998499,1.49362987,-1.49362987,0.45984183,-0.45984182,0.38578863,-0.38578863,0.00261410,-0.00261410,0.00135800,-0.00135800,1.05155630,-1.05155630,0.00000000,-0.00000000
-5.96398199,1.47030813,-1.47030813,0.45708653,-0.45708653,0.37278074,-0.37278074,0.00249611,-0.00249611,0.00137308,-0.00137308,1.03671331,-1.03671331,0.00000000,-0.00000000
-5.95797899,1.44707019,-1.44707019,0.45394285,-0.45394285,0.35972317,-0.35972317,0.00237316,-0.00237316,0.00139249,-0.00139249,1.02186622,-1.02186622,0.00000000,-0.00000000
-5.95197599,1.42377052,-1.42377052,0.45036604,-0.45036604,0.34670196,-0.34670196,0.00224705,-0.00224705,0.00141478,-0.00141478,1.00689822,-1.00689822,0.00000000,-0.00000000
-5.94597299,1.40018230,-1.40018230,0.44628987,-0.44628987,0.33378093,-0.33378093,0.00211948,-0.00211948,0.00143844,-0.00143844,0.99163601,-0.99163601,0.00000000,-0.00000000
-5.93996998,1.37601212,-1.37601212,0.44163045,-0.44163045,0.32100222,-0.32100222,0.00199200,-0.00199200,0.00146190,-0.00146190,0.97586040,-0.97586040,0.00000000,-0.00000000
-5.93396698,1.35091822,-1.35091822,0.43629133,-0.43629133,0.30838776,-0.30838776,0.00186596,-0.00186596,0.00148361,-0.00148361,0.95931946,-0.95931946,0.00000000,-0.00000000
-5.92796398,1.32453125,-1.32453125,0.43016954,-0.43016954,0.29594185,-0.29594185,0.00174254,-0.00174254,0.00150210,-0.00150210,0.94174337,-0.94174337,0.00000000,-0.00000000
-5.92196098,1.29647657,-1.29647657,0.42316219,-0.42316219,0.28365436,-0.28365436,0.00162268,-0.00162268,0.00151600,-0.00151600,0.92286044,-0.92286044,0.00000000,-0.00000000
-5.91595798,1.26639696,-1.26639696,0.41517341,-0.41517341,0.27150456,-0.27150456,0.00150713,-0.00150713,0.00152411,-0.00152411,0.90241324,-0.90241324,0.00000000,-0.00000000
-5.90995498,1.23397441,-1.23397441,0.40612098,-0.40612098,0.25946522,-0.25946522,0.00139642,-0.00139642,0.00152544,-0.00152544,0.88017420,-0.88017420,0.00000000,-0.00000000
-5.90395198,1.19894993,-1.19894994,0.39594249,-0.39594249,0.24750677,-0.24750677,0.00129093,-0.00129093,0.00151921,-0.00151921,0.85595961,-0.85595961,0.00000000,-0.00000000
-5.89794897,1.16114042,-1.16114042,0.38460055,-0.38460054,0.23560123,-0.23560123,0.00119085,-0.00119085,0.00150489,-0.00150489,0.82964156,-0.82964155,0.00000000,-0.00000000
-5.89194597,1.12045146,-1.12045146,0.37208677,-0.37208677,0.22372573,-0.22372573,0.00109624,-0.00109624,0.00148220,-0.00148220,0.80115696,-0.80115696,0.00000000,-0.00000000
-5.88594297,1.07688573,-1.07688574,0.35842436,-0.35842435,0.21186546,-0.21186546,0.00100708,-0.00100708,0.00145111,-0.00145111,0.77051337,-0.77051337,0.00000000,-0.00000000
-5.87993997,1.03054653,-1.03054653,0.34366903,-0.34366903,0.20001578,-0.20001578,0.00092323,-0.00092323,0.00141186,-0.00141186,0.73779125,-0.73779125,0.00000000,-0.00000000
-5.87393697,0.98163624,-0.98163624,0.32790846,-0.32790846,0.18818354,-0.18818354,0.00084452,-0.00084452,0.00136488,-0.00136488,0.70314278,-0.70314278,0.00000000,-0.00000000
-5.86793397,0.93045022,-0.93045022,0.31126009,-0.31126009,0.17638758,-0.17638758,0.00077075,-0.00077075,0.00131084,-0.00131084,0.66678712,-0.66678712,0.00000000,-0.00000000
-5.86193097,0.87736630,-0.87736630,0.29386761,-0.29386761,0.16465830,-0.16465830,0.00070168,-0.00070168,0.00125054,-0.00125054,0.62900285,-0.62900285,0.00000000,-0.00000000
-5.85592796,0.82283087,-0.82283087,0.27589622,-0.27589622,0.15303657,-0.15303657,0.00063711,-0.00063711,0.00118495,-0.00118495,0.59011767,-0.59011767,0.00000000,-0.00000000
-5.84992496,0.76734217,-0.76734217,0.25752709,-0.25752709,0.14157198,-0.14157198,0.00057680,-0.00057680,0.00111512,-0.00111512,0.55049637,-0.55049637,0.00000000,-0.00000000
-5.84392196,0.71143191,-0.71143191,0.23895120,-0.23895120,0.13032055,-0.13032055,0.00052059,-0.00052059,0.00104215,-0.00104215,0.51052744,-0.51052744,0.00000000,-0.00000000
-5.83791896,0.65564620,-0.65564620,0.22036299,-0.22036299,0.11934226,-0.11934226,0.00046828,-0.00046828,0.00096719,-0.00096719,0.47060933,-0.47060933,0.00000000,-0.00000000
-5.83191596,0.60052672,-0.60052673,0.20195410,-0.20195410,0.10869835,-0.10869835,0.00041976,-0.00041976,0.00089133,-0.00089133,0.43113684,-0.43113684,0.00000000,-0.00000000
