energy_ev,total_up,Ag_p_up,Ag_d_up,As_p_up,As_d_up,Se_s_up,Se_p_up
-6.00000000,8.29885618,0.63782778,7.95709711,0.13104535,0.00000000,0.05618430,0.15726132
-5.99399700,8.42715769,0.64844247,8.07883379,0.13327394,0.00000000,0.05758679,0.16069065
-5.98799400,8.55398472,0.65829292,8.19965211,0.13538452,0.00000000,0.05889542,0.16383290
-5.98199100,8.67735600,0.66726578,8.31763749,0.13737378,0.00000000,0.06010130,0.16664740
-5.97598799,8.79515556,0.67526073,8.43073217,0.13923979,0.00000000,0.06119677,0.16909743
-5.96998499,8.90520012,0.68219342,8.53680100,0.14098207,0.00000000,0.06217578,0.17115129
-5.96398199,9.00530945,0.68799791,8.63370033,0.14260155,0.00000000,0.06303425,0.17278326
-5.95797899,9.09337697,0.69262871,8.71934751,0.14410055,0.00000000,0.06377028,0.17397450
-5.95197599,9.16743785,0.69606215,8.79178818,0.14548258,0.00000000,0.06438436,0.17471363
-5.94597299,9.22573216,0.69829703,8.84925914,0.14675218,0.00000000,0.06487944,0.17499715
-5.93996998,9.26676102,0.69935462,8.89024455,0.14791460,0.00000000,0.06526087,0.17482963
-5.93396698,9.28933385,0.69927782,8.91352377,0.14897556,0.00000000,0.06553628,0.17422357
-5.92796398,9.29260554,0.69812957,8.91820950,0.14994079,0.00000000,0.06571530,0.17319908
-5.92196098,9.27610261,0.69599071,8.90377538,0.15081574,0.00000000,0.06580922,0.17178321
-5.91595798,9.23973796,0.69295718,8.87007246,0.15160516,0.00000000,0.06583055,0.17000916
-5.90995498,9.18381419,0.68913687,8.81733450,0.15231278,0.00000000,0.06579255,0.16791527
-5.90395198,9.10901590,0.68464617,8.74617244,0.15294107,0.00000000,0.06570872,0.16554384
-5.89794897,9.01639159,0.67960640,8.65755856,0.15349098,0.00000000,0.06559229,0.16293990
-5.89194597,8.90732619,0.67414038,8.55280112,0.15396190,0.00000000,0.06545579,0.16014997
-5.88594297,8.78350514,0.66836906,8.43351065,0.15435161,0.00000000,0.06531058,0.15722071
-5.87993997,8.64687153,0.66240863,8.30155880,0.15465642,0.00000000,0.06516654,0.15419784
-5.87393697,8.49957719,0.65636785,8.15903116,0.15487140,0.00000000,0.06503182,0.15112496
-5.86793397,8.34392939,0.65034602,8.00817516,0.15499066,0.00000000,0.06491265,0.14804267
-5.86193097,8.18233414,0.64443132,7.85134430,0.15500771,0.00000000,0.06481336,0.14498775
-5.85592796,8.01723743,0.63869962,7.69094007,0.15491593,0.00000000,0.06473634,0.14199256
-5.84992496,7.85106561,0.63321374,7.52935253,0.15470897,0.00000000,0.06468222,0.13908464
-5.84392196,7.68616610,0.62802297,7.36890110,0.15438113,0.00000000,0.06465001,0.13628646
