energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
0.79539770,3.30133877,0.04223622,0.24290584,0.05410411,0.19522337,0.02330442,0.74413766,4.75664355,2.33823217
0.80140070,3.05994682,0.03977053,0.22301463,0.05241119,0.17689835,0.02132737,0.68095706,4.42039683,2.18651161
0.80740370,2.83953393,0.03755512,0.20463509,0.05125683,0.16001002,0.01959148,0.62212211,4.11323708,2.04961802
0.81340670,2.64222220,0.03561821,0.18792167,0.05067431,0.14465146,0.01810310,0.56811216,3.83836954,1.92909107
0.81940970,2.46948463,0.03397928,0.17297984,0.05068488,0.13087896,0.01686448,0.51926330,3.59804120,1.82600521
0.82541271,2.32214789,0.03264888,0.15986709,0.05129764,0.11871360,0.01587405,0.47577050,3.39354108,1.74096567
0.83141571,2.20041223,0.03162863,0.14859514,0.05250966,0.10814381,0.01512681,0.43769361,3.22522608,1.67411713
0.83741871,2.10388688,0.03091151,0.13913329,0.05430647,0.09912852,0.01461469,0.40496680,3.09257013,1.62516399
0.84342171,2.03163860,0.03048237,0.13141254,0.05666268,0.09160095,0.01432699,0.37741076,2.99423330,1.59340109
0.84942471,1.98225098,0.03031862,0.12533043,0.05954285,0.08547256,0.01425080,0.35474696,2.92814775,1.57775336
0.85542771,1.95389218,0.03039115,0.12075635,0.06290257,0.08063733,0.01437145,0.33661336,2.89161714,1.57682294
0.86143072,1.94438859,0.03066534,0.11753713,0.06668966,0.07697591,0.01467288,0.32258113,2.88142581,1.58894219
0.86743372,1.95130215,0.03110226,0.11550275,0.07084548,0.07435976,0.01513808,0.31217147,2.89395456,1.61223076
0.87343672,1.97200903,0.03165990,0.11447197,0.07530634,0.07265499,0.01574939,0.30487254,2.92529945,1.64465524
0.87943972,2.00377752,0.03229450,0.11425783,0.08000494,0.07172595,0.01648880,0.30015554,2.97139050,1.68408956
0.88544272,2.04384320,0.03296183,0.11467285,0.08487181,0.07143843,0.01733822,0.29749007,3.02810716,1.72837449
0.89144572,2.08947955,0.03361856,0.11553374,0.08983666,0.07166250,0.01827967,0.29635810,3.09138767,1.77537476
0.89744872,2.13806245,0.03422344,0.11666577,0.09482967,0.07227483,0.01929541,0.29626650,3.15732967,1.82303212
0.90345173,2.18712705,0.03473842,0.11790637,0.09978267,0.07316070,0.02036807,0.29675787,3.22227974,1.86941311
0.90945473,2.23441604,0.03512973,0.11910829,0.10463006,0.07421545,0.02148069,0.29741959,3.28290992,1.91275035
0.91545773,2.27791846,0.03536866,0.12014197,0.10930969,0.07534556,0.02261674,0.29789096,3.33627957,1.95147635
0.92146073,2.31589849,0.03543222,0.12089726,0.11376342,0.07646940,0.02376008,0.29786843,3.37988162,1.98424924
0.92746373,2.34691414,0.03530362,0.12128447,0.11793759,0.07751746,0.02489498,0.29710893,3.41167268,2.00997001
0.93346673,2.36982607,0.03497243,0.12123472,0.12178327,0.07843242,0.02600606,0.29543142,3.43008695,2.02779125
0.93946973,2.38379707,0.03443469,0.12069965,0.12525633,0.07916886,0.02707825,0.29271671,3.43403472,2.03711779
0.94547274,2.38828314,0.03369260,0.11965062,0.12831753,0.07969274,0.02809679,0.28890585,3.42288658,2.03759967
0.95147574,2.38301737,0.03275419,0.11807727,0.13093239,0.07998076,0.02904725,0.28399710,3.39644504,2.02911857
0.95747874,2.36798799,0.03163270,0.11598582,0.13307114,0.08001957,0.02991557,0.27804199,3.35490569,2.01176878
0.96348174,2.34341227,0.03034589,0.11339692,0.13470870,0.07980496,0.03068819,0.27114047,3.29881030,1.98583397
0.96948474,2.30970771,0.02891518,0.11034337,0.13582463,0.07934097,0.03135217,0.26343561,3.22899456,1.95176134
0.97548774,2.26746228,0.02736473,0.10686766,0.13640329,0.07863911,0.03189539,0.25510801,3.14653291,1.91013437
0.98149075,2.21740498,0.02572053,0.10301960,0.13643401,0.07771760,0.03230680,0.24637023,3.05268320,1.86164567
0.98749375,2.16037806,0.02400946,0.09885391,0.13591144,0.07660069,0.03257667,0.23746140,2.94883325,1.80707103
0.99349675,2.09731183,0.02225838,0.09442805,0.13483592,0.07531811,0.03269689,0.22864221,2.83645141,1.74724569
0.99949975,2.02920260,0.02049332,0.08980031,0.13321400,0.07390454,0.03266126,0.22019035,2.71704242,1.68304343
1.00550275,1.95709412,0.01873880,0.08502804,0.13105895,0.07239929,0.03246575,0.21239648,2.59210980,1.61535899
1.01150575,1.88206247,0.01701716,0.08016635,0.12839120,0.07084587,0.03210874,0.20556078,2.46312497,1.54509390
1.01750875,1.80520401,0.01534818,0.07526699,0.12523876,0.06929169,0.03159121,0.19998979,2.33150346,1.47314556
1.02351176,1.72762584,0.01374872,0.07037760,0.12163751,0.06778773,0.03091687,0.19599372,2.19858748,1.40039916
1.02951476,1.65043798,0.01223255,0.06554119,0.11763128,0.06638811,0.03009215,0.19388377,2.06563444,1.32772198
1.03551776,1.57474645,0.01081027,0.06079593,0.11327166,0.06514960,0.02912618,0.19396944,1.93381018,1.25595923
1.04152076,1.50164632,0.00948941,0.05617508,0.10861764,0.06413094,0.02803064,0.19655556,1.80418601,1.18593085
1.04752376,1.43221395,0.00827459,0.05170712,0.10373491,0.06339212,0.02681946,0.20193886,1.67773826,1.11842845
1.05352676,1.36749774,0.00716771,0.04741598,0.09869491,0.06299331,0.02550857,0.21040379,1.55534941,1.05421174
1.05952976,1.30850689,0.00616833,0.04332135,0.09357356,0.06299377,0.02411545,0.22221762,1.43780976,0.99400405
1.06553277,1.25619784,0.00527395,0.03943905,0.08844987,0.06345044,0.02265869,0.23762459,1.32581891,0.93848633
1.07153577,1.21145843,0.00448040,0.03578135,0.08340425,0.06441647,0.02115748,0.25683914,1.21998661,0.88828968
1.07753877,1.17509002,0.00378220,0.03235730,0.07851672,0.06593959,0.01963113,0.28003834,1.12083261,0.84398624
1.08354177,1.14778793,0.00317290,0.02917309,0.07386507,0.06806037,0.01809857,0.30735352,1.02878546,0.80607870
1.08954477,1.13012092,0.00264541,0.02623227,0.06952300,0.07081053,0.01657788,0.33886157,0.94418055,0.77498868
1.09554777,1.12251060,0.00219230,0.02353596,0.06555823,0.07421117,0.01508586,0.37457594,0.86725746,0.75104458
1.10155078,1.12521161,0.00180604,0.02108310,0.06203086,0.07827125,0.01363769,0.41443799,0.79815734,0.73446943
1.10755378,1.13829370,0.00147922,0.01887056,0.05899175,0.08298611,0.01224662,0.45830898,0.73692050,0.72536935
1.11355678,1.16162674,0.00120472,0.01689327,0.05648122,0.08833639,0.01092384,0.50596324,0.68348500,0.72372348
1.11955978,1.19486959,0.00097583,0.01514436,0.05452793,0.09428711,0.00967828,0.55708297,0.63768644,0.72937595
1.12556278,1.23746392,0.00078635,0.01361526,0.05314809,0.10078728,0.00851664,0.61125522,0.59925966,0.74203061
1.13156578,1.28863360,0.00063063,0.01229584,0.05234492,0.10776988,0.00744342,0.66797149,0.56784235,0.76124918
1.13756878,1.34739037,0.00050365,0.01117450,0.05210853,0.11515225,0.00646102,0.72663027,0.54298103,0.78645319
1.14357179,1.41254618,0.00040095,0.01023836,0.05241602,0.12283716,0.00556996,0.78654277,0.52413937,0.81693016
1.14957479,1.48273235,0.00031869,0.00947341,0.05323200,0.13071419,0.00476902,0.84694219,0.51070874,0.85184431
1.15557779,1.55642535,0.00025363,0.00886467,0.05450943,0.13866177,0.00405556,0.90699631,0.50202106,0.89025154
1.16158079,1.63197894,0.00020305,0.00839647,0.05619072,0.14654956,0.00342577,0.96582338,0.49736338,0.93111895
1.16758379,1.70766195,0.00016476,0.00805259,0.05820922,0.15424136,0.00287491,1.02251101,0.49599410,0.97334814
1.17358679,1.78170068,0.00013709,0.00781658,0.06049091,0.16159831,0.00239765,1.07613756,0.49716021,1.01580207
1.17958979,1.85232492,0.00011883,0.00767198,0.06295643,0.16848237,0.00198824,1.12579548,0.50011521,1.05733459
1.18559280,1.91781596,0.00010925,0.00760262,0.06552321,0.17475993,0.00164083,1.17061573,0.50413701,1.09682185
1.19159580,1.97655539,0.00010805,0.00759288,0.06810780,0.18030553,0.00134965,1.20979268,0.50854545,1.13319463
1.19759880,2.02707270,0.00011540,0.00762796,0.07062836,0.18500546,0.00110919,1.24260830,0.51271878,1.16547040
1.20360180,2.06809034,0.00013195,0.00769417,0.07300704,0.18876119,0.00091437,1.26845498,0.51610867,1.19278424
1.20960480,2.09856441,0.00015882,0.00777921,0.07517248,0.19149241,0.00076072,1.28685591,0.51825329,1.21441721
1.21560780,2.11771969,0.00019769,0.00787238,0.07706204,0.19313975,0.00064442,1.29748232,0.51878805,1.22982141
1.22161081,2.12507749,0.00025076,0.00796484,0.07862403,0.19366686,0.00056245,1.30016676,0.51745372,1.23864067
1.22761381,2.12047559,0.00032086,0.00804981,0.07981950,0.19306194,0.00051267,1.29491195,0.51410175,1.24072610
1.23361681,2.10407920,0.00041148,0.00812270,0.08062382,0.19133856,0.00049386,1.28189467,0.50869663,1.23614591
1.23961981,2.07638279,0.00052679,0.00818130,0.08102788,0.18853574,0.00050578,1.26146478,0.50131530,1.22518921
1.24562281,2.03820263,0.00067172,0.00822585,0.08103883,0.18471742,0.00054925,1.23413900,0.49214368,1.20836351
1.25162581,1.99066038,0.00085194,0.00825905,0.08068040,0.17997109,0.00062614,1.20059004,0.48147060,1.18638611
1.25762881,1.93515823,0.00107394,0.00828614,0.07999274,0.17440588,0.00073949,1.16163122,0.46967913,1.16016959
1.26363182,1.87334672,0.00134495,0.00831478,0.07903184,0.16815004,0.00089348,1.11819732,0.45723595,1.13080198
1.26963482,1.80708605,0.00167295,0.00835499,0.07786844,0.16134791,0.00109352,1.07132223,0.44467874,1.09952208
1.27563782,1.73840244,0.00206657,0.00841900,0.07658661,0.15415653,0.00134625,1.02211429,0.43260234,1.06769094
1.28164082,1.66944078,0.00253497,0.00852106,0.07528186,0.14674201,0.00165960,0.97173007,0.42164370,1.03676013
1.28764382,1.60241502,0.00308772,0.00867719,0.07405910,0.13927569,0.00204280,0.92134747,0.41246626,1.00823773
1.29364682,1.53955763,0.00373453,0.00890492,0.07303014,0.13193034,0.00250636,0.87213893,0.40574401,0.98365307
1.29964982,1.48306956,0.00448502,0.00922294,0.07231122,0.12487639,0.00306215,0.82524549,0.40214549,0.96452092
1.30565283,1.43507174,0.00534843,0.00965077,0.07202026,0.11827835,0.00372327,0.78175232,0.40231820,0.95230605
1.31165583,1.39755928,0.00633323,0.01020835,0.07227416,0.11229149,0.00450411,0.74266631,0.40687356,0.94838894
1.31765883,1.37235920,0.00744673,0.01091561,0.07318608,0.10705887,0.00542020,0.70889610,0.41637279,0.95403330
1.32366183,1.36109249,0.00869471,0.01179204,0.07486279,0.10270866,0.00648812,0.68123494,0.43131385,0.97035622
1.32966483,1.36514111,0.01008095,0.01285624,0.07740212,0.09935201,0.00772539,0.66034644,0.45211980,0.99830129
1.33566783,1.38562039,0.01160684,0.01412542,0.08089068,0.09708118,0.00915028,0.64675362,0.47912875,1.03861555
1.34167084,1.42335732,0.01327098,0.01561492,0.08540165,0.09596821,0.01078154,0.64083104,0.51258568,1.09183055
1.34767384,1.47887496,0.01506884,0.01733777,0.09099293,0.09606401,0.01263820,0.64280019,0.55263633,1.15824806
1.35367684,1.55238325,0.01699251,0.01930420,0.09770552,0.09739782,0.01473919,0.65272814,0.59932340,1.23793086
