energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.44386379,0.68454608,0.37879854,0.01929100,0.26539245,1.41481552,1.15832628,0.69553581,0.00000000
-5.99399700,2.53956830,0.70545591,0.39081320,0.01976873,0.27584278,1.47797656,1.20806422,0.71807096,0.00000000
-5.98799400,2.63538537,0.72796898,0.40223707,0.02019834,0.28588799,1.54237751,1.25794753,0.74150206,0.00000000
-5.98199100,2.73058859,0.75196344,0.41299952,0.02057051,0.29540555,1.60733344,1.30768020,0.76564223,0.00000000
-5.97598799,2.82466715,0.77739571,0.42307163,0.02087802,0.30429565,1.67226772,1.35706179,0.79037149,0.00000000
-5.96998499,2.91733253,0.80429815,0.43246606,0.02111585,0.31248392,1.73671987,1.40599067,0.81563623,0.00000000
-5.96398199,3.00851383,0.83277187,0.44123506,0.02128110,0.31992317,1.80034723,1.45446219,0.84144459,0.00000000
-5.95797899,3.09834201,0.86297534,0.44946639,0.02137292,0.32659424,1.86292073,1.50256172,0.86785823,0.00000000
-5.95197599,3.18712371,0.89510896,0.45727749,0.02139232,0.33250578,1.92431473,1.55045304,0.89498083,0.00000000
-5.94597299,3.27530611,0.92939654,0.46480817,0.02134194,0.33769300,1.98449171,1.59836257,0.92294396,0.00000000
-5.93996998,3.36343443,0.96606431,0.47221207,0.02122576,0.34221555,2.04348256,1.64656013,0.95189097,0.00000000
-5.93396698,3.45210412,1.00531864,0.47964738,0.02104882,0.34615445,2.10136331,1.69533721,0.98195988,0.00000000
-5.92796398,3.54191020,1.04732337,0.48726722,0.02081688,0.34960822,2.15822967,1.74498385,1.01326601,0.00000000
-5.92196098,3.63339610,1.09217795,0.49521012,0.02053610,0.35268853,2.21417067,1.79576521,1.04588524,0.00000000
-5.91595798,3.72700460,1.13989749,0.50359111,0.02021278,0.35551525,2.26924271,1.84789899,1.07983902,0.00000000
-5.90995498,3.82303341,1.19039583,0.51249381,0.01985306,0.35821126,2.32344552,1.90153488,1.11508168,0.00000000
-5.90395198,3.92159746,1.24347249,0.52196391,0.01946268,0.36089729,2.37670130,1.95673713,1.15149089,0.00000000
-5.89794897,4.02260014,1.29880441,0.53200439,0.01904684,0.36368677,2.42883833,2.01347101,1.18886192,0.00000000
-5.89194597,4.12571469,1.35594301,0.54257269,0.01861005,0.36668107,2.47957998,2.07159411,1.22690588,0.00000000
-5.88594297,4.23037719,1.41431696,0.55357999,0.01815603,0.36996525,2.52853991,2.13085284,1.26525243,0.00000000
-5.87993997,4.33579133,1.47324072,0.56489266,0.01768774,0.37360447,2.57522383,2.19088440,1.30345671,0.00000000
-5.87393697,4.44094509,1.53192875,0.57633585,0.01720734,0.37764127,2.61903810,2.25122431,1.34101044,0.00000000
-5.86793397,4.54463868,1.58951487,0.58769905,0.01671633,0.38209363,2.65930463,2.31131914,1.37735663,0.00000000
-5.86193097,4.64552256,1.64507602,0.59874333,0.01621559,0.38695422,2.69528180,2.37054390,1.41190743,0.00000000
-5.85592796,4.74214371,1.69765962,0.60921009,0.01570553,0.39219046,2.72619032,2.42822343,1.44406423,0.00000000
