energy_ev,total_up,Mo_p_up,Mo_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,1.43486430,0.77627333,0.68481580,0.59167434,0.00762063,0.00151944,0.22025973
-5.99399700,1.36017567,0.72881956,0.65144535,0.56537191,0.00732991,0.00152198,0.19876181
-5.98799400,1.28582037,0.68218648,0.61798884,0.53868671,0.00702745,0.00151763,0.17845154
-5.98199100,1.21256007,0.63682567,0.58480989,0.51193553,0.00671667,0.00150634,0.15947914
-5.97598799,1.14109311,0.59313751,0.55224467,0.48541781,0.00640092,0.00148818,0.14196652
-5.96998499,1.07205962,0.55147367,0.52060447,0.45941732,0.00608339,0.00146333,0.12600879
-5.96398199,1.00604959,0.51214180,0.49017950,0.43420492,0.00576722,0.00143212,0.11167674
-5.95797899,0.94361270,0.47541145,0.46124364,0.41004194,0.00545545,0.00139502,0.09901987
-5.95197599,0.88526901,0.44152101,0.43405939,0.38718385,0.00515108,0.00135262,0.08806996
-5.94597299,0.83151934,0.41068469,0.40888273,0.36588359,0.00485705,0.00130564,0.07884472
-5.93996998,0.78285435,0.38309919,0.38596708,0.34639442,0.00457631,0.00125491,0.07135148
-5.93396698,0.73976132,0.35894934,0.36556633,0.32897168,0.00431177,0.00120137,0.06559060
-5.92796398,0.70272804,0.33841239,0.34793619,0.31387333,0.00406631,0.00114603,0.06155839
-5.92196098,0.67224309,0.32166044,0.33333385,0.30135898,0.00384280,0.00108994,0.05924940
-5.91595798,0.64879219,0.30886082,0.32201574,0.29168727,0.00364401,0.00103421,0.05865790
-5.90995498,0.63285059,0.30017443,0.31423332,0.28511163,0.00347259,0.00097992,0.05977853
-5.90395198,0.62487147,0.29575173,0.31022694,0.28187438,0.00333101,0.00092812,0.06260603
-5.89794897,0.62527077,0.29572688,0.31021801,0.28219943,0.00322152,0.00087982,0.06713394
-5.89194597,0.63440888,0.30021001,0.31439976,0.28628372,0.00314601,0.00083594,0.07335259
-5.88594297,0.65257003,0.30927806,0.32292685,0.29428769,0.00310600,0.00079727,0.08124623
-5.87993997,0.67994020,0.32296474,0.33590436,0.30632534,0.00310250,0.00076449,0.09078961
-5.87393697,0.71658463,0.34124989,0.35337670,0.32245408,0.00313598,0.00073811,0.10194406
-5.86793397,0.76242598,0.36404921,0.37531686,0.34266505,0.00320625,0.00071849,0.11465353
-5.86193097,0.81722454,0.39120459,0.40161677,0.36687430,0.00331246,0.00070578,0.12884054
-5.85592796,0.88056148,0.42247595,0.43207918,0.39491545,0.00345300,0.00069998,0.14440258
-5.84992496,0.95182653,0.45753511,0.46641181,0.42653430,0.00362550,0.00070090,0.16120905
-5.84392196,1.03021113,0.49596226,0.50422413,0.46138583,0.00382682,0.00070816,0.17909910
-5.83791896,1.11470788,0.53724554,0.54502732,0.49903402,0.00405307,0.00072121,0.19788056
-5.83191596,1.20411726,0.58078412,0.58823780,0.53895493,0.00429968,0.00073937,0.21733011
-5.82591296,1.29706188,0.62589497,0.63318440,0.58054297,0.00456145,0.00076180,0.23719490
-5.81990995,1.39200841,0.67182341,0.67911935,0.62312075,0.00483263,0.00078757,0.25719567
-5.81390695,1.48729716,0.71775740,0.72523290,0.66595213,0.00510711,0.00081564,0.27703128
-5.80790395,1.58117845,0.76284513,0.77067133,0.70825841,0.00537852,0.00084495,0.29638467
-5.80190095,1.67185497,0.80621556,0.81455781,0.74923718,0.00564041,0.00087438,0.31493006
-5.79589795,1.75752876,0.84700112,0.85601547,0.78808322,0.00588642,0.00090284,0.33234112
-5.78989495,1.83645109,0.88436182,0.89419195,0.82401076,0.00611050,0.00092928,0.34829974
-5.78389195,1.90697351,0.91750985,0.92828432,0.85627632,0.00630704,0.00095272,0.36250525
-5.77788894,1.96759787,0.94573354,0.95756364,0.88420117,0.00647110,0.00097228,0.37468346
-5.77188594,2.01702342,0.96841984,0.98139791,0.90719255,0.00659853,0.00098722,0.38459526
-5.76588294,2.05418872,0.98507416,0.99927255,0.92476273,0.00668613,0.00099692,0.39204432
-5.75987994,2.07830680,0.99533675,1.01080754,0.93654508,0.00673179,0.00100095,0.39688359
-5.75387694,2.08889176,0.99899488,1.01577033,0.94230646,0.00673450,0.00099906,0.39902024
-5.74787394,2.08577572,0.99599021,1.01408404,0.94195537,0.00669445,0.00099118,0.39841875
-5.74187094,2.06911537,0.98642102,1.00583053,0.93554549,0.00661304,0.00097740,0.39510219
-5.73586793,2.03938768,0.97053922,0.99124830,0.92327442,0.00649279,0.00095803,0.38915136
-5.72986493,1.99737514,0.94874218,0.97072505,0.90547778,0.00633732,0.00093352,0.38070207
-5.72386193,1.94414097,0.92155988,0.94478559,0.88261875,0.00615122,0.00090447,0.36994056
-5.71785893,1.88099562,0.88963789,0.91407532,0.85527368,0.00593992,0.00087161,0.35709730
-5.71185593,1.80945579,0.85371679,0.87934011,0.82411424,0.00570954,0.00083578,0.34243947
-5.70585293,1.73119775,0.81460921,0.84140345,0.78988691,0.00546669,0.00079789,0.32626245
-5.69984992,1.64800683,0.77317512,0.80114166,0.75339062,0.00521827,0.00075891,0.30888075
-5.69384692,1.56172502,0.73029646,0.75945824,0.71545333,0.00497131,0.00071981,0.29061859
-5.68784392,1.47419858,0.68685216,0.71725813,0.67690847,0.00473274,0.00068156,0.27180073
-5.68184092,1.38722740,0.64369418,0.67542296,0.63857193,0.00450920,0.00064508,0.25274377
-5.67583792,1.30251781,0.60162553,0.63478777,0.60122051,0.00430689,0.00061125,0.23374817
-5.66983492,1.22163999,0.56138076,0.59612021,0.56557216,0.00413136,0.00058085,0.21509139
-5.66383192,1.14599128,0.52360950,0.56010240,0.53226880,0.00398741,0.00055454,0.19702216
-5.65782891,1.07676597,0.48886330,0.52731605,0.50186195,0.00387892,0.00053289,0.17975616
-5.65182591,1.01493218,0.45758591,0.49823103,0.47480140,0.00380881,0.00051629,0.16347293
-5.64582291,0.96121597,0.43010718,0.47319743,0.45142718,0.00377892,0.00050504,0.14831429
-5.63981991,0.91609268,0.40664031,0.45244122,0.43196477,0.00378999,0.00049925,0.13438392
-5.63381691,0.87978538,0.38728250,0.43606336,0.41652354,0.00384165,0.00049889,0.12174817
-5.62781391,0.85226998,0.37201846,0.42404219,0.40509837,0.00393240,0.00050380,0.11043784
-5.62181091,0.83328652,0.36072687,0.41623893,0.39757408,0.00405966,0.00051366,0.10045089
-5.61580790,0.82235611,0.35318904,0.41240598,0.39373270,0.00421984,0.00052801,0.09175575
