energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.94417075,0.01498628,0.27915398,1.05810964,0.57588187,0.01499673,0.75739748,0.24767467,0.28302291
-5.99399700,1.92114530,0.01490442,0.27721147,1.04334535,0.57002993,0.01564107,0.74450132,0.23848927,0.28311743
-5.98799400,1.89629746,0.01479440,0.27466357,1.02748903,0.56356564,0.01627728,0.73136128,0.22997219,0.28254794
-5.98199100,1.87070169,0.01465905,0.27167903,1.01126997,0.55685429,0.01690143,0.71839197,0.22233825,0.28138005
-5.97598799,1.84545686,0.01450180,0.26844204,0.99544998,0.55027927,0.01750895,0.70600045,0.21579236,0.27968698
-5.96998499,1.82166223,0.01432669,0.26514636,0.98080611,0.54423091,0.01809467,0.69458060,0.21052833,0.27754843
-5.96398199,1.80039517,0.01413844,0.26198942,0.96811296,0.53909566,0.01865281,0.68450865,0.20672798,0.27504962
-5.95797899,1.78269089,0.01394238,0.25916661,0.95812519,0.53524598,0.01917711,0.67613959,0.20456075,0.27228035
-5.95197599,1.76952479,0.01374445,0.25686582,0.95156054,0.53303108,0.01966097,0.66980466,0.20418346,0.26933420
-5.94597299,1.76179721,0.01355112,0.25526257,0.94908401,0.53276892,0.02009762,0.66580936,0.20574018,0.26630772
-5.93996998,1.76032093,0.01336929,0.25451576,0.95129344,0.53473950,0.02048032,0.66443208,0.20936191,0.26329973
-5.93396698,1.76581100,0.01320620,0.25476414,0.95870683,0.53917961,0.02080258,0.66592287,0.21516614,0.26041051
-5.92796398,1.77887695,0.01306925,0.25612357,0.97175178,0.54627899,0.02105847,0.67050222,0.22325594,0.25774102
-5.92196098,1.80001676,0.01296581,0.25868523,0.99075709,0.55617800,0.02124276,0.67835954,0.23371869,0.25539196
-5.91595798,1.82961262,0.01290311,0.26251443,1.01594671,0.56896659,0.02135126,0.68965131,0.24662420,0.25346269
-5.90995498,1.86792780,0.01288792,0.26765043,1.04743607,0.58468458,0.02138096,0.70449858,0.26202245,0.25205005
-5.90395198,1.91510472,0.01292639,0.27410676,1.08523079,0.60332292,0.02133022,0.72298404,0.27994086,0.25124688
-5.89794897,1.97116368,0.01302381,0.28187230,1.12922762,0.62482600,0.02119890,0.74514848,0.30038122,0.25114044
-5.89194597,2.03600249,0.01318437,0.29091272,1.17921760,0.64909464,0.02098844,0.77098705,0.32331656,0.25181062
-5.88594297,2.10939680,0.01341096,0.30117244,1.23489123,0.67598967,0.02070183,0.80044535,0.34868800,0.25332811
-5.87993997,2.19100136,0.01370497,0.31257678,1.29584552,0.70533594,0.02034361,0.83341586,0.37640203,0.25575239
-5.87393697,2.28035250,0.01406610,0.32503436,1.36159272,0.73692671,0.01991972,0.86973491,0.40632833,0.25912989
-5.86793397,2.37687200,0.01449230,0.33843949,1.43157057,0.77052809,0.01943738,0.90918077,0.43829839,0.26349218
-5.86193097,2.47987281,0.01497968,0.35267469,1.50515379,0.80588373,0.01890487,0.95147303,0.47210534,0.26885438
-5.85592796,2.58856683,0.01552247,0.36761306,1.58166672,0.84271940,0.01833126,0.99627381,0.50750492,0.27521398
-5.84992496,2.70207498,0.01611313,0.38312058,1.66039666,0.88074765,0.01772621,1.04319092,0.54421799,0.28254992
-5.84392196,2.81943967,0.01674243,0.39905831,1.74060784,0.91967225,0.01709967,1.09178315,0.58193443,0.29082226
-5.83791896,2.93963962,0.01739968,0.41528436,1.82155559,0.95919253,0.01646159,1.14156762,0.62031846,0.29997224
-5.83191596,3.06160675,0.01807300,0.43165572,1.90250032,0.99900751,0.01582170,1.19202923,0.65901531,0.30992300
-5.82591296,3.18424462,0.01874958,0.44802999,1.98272115,1.03881961,0.01518926,1.24263165,0.69765891,0.32058064
-5.81990995,3.30644802,0.01941610,0.46426678,2.06152850,1.07833806,0.01457287,1.29282960,0.73588032,0.33183584
-5.81390695,3.42712262,0.02005912,0.48022909,2.13827549,1.11728179,0.01398026,1.34208178,0.77331654,0.34356588
-5.80790395,3.54520407,0.02066545,0.49578443,2.21236763,1.15538171,0.01341819,1.38986381,0.80961921,0.35563683
-5.80190095,3.65967548,0.02122259,0.51080583,2.28327052,1.19238236,0.01289236,1.43568054,0.84446283,0.36790608
-5.79589795,3.76958249,0.02171911,0.52517269,2.35051520,1.22804292,0.01240733,1.47907700,0.87755201,0.38022479
-5.78989495,3.87404519,0.02214499,0.53877148,2.41370106,1.26213735,0.01196651,1.51964747,0.90862725,0.39244047
-5.78389195,3.97226630,0.02249190,0.55149634,2.47249616,1.29445400,0.01157214,1.55704210,0.93746923,0.40439931
-5.77788894,4.06353532,0.02275340,0.56324958,2.52663502,1.32479447,0.01122536,1.59097081,0.96390102,0.41594843
-5.77188594,4.14722870,0.02292511,0.57394206,2.57591412,1.35297206,0.01092624,1.62120437,0.98778842,0.42693783
-5.76588294,4.22280624,0.02300471,0.58349357,2.62018534,1.37880980,0.01067387,1.64757254,1.00903833,0.43722221
-5.75987994,4.28980442,0.02299193,0.59183307,2.65934802,1.40213850,0.01046641,1.66995974,1.02759527,0.44666245
-5.75387694,4.34782746,0.02288844,0.59889908,2.69333988,1.42279478,0.01030121,1.68829863,1.04343653,0.45512704
-5.74787394,4.39653721,0.02269761,0.60463988,2.72212782,1.44061970,0.01017494,1.70256212,1.05656616,0.46249331
-5.74187094,4.43564301,0.02242431,0.60901392,2.74569898,1.45545782,0.01008364,1.71275464,1.06700839,0.46864866
-5.73586793,4.46489281,0.02207460,0.61199016,2.76405287,1.46715738,0.01002290,1.71890339,1.07480090,0.47349177
-5.72986493,4.48406655,0.02165539,0.61354850,2.77719524,1.47557129,0.00998796,1.72105025,1.07998862,0.47693394
-5.72386193,4.49297280,0.02117421,0.61368027,2.78513394,1.48055953,0.00997384,1.71924516,1.08261829,0.47890053
-5.71785893,4.49144933,0.02063878,0.61238869,2.78787744,1.48199255,0.00997549,1.71354148,1.08273446,0.47933246
-5.71185593,4.47936797,0.02005687,0.60968942,2.78543593,1.47975590,0.00998794,1.70399364,1.08037695,0.47818797
-5.70585293,4.45664355,0.01943598,0.60561102,2.77782507,1.47375574,0.01000644,1.69065735,1.07558019,0.47544434
-5.69984992,4.42324674,0.01878321,0.60019538,2.76507217,1.46392517,0.01002662,1.67359238,1.06837427,0.47109962
-5.69384692,4.37921979,0.01810513,0.59349798,2.74722432,1.45023079,0.01004461,1.65286749,1.05878766,0.46517429
-5.68784392,4.32469420,0.01740772,0.58558803,2.72435794,1.43267932,0.01005724,1.62856726,1.04685142,0.45771269
-5.68184092,4.25990887,0.01669636,0.57654839,2.69658894,1.41132379,0.01006213,1.60080011,1.03260440,0.44878409
-5.67583792,4.18522743,0.01597590,0.56647518,2.66408281,1.38626882,0.01005784,1.56970677,1.01609906,0.43848322
-5.66983492,4.10115304,0.01525068,0.55547714,2.62706371,1.35767460,0.01004394,1.53546857,0.99740747,0.42693036
-5.66383192,4.00833947,0.01452467,0.54367463,2.58582185,1.32575931,0.01002110,1.49831466,0.97662684,0.41427055
-5.65782891,3.90759716,0.01380160,0.53119832,2.54071841,1.29079955,0.00999114,1.45852747,0.95388431,0.40067221
-5.65182591,3.79989323,0.01308499,0.51818754,2.49218753,1.25312874,0.00995703,1.41644589,0.92934036,0.38632488
-5.64582291,3.68634509,0.01237834,0.50478834,2.44073492,1.21313332,0.00992286,1.37246575,0.90319073,0.37143622
-5.63981991,3.56820723,0.01168515,0.49115126,2.38693298,1.17124688,0.00989376,1.32703719,0.87566647,0.35622827
-5.63381691,3.44685157,0.01100896,0.47742890,2.33141248,1.12794232,0.00987576,1.28065916,0.84703215,0.34093312
-5.62781391,3.32374191,0.01035340,0.46377339,2.27485108,1.08372239,0.00987568,1.23387089,0.81758227,0.32578802
-5.62181091,3.20040348,0.00972210,0.45033372,2.21795919,1.03910891,0.00990089,1.18724094,0.78763588,0.31103010
-5.61580790,3.07838873,0.00911872,0.43725314,2.16146366,0.99463113,0.00995907,1.14135412,0.75752991,0.29689098
-5.60980490,2.95924102,0.00854678,0.42466665,2.10609035,0.95081371,0.01005796,1.09679708,0.72761140,0.28359125
-5.60380190,2.84445755,0.00800961,0.41269868,2.05254603,0.90816486,0.01020502,1.05414304,0.69822900,0.27133527
-5.59779890,2.73545327,0.00751019,0.40146101,2.00150080,0.86716502,0.01040718,1.01393660,0.66972442,0.26030614
-5.59179590,2.63352722,0.00705107,0.39105106,1.95357161,0.82825662,0.01067048,0.97667923,0.64242385,0.25066136
-5.58579290,2.53983273,0.00663421,0.38155049,1.90930770,0.79183530,0.01099977,0.94281608,0.61663022,0.24252907
-5.57978989,2.45535257,0.00626089,0.37302435,1.86917854,0.75824284,0.01139844,0.91272473,0.59261625,0.23600515
-5.57378689,2.38088000,0.00593164,0.36552053,1.83356474,0.72776209,0.01186813,0.88670633,0.57061882,0.23115114
-5.56778389,2.31700624,0.00564612,0.35906980,1.80275215,0.70061398,0.01240857,0.86497944,0.55083479,0.22799332
-5.56178089,2.26411473,0.00540319,0.35368623,1.77692934,0.67695662,0.01301737,0.84767665,0.53341824,0.22652258
-5.55577789,2.22238205,0.00520083,0.34936806,1.75618822,0.65688650,0.01368998,0.83484418,0.51847949,0.22669552
