energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,6.25668796,0.09813801,0.60993497,0.88334501,0.43945304,1.39591155,0.97456341,0.08278194,2.40204089
-5.99399700,6.34857465,0.09853701,0.60403043,0.89384866,0.44871470,1.43330420,0.96704616,0.08505545,2.46730207
-5.98799400,6.43378350,0.09919149,0.59944172,0.90280026,0.45666373,1.47089396,0.96152918,0.08712303,2.52615600
-5.98199100,6.51165953,0.10011854,0.59622749,0.91009591,0.46322505,1.50843855,0.95820055,0.08895688,2.57808136
-5.97598799,6.58179871,0.10132887,0.59443261,0.91568410,0.46835535,1.54571127,0.95721555,0.09053494,2.62272996
-5.96998499,6.64403015,0.10282601,0.59408339,0.91956332,0.47204294,1.58249425,0.95868873,0.09184118,2.65992602
-5.96398199,6.69838914,0.10460559,0.59518335,0.92177777,0.47430636,1.61857146,0.96268700,0.09286560,2.68965910
-5.95797899,6.74508247,0.10665500,0.59770981,0.92241127,0.47519201,1.65372220,0.96922410,0.09360409,2.71207103
-5.95197599,6.78444875,0.10895313,0.60161156,0.92157980,0.47477088,1.68771547,0.97825670,0.09405802,2.72743801
-5.94597299,6.81691570,0.11147052,0.60680757,0.91942325,0.47313462,1.72030602,0.98968231,0.09423372,2.73614879
-5.93996998,6.84295725,0.11416968,0.61318699,0.91609659,0.47039120,1.75123232,1.00333916,0.09414180,2.73868042
-5.93396698,6.86305243,0.11700582,0.62061029,0.91176128,0.46666028,1.78021674,1.01900789,0.09379645,2.73557273
-5.92796398,6.87764836,0.11992774,0.62891151,0.90657705,0.46206874,1.80696815,1.03641510,0.09321467,2.72740301
-5.92196098,6.88712874,0.12287901,0.63790151,0.90069468,0.45674628,1.83118659,1.05523848,0.09241554,2.71476187
-5.91595798,6.89178910,0.12579934,0.64737199,0.89424993,0.45082159,1.85256990,1.07511336,0.09141952,2.69823148
-5.90995498,6.89181943,0.12862611,0.65710002,0.88735899,0.44441893,1.87082180,1.09564026,0.09024785,2.67836676
-5.90395198,6.88729421,0.13129596,0.66685295,0.88011534,0.43765537,1.88566075,1.11639322,0.08892201,2.65568016
-5.89794897,6.87816965,0.13374643,0.67639337,0.87258830,0.43063871,1.89682915,1.13692850,0.08746336,2.63063020
-5.89194597,6.86428753,0.13591756,0.68548395,0.86482298,0.42346602,1.90410199,1.15679352,0.08589282,2.60361388
-5.88594297,6.84538456,0.13775341,0.69389200,0.85684163,0.41622277,1.90729463,1.17553555,0.08423065,2.57496264
-5.87993997,6.82110658,0.13920343,0.70139361,0.84864618,0.40898256,1.90626894,1.19271016,0.08249638,2.54494176
-5.87393697,6.79102635,0.14022361,0.70777727,0.84022166,0.40180726,1.90093768,1.20788919,0.08070873,2.51375256
-5.86793397,6.75466426,0.14077745,0.71284707,0.83154045,0.39474756,1.89126684,1.22066824,0.07888565,2.48153712
-5.86193097,6.71151111,0.14083670,0.71642534,0.82256693,0.38784374,1.87727595,1.23067362,0.07704433,2.44838503
-5.85592796,6.66105248,0.14038181,0.71835496,0.81326253,0.38112684,1.85903651,1.23756882,0.07520131,2.41434168
-5.84992496,6.60279423,0.13940220,0.71850144,0.80359082,0.37461977,1.83666902,1.24106047,0.07337247,2.37941784
