energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,7.17646659,0.02594061,0.57390217,1.60445860,3.58599942,0.38965843,0.64554541,2.45406564,0.00000000
-5.99399700,7.12925886,0.02501723,0.56864352,1.57333116,3.59102481,0.38269760,0.63619436,2.41737213,0.00000000
-5.98799400,7.06292148,0.02408731,0.56124434,1.53927495,3.58621034,0.37524591,0.62421013,2.37456423,0.00000000
-5.98199100,6.97647613,0.02314339,0.55170048,1.50216526,3.57088392,0.36716039,0.60966180,2.32535295,0.00000000
-5.97598799,6.86943511,0.02218088,0.54006310,1.46198292,3.54458357,0.35833725,0.59268213,2.26963686,0.00000000
-5.96998499,6.74182031,0.02119812,0.52643641,1.41881335,3.50707737,0.34871380,0.57346250,2.20750580,0.00000000
-5.96398199,6.59416547,0.02019631,0.51097426,1.37284170,3.45837635,0.33826886,0.55224607,2.13923758,0.00000000
-5.95797899,6.42750241,0.01917932,0.49387563,1.32434452,3.39873994,0.32702183,0.52931933,2.06528814,0.00000000
-5.95197599,6.24333252,0.01815343,0.47537930,1.27367868,3.32867416,0.31503049,0.50500267,1.98627601,0.00000000
-5.94597299,6.04358559,0.01712704,0.45575794,1.22126827,3.24892278,0.30238784,0.47964034,1.90296206,0.00000000
-5.93996998,5.83056842,0.01611023,0.43531190,1.16759014,3.16045213,0.28921806,0.45359027,1.81622575,0.00000000
-5.93396698,5.60690609,0.01511444,0.41436292,1.11315911,3.06443062,0.27567197,0.42721430,1.72703924,0.00000000
-5.92796398,5.37547857,0.01415203,0.39324796,1.05851331,2.96220383,0.26192223,0.40086903,1.63644065,0.00000000
-5.92196098,5.13935568,0.01323594,0.37231337,1.00420049,2.85526653,0.24815838,0.37489783,1.54550759,0.00000000
-5.91595798,4.90173272,0.01237929,0.35190946,0.95076572,2.74523276,0.23458208,0.34962410,1.45533212,0.00000000
-5.90995498,4.66586895,0.01159506,0.33238565,0.89874080,2.63380495,0.22140264,0.32534594,1.36699799,0.00000000
-5.90395198,4.43503046,0.01089584,0.31408609,0.84863570,2.52274313,0.20883291,0.30233228,1.28156071,0.00000000
-5.89794897,4.21243855,0.01029352,0.29734585,0.80093189,2.41383490,0.19708574,0.28082053,1.20003089,0.00000000
-5.89194597,4.00122380,0.00979910,0.28248755,0.75607758,2.30886672,0.18637084,0.26101538,1.12336093,0.00000000
-5.88594297,3.80438606,0.00942251,0.26981824,0.71448453,2.20959670,0.17689212,0.24308891,1.05243490,0.00000000
-5.87993997,3.62475946,0.00917242,0.25962657,0.67652621,2.11772906,0.16884542,0.22718143,0.98806130,0.00000000
-5.87393697,3.46498176,0.00905609,0.25217993,0.64253682,2.03489005,0.16241655,0.21340308,0.93096823,0.00000000
-5.86793397,3.32746681,0.00907927,0.24772153,0.61281077,1.96260524,0.15777943,0.20183575,0.88180037,0.00000000
-5.86193097,3.21437907,0.00924604,0.24646732,0.58760232,1.90227762,0.15509432,0.19253528,0.84111712,0.00000000
-5.85592796,3.12760900,0.00955871,0.24860251,0.56712501,1.85516664,0.15450594,0.18553348,0.80939135,0.00000000
-5.84992496,3.06874882,0.01001772,0.25427797,0.55155054,1.82236765,0.15614153,0.18084010,0.78700813,0.00000000
-5.84392196,3.03906788,0.01062152,0.26360623,0.54100714,1.80479194,0.16010860,0.17844444,0.77426318,0.00000000
-5.83791896,3.03948807,0.01136649,0.27665742,0.53557726,1.80314748,0.16649252,0.17831662,0.77136064,0.00000000
-5.83191596,3.07055950,0.01224690,0.29345514,0.53529478,1.81792071,0.17535398,0.18040859,0.77841009,0.00000000
-5.82591296,3.13243767,0.01325484,0.31397265,0.54014187,1.84936015,0.18672627,0.18465480,0.79542304,0.00000000
-5.81990995,3.22486349,0.01438024,0.33812949,0.55004585,1.89746233,0.20061271,0.19097275,0.82230901,0.00000000
-5.81390695,3.34714791,0.01561093,0.36578894,0.56487643,1.96196133,0.21698429,0.19926346,0.85887164,0.00000000
-5.80790395,3.49816311,0.01693273,0.39675653,0.58444372,2.04232267,0.23577767,0.20941210,0.90480552,0.00000000
-5.80190095,3.67634207,0.01832964,0.43077989,0.60849734,2.13774268,0.25689389,0.22128869,0.95969405,0.00000000
-5.79589795,3.87968844,0.01978402,0.46755027,0.63672719,2.24715421,0.28019792,0.23474933,1.02300919,0.00000000
-5.78989495,4.10579792,0.02127696,0.50670571,0.66876599,2.36923934,0.30551926,0.24963772,1.09411352,0.00000000
-5.78389195,4.35189215,0.02278856,0.54783611,0.70419384,2.50244954,0.33265366,0.26578715,1.17226512,0.00000000
-5.77788894,4.61486516,0.02429839,0.59049010,0.74254497,2.64503333,0.36136618,0.28302308,1.25662558,0.00000000
-5.77188594,4.89134198,0.02578595,0.63418354,0.78331642,2.79507094,0.39139556,0.30116596,1.34627127,0.00000000
-5.76588294,5.17774807,0.02723108,0.67840946,0.82597863,2.95051532,0.42245979,0.32003455,1.44020782,0.00000000
-5.75987994,5.47038735,0.02861454,0.72264913,0.86998741,3.10923831,0.45426281,0.33944931,1.53738748,0.00000000
-5.75387694,5.76552625,0.02991843,0.76638364,0.91479701,3.26908018,0.48650212,0.35923583,1.63672890,0.00000000
-5.74787394,6.05948045,0.03112667,0.80910580,0.95987345,3.42790089,0.51887694,0.37922813,1.73713863,0.00000000
-5.74187094,6.34870068,0.03222539,0.85033153,1.00470782,3.58363092,0.55109673,0.39927157,1.83753351,0.00000000
-5.73586793,6.62985382,0.03320326,0.88961044,1.04882862,3.73431950,0.58288950,0.41922524,1.93686299,0.00000000
-5.72986493,6.89989585,0.03405177,0.92653502,1.09181270,3.87817825,0.61400966,0.43896365,2.03413058,0.00000000
-5.72386193,7.15613328,0.03476533,0.96074807,1.13329424,4.01361828,0.64424505,0.45837770,2.12841327,0.00000000
-5.71785893,7.39627069,0.03534138,0.99194811,1.17297134,4.13927939,0.67342263,0.47737481,2.21887839,0.00000000
-5.71185593,7.61844233,0.03578031,1.01989246,1.21060997,4.25405005,0.70141287,0.49587821,2.30479710,0.00000000
-5.70585293,7.82122725,0.03608530,1.04439814,1.24604518,4.35707781,0.72813229,0.51382561,2.38555421,0.00000000
-5.69984992,8.00364781,0.03626208,1.06534060,1.27917977,4.44776998,0.75354445,0.53116724,2.46065399,0.00000000
-5.69384692,8.16515309,0.03631860,1.08265043,1.30998045,4.52578525,0.77765902,0.54786361,2.52972234,0.00000000
-5.68784392,8.30558897,0.03626464,1.09630863,1.33847227,4.59101725,0.80052942,0.56388311,2.59250534,0.00000000
