energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.37479590,0.00659350,0.19456543,0.02846673,1.39890260,1.34129460,0.57977729
-5.99399700,2.49429197,0.00690333,0.20230752,0.02996668,1.47300033,1.41200422,0.60983380
-5.98799400,2.61518993,0.00720253,0.21158409,0.03136230,1.54629336,1.48424370,0.64087302
-5.98199100,2.73625475,0.00748646,0.22242476,0.03263107,1.61789839,1.55730782,0.67264003
-5.97598799,2.85622663,0.00775086,0.23482897,0.03375266,1.68694986,1.63047471,0.70485620
-5.96998499,2.97384014,0.00799193,0.24876359,0.03470953,1.75261548,1.70301441,0.73722232
-5.96398199,3.08784088,0.00820643,0.26416091,0.03548733,1.81410995,1.77419587,0.76942173
-5.95797899,3.19699936,0.00839167,0.28091686,0.03607530,1.87070625,1.84329277,0.80112323
-5.95197599,3.30012225,0.00854554,0.29888983,0.03646642,1.92174470,1.90958830,0.83198391
-5.94597299,3.39606139,0.00866654,0.31790024,0.03665757,1.96663974,1.97237922,0.86165204
-5.93996998,3.48372125,0.00875373,0.33773090,0.03664939,2.00488461,2.03097981,0.88977020
-5.93396698,3.56206550,0.00880669,0.35812851,0.03644618,2.03605441,2.08472609,0.91597870
-5.92796398,3.63012357,0.00882551,0.37880639,0.03605554,2.05980768,2.13298083,0.93991967
-5.92196098,3.68699807,0.00881072,0.39944847,0.03548801,2.07588711,2.17513964,0.96124176
-5.91595798,3.73187339,0.00876321,0.41971475,0.03475663,2.08411958,2.21063850,0.97960563
-5.90995498,3.76402633,0.00868420,0.43924806,0.03387635,2.08441587,2.23896266,0.99469024
-5.90395198,3.78283848,0.00857519,0.45768205,0.03286361,2.07677026,2.25965689,1.00619976
-5.89794897,3.78781038,0.00843791,0.47465030,0.03173573,2.06126005,2.27233672,1.01387111
-5.89194597,3.77857690,0.00827424,0.48979612,0.03051045,2.03804493,2.27670013,1.01748167
-5.88594297,3.75492300,0.00808626,0.50278278,0.02920548,2.00736608,2.27253914,1.01685692
-5.87993997,3.71679885,0.00787613,0.51330383,0.02783810,1.96954472,2.25975047,1.01187763
