energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-4.52926463,6.18267118,1.65918471,0.00000000,1.28889349,0.00000000,6.66466186,3.09361751
-4.52326163,6.19315990,1.66336323,0.00000000,1.26475885,0.00000000,6.66772551,3.14702103
-4.51725863,6.17683804,1.65898321,0.00000000,1.23683345,0.00000000,6.64234501,3.18360530
-4.51125563,6.13321890,1.64593878,0.00000000,1.20545951,0.00000000,6.58778639,3.20251293
-4.50525263,6.06230898,1.62428404,0.00000000,1.17103733,0.00000000,6.50383209,3.20321259
-4.49924962,5.96461093,1.59423243,0.00000000,1.13401236,0.00000000,6.39079538,3.18551718
-4.49324662,5.84111113,1.55615146,0.00000000,1.09486082,0.00000000,6.24951853,3.14959119
-4.48724362,5.69325251,1.51055265,0.00000000,1.05407474,0.00000000,6.08135497,3.09594701
-4.48124062,5.52289414,1.45807745,0.00000000,1.01214715,0.00000000,5.88813608,3.02543044
-4.47523762,5.33225940,1.39947949,0.00000000,0.96955799,0.00000000,5.67212412,2.93919592
-4.46923462,5.12387487,1.33560415,0.00000000,0.92676154,0.00000000,5.43595298,2.83867276
-4.46323162,4.90050276,1.26736604,0.00000000,0.88417570,0.00000000,5.18255916,2.72552380
-4.45722861,4.66506939,1.19572542,0.00000000,0.84217363,0.00000000,4.91510536,2.60159822
-4.45122561,4.42059262,1.12166443,0.00000000,0.80107793,0.00000000,4.63689975,2.46888074
-4.44522261,4.17011101,1.04616383,0.00000000,0.76115748,0.00000000,4.35131366,2.32943903
-4.43921961,3.91661722,0.97018132,0.00000000,0.72262700,0.00000000,4.06170065,2.18537164
-4.43321661,3.66299781,0.89463182,0.00000000,0.68564900,0.00000000,3.77131989,2.03875836
-4.42721361,3.41198154,0.82037049,0.00000000,0.65033807,0.00000000,3.48326611,1.89161483
-4.42121061,3.16609720,0.74817883,0.00000000,0.61676705,0.00000000,3.20040850,1.74585272
-4.41520760,2.92764208,0.67875411,0.00000000,0.58497469,0.00000000,2.92534019,1.60324687
-4.40920460,2.69866132,0.61270221,0.00000000,0.55497426,0.00000000,2.66033945,1.46540984
-4.40320160,2.48093780,0.55053385,0.00000000,0.52676282,0.00000000,2.40734325,1.33377431
-4.39719860,2.27599201,0.49266398,0.00000000,0.50033040,0.00000000,2.16793331,1.20958324
-4.39119560,2.08509056,0.43941402,0.00000000,0.47566886,0.00000000,1.94333410,1.09388724
-4.38519260,1.90926190,0.39101646,0.00000000,0.45277985,0.00000000,1.73442187,0.98754840
-4.37918959,1.74931747,0.34762138,0.00000000,0.43168154,0.00000000,1.54174339,0.89124952
-4.37318659,1.60587626,0.30930434,0.00000000,0.41241385,0.00000000,1.36554264,0.80550748
-4.36718359,1.47939095,0.27607504,0.00000000,0.39504193,0.00000000,1.20579375,0.73068942
-4.36118059,1.37017367,0.24788630,0.00000000,0.37965776,0.00000000,1.06223808,0.66703041
-4.35517759,1.27841973,0.22464272,0.00000000,0.36637988,0.00000000,0.93442363,0.61465126
-4.34917459,1.20422792,0.20620882,0.00000000,0.35535122,0.00000000,0.82174488,0.57357534
-4.34317159,1.14761631,0.19241616,0.00000000,0.34673526,0.00000000,0.72348148,0.54374349
-4.33716858,1.10853289,0.18306924,0.00000000,0.34071068,0.00000000,0.63883440,0.52502620
-4.33116558,1.08686075,0.17795019,0.00000000,0.33746483,0.00000000,0.56695852,0.51723269
-4.32516258,1.08241816,0.17682202,0.00000000,0.33718633,0.00000000,0.50699084,0.52011664
-4.31915958,1.09495381,0.17943074,0.00000000,0.34005722,0.00000000,0.45807400,0.53337873
-4.31315658,1.12413848,0.18550633,0.00000000,0.34624511,0.00000000,0.41937490,0.55666624
-4.30715358,1.16955415,0.19476296,0.00000000,0.35589560,0.00000000,0.39009867,0.58957053
-4.30115058,1.23068202,0.20689874,0.00000000,0.36912559,0.00000000,0.36949831,0.63162284
-4.29514757,1.30689117,0.22159519,0.00000000,0.38601770,0.00000000,0.35688065,0.68228973
-4.28914457,1.39742922,0.23851704,0.00000000,0.40661615,0.00000000,0.35160924,0.74096877
-4.28314157,1.50141682,0.25731247,0.00000000,0.43092450,0.00000000,0.35310499,0.80698578
-4.27713857,1.61784706,0.27761414,0.00000000,0.45890527,0.00000000,0.36084538,0.87959445
-4.27113557,1.74559121,0.29904135,0.00000000,0.49048165,0.00000000,0.37436290,0.95797916
-4.26513257,1.88341143,0.32120335,0.00000000,0.52554130,0.00000000,0.39324338,1.04126174
-4.25912956,2.02998083,0.34370399,0.00000000,0.56394213,0.00000000,0.41712491,1.12851263
-4.25312656,2.18391106,0.36614760,0.00000000,0.60551994,0.00000000,0.44569764,1.21876647
-4.24712356,2.34378666,0.38814607,0.00000000,0.65009751,0.00000000,0.47870478,1.31104225
-4.24112056,2.50820553,0.40932686,0.00000000,0.69749494,0.00000000,0.51594489,1.40436734
-4.23511756,2.67582382,0.42934174,0.00000000,0.74754068,0.00000000,0.55727549,1.49780495
-4.22911456,2.84540383,0.44787578,0.00000000,0.80008276,0.00000000,0.60261762,1.59048385
-4.22311156,3.01586262,0.46465630,0.00000000,0.85499980,0.00000000,0.65196120,1.68162925
-4.21710855,3.18631914,0.47946136,0.00000000,0.91221105,0.00000000,0.70537043,1.77059344
-4.21110555,3.35613757,0.49212720,0.00000000,0.97168514,0.00000000,0.76298895,1.85688463
-4.20510255,3.52496444,0.50255451,0.00000000,1.03344674,0.00000000,0.82504380,1.94019257
-4.19909955,3.69275729,0.51071286,0.00000000,1.09758096,0.00000000,0.89184764,2.02040942
-4.19309655,3.85980291,0.51664319,0.00000000,1.16423478,0.00000000,0.96379844,2.09764447
-4.18709355,4.02672346,0.52045813,0.00000000,1.23361546,0.00000000,1.04137595,2.17223164
-4.18109055,4.19446926,0.52233992,0.00000000,1.30598544,0.00000000,1.12513431,2.24472875
-4.17508754,4.36429742,0.52253600,0.00000000,1.38165384,0.00000000,1.21569036,2.31590808
-4.16908454,4.53773618,0.52135237,0.00000000,1.46096441,0.00000000,1.31370710,2.38673793
-4.16308154,4.71653523,0.51914472,0.00000000,1.54428020,0.00000000,1.41987237,2.45835528
-4.15707854,4.90260293,0.51630783,0.00000000,1.63196509,0.00000000,1.53487260,2.53203010
-4.15107554,5.09793186,0.51326337,0.00000000,1.72436262,0.00000000,1.65936195,2.60912209
-4.14507254,5.30451464,0.51044660,0.00000000,1.82177279,0.00000000,1.79392753,2.69103115
-4.13906953,5.52425236,0.50829232,0.00000000,1.92442721,0.00000000,1.93905137,2.77914278
-4.13306653,5.75885856,0.50722059,0.00000000,2.03246370,0.00000000,2.09507038,2.87477044
-4.12706353,6.00976156,0.50762267,0.00000000,2.14590098,0.00000000,2.26213556,2.97909634
-4.12106053,6.27800882,0.50984751,0.00000000,2.26461456,0.00000000,2.44017216,3.09311300
-4.11505753,6.56417648,0.51418946,0.00000000,2.38831487,0.00000000,2.62884247,3.21756728
-4.10905453,6.86828779,0.52087726,0.00000000,2.51652859,0.00000000,2.82751317,3.35290914
-4.10305153,7.18974382,0.53006494,0.00000000,2.64858441,0.00000000,3.03522907,3.49924692
-4.09704852,7.52726968,0.54182477,0.00000000,2.78360420,0.00000000,3.25069518,3.65631103
-4.09104552,7.87887932,0.55614252,0.00000000,2.92050034,0.00000000,3.47226865,3.82342771
-4.08504252,8.24186141,0.57291518,0.00000000,3.05798029,0.00000000,3.69796211,3.99950423
-4.07903952,8.61278837,0.59195134,0.00000000,3.19455859,0.00000000,3.92545936,4.18302666
-4.07303652,8.98754987,0.61297412,0.00000000,3.32857691,0.00000000,4.15214407,4.37207098
-4.06703352,9.36141136,0.63562673,0.00000000,3.45823187,0.00000000,4.37514142,4.56432804
-4.06103052,9.72909743,0.65948049,0.00000000,3.58161039,0.00000000,4.59137232,4.75714209
-4.05502751,10.08489859,0.68404520,0.00000000,3.69673184,0.00000000,4.79761897,4.94756273
-4.04902451,10.42279935,0.70878154,0.00000000,3.80159584,0.00000000,4.99060004,5.13240890
-4.04302151,10.73662427,0.73311516,0.00000000,3.89423433,0.00000000,5.16705324,5.30834382
-4.03701851,11.02019793,0.75645222,0.00000000,3.97276620,0.00000000,5.32382248,5.47195859
-4.03101551,11.26751369,0.77819570,0.00000000,4.03545246,0.00000000,5.45794661,5.61986228
-4.02501251,11.47290577,0.79776226,0.00000000,4.08074992,0.00000000,5.56674626,5.74877559
-4.01900950,11.63121841,0.81459881,0.00000000,4.10736126,0.00000000,5.64790544,5.85562501
-4.01300650,11.73796585,0.82819855,0.00000000,4.11427925,0.00000000,5.69954468,5.93763423
-4.00700350,11.78947700,0.83811570,0.00000000,4.10082340,0.00000000,5.72028241,5.99240941
-4.00100050,11.78301889,0.84397850,0.00000000,4.06666725,0.00000000,5.70928227,6.01801513
-3.99499750,11.71689368,0.84550010,0.00000000,4.01185512,0.00000000,5.66628405,6.01303791
-3.98899450,11.59050525,0.84248669,0.00000000,3.93680738,0.00000000,5.59161693,5.97663478
-3.98299150,11.40439214,0.83484286,0.00000000,3.84231399,0.00000000,5.48619454,5.90856473
-3.97698849,11.16022524,0.82257376,0.00000000,3.72951644,0.00000000,5.35149171,5.80920175
-3.97098549,10.86077018,0.80578414,0.00000000,3.59987875,0.00000000,5.18950419,5.67952863
-3.96498249,10.50981563,0.78467427,0.00000000,3.45514873,0.00000000,5.00269273,5.52111173
-3.95897949,10.11207039,0.75953288,0.00000000,3.29731101,0.00000000,4.79391404,5.33605773
-3.95297649,9.67303335,0.73072750,0.00000000,3.12853390,0.00000000,4.56634132,5.12695392
-3.94697349,9.19884166,0.69869260,0.00000000,2.95111197,0.00000000,4.32337776,4.89679453
-3.94097049,8.69610321,0.66391601,0.00000000,2.76740684,0.00000000,4.06856621,4.64889623
-3.93496748,8.17172000,0.62692417,0.00000000,2.57978836,0.00000000,3.80549866,4.38680589
-3.92896448,7.63270947,0.58826689,0.00000000,2.39057830,0.00000000,3.53772889,4.11420471
