energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.47243074,0.07318857,0.00127240,0.32730179,0.00000000,0.32138582,0.22571709
-5.99399700,0.49409390,0.07954536,0.00131911,0.33833794,0.00000000,0.33455560,0.23581324
-5.98799400,0.51433672,0.08638951,0.00135949,0.34743427,0.00000000,0.34637380,0.24516886
-5.98199100,0.53309821,0.09378767,0.00139323,0.35444006,0.00000000,0.35675428,0.25374833
-5.97598799,0.55038251,0.10181383,0.00142027,0.35925118,0.00000000,0.36565513,0.26154737
-5.96998499,0.56625981,0.11054745,0.00144076,0.36181318,0.00000000,0.37308028,0.26859368
-5.96398199,0.58086453,0.12007104,0.00145511,0.36212255,0.00000000,0.37907917,0.27494628
-5.95797899,0.59439035,0.13046722,0.00146397,0.36022618,0.00000000,0.38374457,0.28069342
-5.95197599,0.60708258,0.14181524,0.00146821,0.35621883,0.00000000,0.38720846,0.28594913
-5.94597299,0.61922779,0.15418717,0.00146891,0.35023897,0.00000000,0.38963617,0.29084862
-5.93996998,0.63114142,0.16764388,0.00146733,0.34246293,0.00000000,0.39121914,0.29554252
-5.93396698,0.64315376,0.18223105,0.00146489,0.33309793,0.00000000,0.39216651,0.30019049
-5.92796398,0.65559497,0.19797522,0.00146309,0.32237410,0.00000000,0.39269600,0.30495427
-5.92196098,0.66877996,0.21488031,0.00146349,0.31053600,0.00000000,0.39302460,0.30999066
-5.91595798,0.68299382,0.23292466,0.00146764,0.29783416,0.00000000,0.39335944,0.31544468
-5.90995498,0.69847844,0.25205875,0.00147706,0.28451680,0.00000000,0.39388936,0.32144330
-5.90395198,0.71542119,0.27220388,0.00149313,0.27082234,0.00000000,0.39477758,0.32809003
-5.89794897,0.73394592,0.29325183,0.00151713,0.25697297,0.00000000,0.39615574,0.33546060
-5.89194597,0.75410697,0.31506553,0.00155008,0.24316938,0.00000000,0.39811972,0.34359995
-5.88594297,0.77588624,0.33748088,0.00159282,0.22958712,0.00000000,0.40072728,0.35252065
-5.87993997,0.79919358,0.36030957,0.00164587,0.21637432,0.00000000,0.40399759,0.36220277
-5.87393697,0.82387027,0.38334295,0.00170951,0.20365109,0.00000000,0.40791266,0.37259518
-5.86793397,0.84969555,0.40635662,0.00178368,0.19151028,0.00000000,0.41242049,0.38361822
-5.86193097,0.87639563,0.42911583,0.00186803,0.18001952,0.00000000,0.41743975,0.39516750
-5.85592796,0.90365492,0.45138123,0.00196192,0.16922441,0.00000000,0.42286557,0.40711873
-5.84992496,0.93112874,0.47291503,0.00206441,0.15915232,0.00000000,0.42857634,0.41933319
-5.84392196,0.95845707,0.49348704,0.00217432,0.14981689,0.00000000,0.43444092,0.43166371
-5.83791896,0.98527859,0.51288068,0.00229025,0.14122256,0.00000000,0.44032596,0.44396079
-5.83191596,1.01124456,0.53089851,0.00241065,0.13336912,0.00000000,0.44610312,0.45607870
-5.82591296,1.03603179,0.54736726,0.00253382,0.12625586,0.00000000,0.45165558,0.46788118
-5.81990995,1.05935439,0.56214203,0.00265801,0.11988513,0.00000000,0.45688386,0.47924657
-5.81390695,1.08097373,0.57510977,0.00278144,0.11426519,0.00000000,0.46171046,0.49007229
-5.80790395,1.10070630,0.58619168,0.00290240,0.10941214,0.00000000,0.46608338,0.50027831
-5.80190095,1.11842925,0.59534466,0.00301927,0.10535088,0.00000000,0.46997815,0.50980961
