energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.01148870,0.61148434,0.00449919,0.85298030,0.00000000,0.64502318,0.76144029
-5.99399700,1.94443602,0.59250475,0.00432307,0.82304277,0.00000000,0.61649445,0.74037983
-5.98799400,1.87119809,0.57077886,0.00414864,0.79144825,0.00000000,0.58771778,0.71639765
-5.98199100,1.79238567,0.54657777,0.00397604,0.75836445,0.00000000,0.55878229,0.68971393
-5.97598799,1.70883017,0.52023518,0.00380611,0.72405855,0.00000000,0.52985788,0.66063416
-5.96998499,1.62155473,0.49213476,0.00364038,0.68888912,0.00000000,0.50118879,0.62953902
-5.96398199,1.53173966,0.46269636,0.00348104,0.65329500,0.00000000,0.47308473,0.59687185
-5.95797899,1.44068390,0.43236157,0.00333084,0.61778189,0.00000000,0.44590990,0.56312438
-5.95197599,1.34976453,0.40157942,0.00319305,0.58290724,0.00000000,0.42007076,0.52882153
-5.94597299,1.26039591,0.37079280,0.00307131,0.54926411,0.00000000,0.39600286,0.49450577
-5.93996998,1.17399003,0.34042607,0.00296958,0.51746464,0.00000000,0.37415735,0.46072178
-5.93396698,1.09191929,0.31087418,0.00289198,0.48812353,0.00000000,0.35498749,0.42800192
-5.92796398,1.01548271,0.28249386,0.00284268,0.46184208,0.00000000,0.33893546,0.39685291
-5.92196098,0.94587626,0.25559665,0.00282577,0.43919302,0.00000000,0.32641979,0.36774417
-5.91595798,0.88416760,0.23044421,0.00284515,0.42070637,0.00000000,0.31782341,0.34109782
-5.90995498,0.83127546,0.20724559,0.00290435,0.40685652,0.00000000,0.31348254,0.31728071
-5.90395198,0.78795344,0.18615638,0.00300647,0.39805058,0.00000000,0.31367639,0.29659832
-5.89794897,0.75477815,0.16727964,0.00315398,0.39461806,0.00000000,0.31861776,0.27929050
-5.89194597,0.73214115,0.15066816,0.00334863,0.39680200,0.00000000,0.32844470,0.26552900
-5.88594297,0.72024457,0.13632793,0.00359135,0.40475143,0.00000000,0.34321313,0.25541653
-5.87993997,0.71909989,0.12422245,0.00388211,0.41851545,0.00000000,0.36289076,0.24898730
-5.87393697,0.72852974,0.11427761,0.00421985,0.43803894,0.00000000,0.38735242,0.24620877
-5.86793397,0.74817248,0.10638689,0.00460244,0.46316005,0.00000000,0.41637708,0.24698460
-5.86193097,0.77748959,0.10041671,0.00502656,0.49360975,0.00000000,0.44964687,0.25115851
-5.85592796,0.81577574,0.09621173,0.00548777,0.52901353,0.00000000,0.48674824,0.25851911
-5.84992496,0.86217176,0.09359989,0.00598048,0.56889571,0.00000000,0.52717582,0.26880558
-5.84392196,0.91568053,0.09239730,0.00649802,0.61268617,0.00000000,0.57033888,0.28171412
-5.83791896,0.97518588,0.09241270,0.00703277,0.65973000,0.00000000,0.61557083,0.29690516
-5.83191596,1.03947457,0.09345164,0.00757622,0.70929989,0.00000000,0.66214157,0.31401135
-5.82591296,1.10726105,0.09532027,0.00811923,0.76061118,0.00000000,0.70927273,0.33264611
-5.81990995,1.17721491,0.09782880,0.00865222,0.81283945,0.00000000,0.75615539,0.35241272
-5.81390695,1.24799052,0.10079455,0.00916540,0.86514012,0.00000000,0.80197004,0.37291387
-5.80790395,1.31825810,0.10404479,0.00964905,0.91666976,0.00000000,0.84590802,0.39376140
-5.80190095,1.38673547,0.10741905,0.01009382,0.96660818,0.00000000,0.88719381,0.41458593
-5.79589795,1.45221955,0.11077130,0.01049099,1.01418075,0.00000000,0.92510730,0.43504626
-5.78989495,1.51361646,0.11397157,0.01083281,1.05868009,0.00000000,0.95900517,0.45483822
-5.78389195,1.56996902,0.11690735,0.01111268,1.09948605,0.00000000,0.98834043,0.47370244
-5.77788894,1.62048071,0.11948444,0.01132545,1.13608350,0.00000000,1.01267934,0.49143105
-5.77188594,1.66453496,0.12162751,0.01146757,1.16807675,0.00000000,1.03171473,0.50787276
-5.76588294,1.70170892,0.12328016,0.01153725,1.19520032,0.00000000,1.04527531,0.52293624
-5.75987994,1.73178106,0.12440450,0.01153452,1.21732520,0.00000000,1.05333031,0.53659152
-5.75387694,1.75473228,0.12498043,0.01146125,1.23446063,0.00000000,1.05598933,0.54886930
