energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,4.51711747,0.42171396,0.00910333,1.73474821,2.95161467,0.85100538,0.00000000
-5.99399700,4.64760103,0.43349416,0.00907912,1.75704556,3.06161806,0.87715847,0.00000000
-5.98799400,4.79327753,0.44664786,0.00907759,1.78466539,3.18226570,0.90726120,0.00000000
-5.98199100,4.95573468,0.46132159,0.00910414,1.81838686,3.31461399,0.94143726,0.00000000
-5.97598799,5.13644645,0.47764757,0.00916388,1.85896131,3.45963922,0.97979366,0.00000000
-5.96998499,5.33671530,0.49573867,0.00926140,1.90708665,3.61819747,1.02241236,0.00000000
-5.96398199,5.55761311,0.51568337,0.00940075,1.96338108,3.79098343,1.06934153,0.00000000
-5.95797899,5.79992245,0.53754068,0.00958526,2.02835704,3.97848945,1.12058659,0.00000000
-5.95197599,6.06408036,0.56133538,0.00981748,2.10239622,4.18096632,1.17610146,0.00000000
-5.94597299,6.35012682,0.58705370,0.01009910,2.18572661,4.39838746,1.23578040,0.00000000
-5.93996998,6.65766031,0.61463960,0.01043083,2.27840245,4.63041801,1.29945079,0.00000000
-5.93396698,6.98580284,0.64399196,0.01081238,2.38028802,4.87639070,1.36686745,0.00000000
-5.92796398,7.33317645,0.67496289,0.01124243,2.49104606,5.13528995,1.43770864,0.00000000
-5.92196098,7.69789334,0.70735722,0.01171859,2.61013148,5.40574544,1.51157437,0.00000000
-5.91595798,8.07756084,0.74093348,0.01223744,2.73679103,5.68603634,1.58798702,0.00000000
-5.90995498,8.46930227,0.77540629,0.01279452,2.87006904,5.97410673,1.66639461,0.00000000
-5.90395198,8.86979391,0.81045035,0.01338444,3.00881951,6.26759231,1.74617675,0.00000000
-5.89794897,9.27531771,0.84570582,0.01400094,3.15172427,6.56385831,1.82665303,0.00000000
-5.89194597,9.68182859,0.88078510,0.01463700,3.29731690,6.86004753,1.90709392,0.00000000
-5.88594297,10.08503463,0.91528086,0.01528498,3.44401170,7.15313744,1.98673363,0.00000000
-5.87993997,10.48048769,0.94877485,0.01593676,3.59013690,7.44000447,2.06478469,0.00000000
-5.87393697,10.86368167,0.98084755,0.01658395,3.73397105,7.71749362,2.14045363,0.00000000
-5.86793397,11.23015512,1.01108804,0.01721803,3.87378142,7.98249086,2.21295736,0.00000000
-5.86193097,11.57559483,1.03910388,0.01783054,4.00786323,8.23199615,2.28153958,0.00000000
-5.85592796,11.89593692,1.06453068,0.01841332,4.13457831,8.46319434,2.34548677,0.00000000
-5.84992496,12.18746197,1.08704086,0.01895865,4.25239204,8.67352176,2.40414317,0.00000000
-5.84392196,12.44688116,1.10635155,0.01945945,4.35990738,8.86072624,2.45692435,0.00000000
-5.83791896,12.67141069,1.12223109,0.01990946,4.45589485,9.02291857,2.50332894,0.00000000
-5.83191596,12.85883208,1.13450412,0.02030336,4.53931775,9.15861389,2.54294820,0.00000000
-5.82591296,13.00753683,1.14305500,0.02063691,4.60935168,9.26676184,2.57547331,0.00000000
-5.81990995,13.11655411,1.14782951,0.02090701,4.66539807,9.34676462,2.60070003,0.00000000
-5.81390695,13.18556103,1.14883478,0.02111183,4.70709131,9.39848263,2.61853095,0.00000000
-5.80790395,13.21487557,1.14613752,0.02125075,4.73429952,9.42222783,2.62897510,0.00000000
-5.80190095,13.20543270,1.13986068,0.02132442,4.74711897,9.41874525,2.63214511,0.00000000
-5.79589795,13.15874485,1.13017852,0.02133466,4.74586271,9.38918345,2.62825206,0.00000000
-5.78989495,13.07684831,1.11731065,0.02128443,4.73104376,9.33505518,2.61759822,0.00000000
-5.78389195,12.96223761,1.10151485,0.02117769,4.70335374,9.25818962,2.60056778,0.00000000
-5.77788894,12.81779009,1.08307928,0.02101926,4.66363768,9.16067789,2.57761607,0.00000000
-5.77188594,12.64668328,1.06231425,0.02081466,4.61286599,9.04481379,2.54925725,0.00000000
-5.76588294,12.45230799,1.03954377,0.02056995,4.55210474,8.91303153,2.51605114,0.00000000
-5.75987994,12.23817980,1.01509735,0.02029153,4.48248522,8.76784283,2.47858931,0.00000000
-5.75387694,12.00785204,0.98930216,0.01998593,4.40517390,8.61177521,2.43748091,0.00000000
