energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.20454151,0.01353108,0.02764552,0.64487763,0.30203962,0.07858052,0.01117387,0.70022698
-5.99399700,1.22825240,0.01360084,0.02772266,0.63939080,0.30792358,0.08010937,0.01175953,0.71589514
-5.98799400,1.24951738,0.01360084,0.02775766,0.63150909,0.31307831,0.08149012,0.01236534,0.73014662
-5.98199100,1.26846514,0.01353323,0.02776169,0.62151306,0.31753190,0.08273183,0.01298910,0.74302858
-5.97598799,1.28521977,0.01340129,0.02774507,0.60970022,0.32131553,0.08384289,0.01362738,0.75458745
-5.96998499,1.29989100,0.01320929,0.02771681,0.59637455,0.32446116,0.08483039,0.01427552,0.76486413
-5.96398199,1.31256696,0.01296234,0.02768429,0.58183668,0.32699983,0.08569964,0.01492760,0.77389045
-5.95797899,1.32331009,0.01266625,0.02765304,0.56637536,0.32896034,0.08645395,0.01557662,0.78168739
-5.95197599,1.33215661,0.01232732,0.02762672,0.55026044,0.33036886,0.08709465,0.01621467,0.78826519
-5.94597299,1.33911967,0.01195218,0.02760711,0.53373778,0.33124910,0.08762134,0.01683318,0.79362546
-5.93996998,1.34419589,0.01154763,0.02759434,0.51702604,0.33162328,0.08803240,0.01742327,0.79776503
-5.93396698,1.34737487,0.01112052,0.02758718,0.50031541,0.33151372,0.08832569,0.01797612,0.80068147
-5.92796398,1.34865099,0.01067758,0.02758342,0.48376817,0.33094488,0.08849936,0.01848332,0.80237973
-5.92196098,1.34803655,0.01022537,0.02758025,0.46752070,0.32994569,0.08855283,0.01893735,0.80287939
-5.91595798,1.34557518,0.00977019,0.02757478,0.45168679,0.32855198,0.08848775,0.01933188,0.80222200
-5.90995498,1.34135434,0.00931803,0.02756440,0.43636172,0.32680874,0.08830881,0.01966220,0.80047781
-5.90395198,1.33551593,0.00887454,0.02754721,0.42162672,0.32477184,0.08802458,0.01992544,0.79775124
-5.89794897,1.32826393,0.00844507,0.02752229,0.40755341,0.32250932,0.08764798,0.02012085,0.79418465
-5.89194597,1.31986828,0.00803462,0.02748991,0.39420786,0.32010168,0.08719659,0.02024985,0.78995981
-5.88594297,1.31066442,0.00764790,0.02745162,0.38165389,0.31764137,0.08669267,0.02031615,0.78529689
-5.87993997,1.30104828,0.00728938,0.02741015,0.36995547,0.31523120,0.08616276,0.02032555,0.78045078
-5.87393697,1.29146671,0.00696325,0.02736929,0.35917792,0.31298188,0.08563713,0.02028587,0.77570480
-5.86793397,1.28240382,0.00667352,0.02733360,0.34938807,0.31100861,0.08514878,0.02020663,0.77136203
-5.86193097,1.27436378,0.00642401,0.02730799,0.34065323,0.30942696,0.08473237,0.02009868,0.76773471
-5.85592796,1.26785120,0.00621835,0.02729732,0.33303923,0.30834835,0.08442281,0.01997383,0.76513227
-5.84992496,1.26335006,0.00606001,0.02730591,0.32660772,0.30787520,0.08425391,0.01984438,0.76384861
-5.84392196,1.26130240,0.00595224,0.02733706,0.32141297,0.30809617,0.08425687,0.01972265,0.76414940
-5.83791896,1.26208828,0.00589810,0.02739265,0.31749845,0.30908179,0.08445898,0.01962053,0.76626013
-5.83191596,1.26600783,0.00590038,0.02747275,0.31489349,0.31088066,0.08488233,0.01954903,0.77035563
-5.82591296,1.27326675,0.00596155,0.02757537,0.31361033,0.31351656,0.08554284,0.01951790,0.77655168
-5.81990995,1.28396590,0.00608372,0.02769633,0.31364177,0.31698660,0.08644952,0.01953530,0.78489907
-5.81390695,1.29809569,0.00626857,0.02782925,0.31495951,0.32126049,0.08760404,0.01960755,0.79538062
-5.80790395,1.31553536,0.00651724,0.02796572,0.31751356,0.32628117,0.08900067,0.01973896,0.80791122
