energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.00533493,0.00000008,0.00000000,0.00000146,0.00001537,0.00746511,0.00261375
-5.99399700,0.00417191,0.00000007,0.00000000,0.00000114,0.00001202,0.00583771,0.00204394
-5.98799400,0.00323900,0.00000005,0.00000000,0.00000089,0.00000933,0.00453230,0.00158688
-5.98199100,0.00249665,0.00000004,0.00000000,0.00000069,0.00000719,0.00349354,0.00122318
-5.97598799,0.00191062,0.00000003,0.00000000,0.00000052,0.00000550,0.00267351,0.00093607
-5.96998499,0.00145165,0.00000002,0.00000000,0.00000040,0.00000418,0.00203128,0.00071120
-5.96398199,0.00109501,0.00000002,0.00000000,0.00000030,0.00000315,0.00153224,0.00053648
-5.95797899,0.00082006,0.00000001,0.00000000,0.00000023,0.00000236,0.00114750,0.00040177
-5.95197599,0.00060974,0.00000001,0.00000000,0.00000017,0.00000176,0.00085320,0.00029873
-5.94597299,0.00045010,0.00000001,0.00000000,0.00000012,0.00000130,0.00062983,0.00022052
-5.93996998,0.00032987,0.00000001,0.00000000,0.00000009,0.00000095,0.00046159,0.00016162
-5.93396698,0.00024003,0.00000000,0.00000000,0.00000007,0.00000069,0.00033587,0.00011760
-5.92796398,0.00017339,0.00000000,0.00000000,0.00000005,0.00000050,0.00024263,0.00008495
-5.92196098,0.00012436,0.00000000,0.00000000,0.00000003,0.00000036,0.00017402,0.00006093
-5.91595798,0.00008855,0.00000000,0.00000000,0.00000002,0.00000025,0.00012391,0.00004338
-5.90995498,0.00006260,0.00000000,0.00000000,0.00000002,0.00000018,0.00008760,0.00003067
-5.90395198,0.00004394,0.00000000,0.00000000,0.00000001,0.00000013,0.00006148,0.00002153
-5.89794897,0.00003062,0.00000000,0.00000000,0.00000001,0.00000009,0.00004285,0.00001500
-5.89194597,0.00002119,0.00000000,0.00000000,0.00000001,0.00000006,0.00002964,0.00001038
