energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.67513108,0.20207077,1.37540523,0.00989687,0.00044835,1.33443455,1.53247837
-5.99399700,3.80362379,0.20857839,1.40057672,0.01028614,0.00048430,1.34953421,1.56524210
-5.98799400,3.92814518,0.21474138,1.42472136,0.01065695,0.00051963,1.36373062,1.59607925
-5.98199100,4.04549797,0.22035582,1.44690485,0.01099839,0.00055373,1.37632524,1.62390123
-5.97598799,4.15249903,0.22522670,1.46620592,0.01130039,0.00058601,1.38659831,1.64763735
-5.96998499,4.24608826,0.22917439,1.48175224,0.01155394,0.00061587,1.39384193,1.66627628
-5.96398199,4.32343514,0.23204051,1.49275452,0.01175136,0.00064273,1.39739265,1.67890551
-5.95797899,4.38203810,0.23369319,1.49853698,0.01188643,0.00066605,1.39666195,1.68474715
-5.95197599,4.41981212,0.23403125,1.49856271,0.01195458,0.00068535,1.39116278,1.68318794
-5.94597299,4.43516040,0.23298731,1.49245282,0.01195301,0.00070021,1.38053117,1.67380248
-5.93996998,4.42702686,0.23052956,1.47999834,0.01188065,0.00071032,1.36454158,1.65636816
-5.93396698,4.39492739,0.22666232,1.46116452,0.01173822,0.00071545,1.34311558,1.63087164
-5.92796398,4.33895840,0.22142513,1.43608758,0.01152809,0.00071550,1.31632354,1.59750638
-5.92196098,4.25978296,0.21489071,1.40506414,0.01125418,0.00071044,1.28437941,1.55666187
-5.91595798,4.15859555,0.20716168,1.36853430,0.01092174,0.00070039,1.24762933,1.50890507
-5.90995498,4.03706772,0.19836640,1.32705933,0.01053713,0.00068555,1.20653473,1.45495551
-5.90395198,3.89727783,0.18865403,1.28129544,0.01010762,0.00066623,1.16165125,1.39565520
-5.89794897,3.74162853,0.17818905,1.23196506,0.00964104,0.00064284,1.11360457,1.33193534
-5.89194597,3.57275655,0.16714562,1.17982734,0.00914555,0.00061584,1.06306484,1.26478131
-5.88594297,3.39343903,0.15570183,1.12564921,0.00862937,0.00058576,1.01072090,1.19519787
-5.87993997,3.20650094,0.14403425,1.07017861,0.00810052,0.00055318,0.95725565,1.12417607
-5.87393697,3.01472762,0.13231294,1.01412095,0.00756662,0.00051868,0.90332388,1.05266345
-5.86793397,2.82078596,0.12069700,0.95811979,0.00703469,0.00048287,0.84953329,0.98153850
-5.86193097,2.62715715,0.10933095,0.90274234,0.00651098,0.00044632,0.79642958,0.91159039
-5.85592796,2.43608297,0.09834193,0.84847006,0.00600094,0.00040961,0.74448587,0.84350433
-5.84992496,2.24952674,0.08783772,0.79569448,0.00550909,0.00037324,0.69409667,0.77785284
-5.84392196,2.06914940,0.07790567,0.74471771,0.00503904,0.00033768,0.64557619,0.71509265
-5.83791896,1.89630007,0.06861247,0.69575734,0.00459349,0.00030334,0.59916073,0.65556687
-5.83191596,1.73202002,0.06000460,0.64895483,0.00417430,0.00027057,0.55501444,0.59951168
-5.82591296,1.57705832,0.05210945,0.60438667,0.00378256,0.00023963,0.51323796,0.54706686
-5.81990995,1.43189708,0.04493698,0.56207735,0.00341868,0.00021073,0.47387907,0.49828910
-5.81390695,1.29678389,0.03848166,0.52201326,0.00308251,0.00018401,0.43694469,0.45316721
-5.80790395,1.17176928,0.03272483,0.48415677,0.00277344,0.00015956,0.40241343,0.41163835
-5.80190095,1.05674664,0.02763699,0.44845965,0.00249053,0.00013738,0.37024808,0.37360446
-5.79589795,0.95149285,0.02318028,0.41487542,0.00223261,0.00011747,0.34040760,0.33894809
-5.78989495,0.85570756,0.01931075,0.38337011,0.00199838,0.00009975,0.31285794,0.30754723
-5.78389195,0.76904991,0.01598059,0.35393118,0.00178650,0.00008412,0.28758173,0.27928856
-5.77788894,0.69117156,0.01314002,0.32657460,0.00159569,0.00007046,0.26458642,0.25407896
-5.77188594,0.62174525,0.01073904,0.30134995,0.00142477,0.00005862,0.24391086,0.23185510
-5.76588294,0.56048869,0.00872885,0.27834376,0.00127275,0.00004845,0.22563038,0.21259106
-5.75987994,0.50718360,0.00706301,0.25768131,0.00113883,0.00003979,0.20986042,0.19630399
-5.75387694,0.46168985,0.00569836,0.23952693,0.00102248,0.00003248,0.19675867,0.18305796
-5.74787394,0.42395523,0.00459564,0.22408318,0.00092349,0.00002636,0.18652601,0.17296599
-5.74187094,0.39402075,0.00371997,0.21158888,0.00084194,0.00002129,0.17940602,0.16619043
-5.73586793,0.37202212,0.00304108,0.20231637,0.00077827,0.00001713,0.17568336,0.16294162
-5.72986493,0.35818727,0.00253343,0.19656766,0.00073330,0.00001374,0.17568072,0.16347492
