energy_ev,total_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.87993997,4.17772885,1.79260567,2.78832423,1.41853465,0.42442937,0.00185016,0.36842239,0.47910900,0.00000000
-5.87393697,4.05803692,1.74250349,2.71059656,1.37656052,0.40891622,0.00172478,0.35577859,0.46455024,0.00000000
-5.86793397,3.93955652,1.69239998,2.63304650,1.33462423,0.39372585,0.00160298,0.34346790,0.45003309,0.00000000
-5.86193097,3.82277196,1.64240261,2.55588613,1.29298030,0.37897396,0.00148600,0.33159056,0.43567071,0.00000000
-5.85592796,3.70817039,1.59261921,2.47936148,1.25183342,0.36477119,0.00137496,0.32023653,0.42157373,0.00000000
-5.84992496,3.59623424,1.54315629,2.40374964,1.21133897,0.35121991,0.00127084,0.30948373,0.40784802,0.00000000
-5.84392196,3.48743277,1.49411761,2.32935403,1.17160541,0.33841123,0.00117447,0.29939644,0.39459264,0.00000000
-5.83791896,3.38221368,1.44560343,2.25649847,1.13269827,0.32642227,0.00108653,0.29002380,0.38189809,0.00000000
-5.83191596,3.28099559,1.39771058,2.18552074,1.09464551,0.31531396,0.00100757,0.28139872,0.36984514,0.00000000
-5.82591296,3.18416203,1.35053341,2.11676614,1.05744392,0.30512934,0.00093797,0.27353692,0.35850413,0.00000000
-5.81990995,3.09205745,1.30416559,2.05058153,1.02106625,0.29589269,0.00087801,0.26643654,0.34793487,0.00000000
-5.81390695,3.00498538,1.25870261,1.98731017,0.98546863,0.28760926,0.00082781,0.26007806,0.33818711,0.00000000
-5.80790395,2.92320877,1.21424468,1.92728732,0.95059791,0.28026587,0.00078737,0.25442474,0.32930157,0.00000000
-5.80190095,2.84695210,1.17089981,1.87083679,0.91639868,0.27383215,0.00075658,0.24942362,0.32131129,0.00000000
-5.79589795,2.77640493,1.12878661,1.81826798,0.88281948,0.26826242,0.00073523,0.24500696,0.31424333,0.00000000
-5.78989495,2.71172602,1.08803636,1.76987324,0.84981815,0.26349812,0.00072300,0.24109417,0.30812055,0.00000000
-5.78389195,2.65304750,1.04879421,1.72592517,0.81736593,0.25947056,0.00071949,0.23759432,0.30296330,0.00000000
-5.77788894,2.60047819,1.01121894,1.68667334,0.78545037,0.25610397,0.00072419,0.23440885,0.29879099,0.00000000
-5.77188594,2.55410537,0.97548125,1.65234017,0.75407686,0.25331855,0.00073655,0.23143476,0.29562312,0.00000000
-5.76588294,2.51399459,0.94176044,1.62311575,0.72326888,0.25103348,0.00075592,0.22856793,0.29347999,0.00000000
-5.75987994,2.48018695,0.91023942,1.59915123,0.69306704,0.24916962,0.00078160,0.22570651,0.29238268,0.00000000
-5.75387694,2.45269387,0.88109830,1.58055118,0.66352710,0.24765195,0.00081284,0.22275430,0.29235242,0.00000000
-5.74787394,2.43148936,0.85450681,1.56736472,0.63471700,0.24641144,0.00084882,0.21962393,0.29340935,0.00000000
-5.74187094,2.41650026,0.83061588,1.55957611,0.60671338,0.24538646,0.00088870,0.21623970,0.29557065,0.00000000
-5.73586793,2.40759493,0.80954890,1.55709526,0.57959756,0.24452363,0.00093158,0.21254003,0.29884814,0.00000000
-5.72986493,2.40457141,0.79139322,1.55974872,0.55345140,0.24377804,0.00097654,0.20847932,0.30324558,0.00000000
-5.72386193,2.40714586,0.77619232,1.56727212,0.52835320,0.24311300,0.00102265,0.20402924,0.30875566,0.00000000
-5.71785893,2.41494245,0.76393933,1.57930471,0.50437390,0.24249929,0.00106896,0.19917930,0.31535707,0.00000000
