energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,3.57728515,0.01374052,0.63779814,0.78366158,0.94832475,0.18265617,0.06225841,0.85437345
-5.99399700,3.43170485,0.01207786,0.61664028,0.76717149,0.90053686,0.16974055,0.05741841,0.81630443
-5.98799400,3.28482603,0.01058741,0.59487325,0.74925982,0.85354987,0.15686051,0.05281751,0.77806319
-5.98199100,3.13761282,0.00927066,0.57258097,0.72992749,0.80771840,0.14418665,0.04848759,0.73997792
-5.97598799,2.99104074,0.00812750,0.54986065,0.70922093,0.76337904,0.13187499,0.04445503,0.70237181
-5.96998499,2.84611184,0.00715667,0.52682641,0.68723825,0.72085491,0.12006512,0.04074105,0.66556523
-5.96398199,2.70386721,0.00635625,0.50361191,0.66413324,0.68045997,0.10887910,0.03736220,0.62987764
-5.95797899,2.56539536,0.00572411,0.48037176,0.64011697,0.64250282,0.09842100,0.03433087,0.59562925
-5.95197599,2.43183567,0.00525828,0.45728156,0.61545687,0.60728948,0.08877709,0.03165585,0.56314191
-5.94597299,2.30437602,0.00495724,0.43453650,0.59047342,0.57512489,0.08001652,0.02934274,0.53273908
-5.93996998,2.18424442,0.00482026,0.41234865,0.56553443,0.54631280,0.07219244,0.02739443,0.50474471
-5.93396698,2.07269449,0.00484748,0.39094288,0.54104735,0.52115403,0.06534327,0.02581135,0.47948098
-5.92796398,1.97098534,0.00504007,0.37055174,0.51744983,0.49994291,0.05949428,0.02459172,0.45726481
-5.92196098,1.88035643,0.00540019,0.35140950,0.49519889,0.48296218,0.05465909,0.02373164,0.43840324
-5.91595798,1.80199860,0.00593096,0.33374545,0.47475935,0.47047642,0.05084114,0.02322506,0.42318782
-5.90995498,1.73702243,0.00663625,0.31777713,0.45659167,0.46272431,0.04803506,0.02306367,0.41188830
-5.90395198,1.68642551,0.00752050,0.30370338,0.44114002,0.45991022,0.04622783,0.02323670,0.40474576
-5.89794897,1.65106010,0.00858844,0.29169789,0.42882070,0.46219549,0.04539965,0.02373072,0.40196559
-5.89194597,1.63160287,0.00984474,0.28190335,0.42001159,0.46968996,0.04552470,0.02452934,0.40371068
-5.88594297,1.62852827,0.01129371,0.27442659,0.41504282,0.48244428,0.04657156,0.02561303,0.41009517
-5.87993997,1.64208711,0.01293889,0.26933481,0.41418907,0.50044352,0.04850352,0.02695894,0.42117905
-5.87393697,1.67229135,0.01478272,0.26665325,0.41766368,0.52360247,0.05127870,0.02854084,0.43696411
-5.86793397,1.71890654,0.01682620,0.26636433,0.42561474,0.55176333,0.05485011,0.03032922,0.45739135
-5.86193097,1.78145219,0.01906865,0.26840827,0.43812326,0.58469572,0.05916569,0.03229147,0.48234026
-5.85592796,1.85921084,0.02150741,0.27268535,0.45520340,0.62209961,0.06416843,0.03439232,0.51163001
-5.84992496,1.95124553,0.02413775,0.27905953,0.47680471,0.66361096,0.06979651,0.03659441,0.54502269
-5.84392196,2.05642543,0.02695276,0.28736342,0.50281624,0.70881018,0.07598369,0.03885907,0.58222862
-5.83791896,2.17345871,0.02994335,0.29740441,0.53307221,0.75723304,0.08265987,0.04114718,0.62291355
-5.83191596,2.30093162,0.03309839,0.30897156,0.56735915,0.80838380,0.08975183,0.04342029,0.66670760
-5.82591296,2.43735216,0.03640481,0.32184310,0.60542403,0.86174995,0.09718423,0.04564171,0.71321563
-5.81990995,2.58119664,0.03984792,0.33579415,0.64698308,0.91681789,0.10488078,0.04777769,0.76202874
-5.81390695,2.73095716,0.04341165,0.35060430,0.69173102,0.97308898,0.11276561,0.04979863,0.81273632
-5.80790395,2.88518806,0.04707895,0.36606474,0.73935012,1.03009506,0.12076465,0.05168017,0.86493833
-5.80190095,3.04254921,0.05083211,0.38198460,0.78951906,1.08741278,0.12880718,0.05340416,0.91825727
-5.79589795,3.20184436,0.05465319,0.39819624,0.84192090,1.14467598,0.13682723,0.05495949,0.97234927
-5.78989495,3.36205282,0.05852432,0.41455921,0.89625021,1.20158550,0.14476492,0.05634263,1.02691398
-5.78389195,3.52235310,0.06242809,0.43096283,0.95221894,1.25791595,0.15256764,0.05755798,1.08170270
-5.77788894,3.68213762,0.06634778,0.44732712,1.00956096,1.31351906,0.16019086,0.05861789,1.13652454
-5.77188594,3.84101789,0.07026761,0.46360227,1.06803525,1.36832355,0.16759877,0.05954229,1.19125025
-5.76588294,3.99882004,0.07417291,0.47976660,1.12742757,1.42233143,0.17476447,0.06035818,1.24581354
-5.75987994,4.15557121,0.07805017,0.49582324,1.18755087,1.47561114,0.18166985,0.06109868,1.30020993
-5.75387694,4.31147737,0.08188709,0.51179567,1.24824437,1.52828776,0.18830507,0.06180185,1.35449299
-5.74787394,4.46689397,0.08567253,0.52772250,1.30937159,1.58053091,0.19466776,0.06250934,1.40876820
-5.74187094,4.62229058,0.08939643,0.54365170,1.37081748,1.63254108,0.20076187,0.06326477,1.46318457
-5.73586793,4.77821135,0.09304963,0.55963471,1.43248475,1.68453492,0.20659635,0.06411209,1.51792433
-5.72986493,4.93523294,0.09662373,0.57572064,1.49428976,1.73673037,0.21218370,0.06509382,1.57319091
-5.72386193,5.09392162,0.10011089,0.59195098,1.55615801,1.78933228,0.21753834,0.06624934,1.62919581
-5.71785893,5.25479129,0.10350361,0.60835494,1.61801947,1.84251912,0.22267519,0.06761330,1.68614451
-5.71185593,5.41826399,0.10679454,0.62494581,1.67980394,1.89643130,0.22760820,0.06921410,1.74422216
-5.70585293,5.58463421,0.10997626,0.64171824,1.74143649,1.95116159,0.23234916,0.07107266,1.80357932
-5.69984992,5.75403830,0.11304112,0.65864680,1.80283330,2.00674774,0.23690674,0.07320143,1.86431840
-5.69384692,5.92642987,0.11598104,0.67568554,1.86389780,2.06316766,0.24128586,0.07560367,1.92648128
-5.68784392,6.10156204,0.11878740,0.69276875,1.92451762,2.12033693,0.24548742,0.07827315,1.99003861
-5.68184092,6.27897711,0.12145089,0.70981269,1.98456227,2.17810879,0.24950834,0.08119408,2.05488138
-5.67583792,6.45800408,0.12396144,0.72671819,2.04388185,2.23627629,0.25334200,0.08434156,2.12081509
-5.66983492,6.63776422,0.12630815,0.74337395,2.10230711,2.29457645,0.25697902,0.08768221,2.18755718
-5.66383192,6.81718491,0.12847926,0.75966047,2.15965102,2.35269631,0.26040836,0.09117532,2.25473787
-5.65782891,6.99502154,0.13046218,0.77545431,2.21571214,2.41028047,0.26361858,0.09477415,2.32190482
-5.65182591,7.16988730,0.13224353,0.79063263,2.27027988,2.46694007,0.26659935,0.09842759,2.38853167
-5.64582291,7.34029047,0.13380925,0.80507784,2.32314199,2.52226294,0.26934301,0.10208200,2.45403047
-5.63981991,7.50467845,0.13514475,0.81868226,2.37409409,2.57582481,0.27184612,0.10568322,2.51776787
-5.63381691,7.66148762,0.13623515,0.83135269,2.42295129,2.62720142,0.27411098,0.10917864,2.57908468
-5.62781391,7.80919793,0.13706551,0.84301476,2.46956162,2.67598139,0.27614690,0.11251929,2.63731813
-5.62181091,7.94639056,0.13762119,0.85361710,2.51382085,2.72177966,0.27797123,0.11566186,2.69182638
-5.61580790,8.07180712,0.13788822,0.86313515,2.55568814,2.76425133,0.27961010,0.11857064,2.74201409
-5.60980490,8.18440804,0.13785375,0.87157451,2.59520176,2.80310567,0.28109871,0.12121910,2.78735821
