energy_ev,total_up,Ga_p_up,Ga_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.02790112,0.06983374,0.00000000,0.95935947,1.19144443,0.65690708,0.00000000
-5.99399700,2.02504800,0.06911910,0.00000000,0.95979834,1.18976013,0.66124923,0.00000000
-5.98799400,2.01753795,0.06836158,0.00000000,0.95734006,1.18516029,0.66426926,0.00000000
-5.98199100,2.00514817,0.06754282,0.00000000,0.95187172,1.17757075,0.66580815,0.00000000
-5.97598799,1.98774817,0.06664676,0.00000000,0.94332651,1.16697213,0.66573940,0.00000000
-5.96998499,1.96530855,0.06566068,0.00000000,0.93168932,1.15340331,0.66397324,0.00000000
-5.96398199,1.93790642,0.06457596,0.00000000,0.91700085,1.13696301,0.66045949,0.00000000
-5.95797899,1.90572727,0.06338871,0.00000000,0.89936017,1.11780944,0.65518908,0.00000000
-5.95197599,1.86906330,0.06210015,0.00000000,0.87892543,1.09615822,0.64819404,0.00000000
-5.94597299,1.82830831,0.06071683,0.00000000,0.85591267,1.07227837,0.63954613,0.00000000
-5.93996998,1.78394939,0.05925055,0.00000000,0.83059282,1.04648691,0.62935413,0.00000000
-5.93396698,1.73655591,0.05771817,0.00000000,0.80328693,1.01914203,0.61776004,0.00000000
-5.92796398,1.68676620,0.05614112,0.00000000,0.77435973,0.99063531,0.60493422,0.00000000
-5.92196098,1.63527249,0.05454492,0.00000000,0.74421183,0.96138318,0.59106991,0.00000000
-5.91595798,1.58280484,0.05295839,0.00000000,0.71327086,0.93181798,0.57637731,0.00000000
-5.90995498,1.53011436,0.05141293,0.00000000,0.68198168,0.90237893,0.56107738,0.00000000
-5.90395198,1.47795665,0.04994168,0.00000000,0.65079619,0.87350326,0.54539579,0.00000000
-5.89794897,1.42707558,0.04857871,0.00000000,0.62016292,0.84561767,0.52955716,0.00000000
-5.89194597,1.37818814,0.04735815,0.00000000,0.59051681,0.81913046,0.51377971,0.00000000
-5.88594297,1.33197047,0.04631348,0.00000000,0.56226938,0.79442427,0.49827070,0.00000000
-5.87993997,1.28904550,0.04547678,0.00000000,0.53579963,0.77184973,0.48322239,0.00000000
-5.87393697,1.24997218,0.04487817,0.00000000,0.51144590,0.75171985,0.46880904,0.00000000
-5.86793397,1.21523660,0.04454523,0.00000000,0.48949882,0.73430540,0.45518447,0.00000000
-5.86193097,1.18524482,0.04450265,0.00000000,0.47019551,0.71983109,0.44248059,0.00000000
-5.85592796,1.16031757,0.04477184,0.00000000,0.45371517,0.70847261,0.43080650,0.00000000
-5.84992496,1.14068664,0.04537076,0.00000000,0.44017614,0.70035455,0.42024825,0.00000000
-5.84392196,1.12649298,0.04631377,0.00000000,0.42963431,0.69554909,0.41086911,0.00000000
-5.83791896,1.11778640,0.04761161,0.00000000,0.42208314,0.69407559,0.40271027,0.00000000
-5.83191596,1.11452688,0.04927136,0.00000000,0.41745502,0.69590086,0.39579178,0.00000000
-5.82591296,1.11658730,0.05129662,0.00000000,0.41562400,0.70094043,0.39011379,0.00000000
-5.81990995,1.12375768,0.05368756,0.00000000,0.41640989,0.70906051,0.38565788,0.00000000
-5.81390695,1.13575073,0.05644117,0.00000000,0.41958344,0.72008090,0.38238847,0.00000000
-5.80790395,1.15220877,0.05955137,0.00000000,0.42487265,0.73377865,0.38025429,0.00000000
-5.80190095,1.17271178,0.06300929,0.00000000,0.43196991,0.74989264,0.37918985,0.00000000
-5.79589795,1.19678656,0.06680344,0.00000000,0.44053989,0.76812883,0.37911693,0.00000000
-5.78989495,1.22391675,0.07091987,0.00000000,0.45022793,0.78816624,0.37994607,0.00000000
-5.78389195,1.25355358,0.07534240,0.00000000,0.46066869,0.80966346,0.38157799,0.00000000
-5.77788894,1.28512702,0.08005269,0.00000000,0.47149491,0.83226555,0.38390518,0.00000000
-5.77188594,1.31805716,0.08503038,0.00000000,0.48234597,0.85561123,0.38681335,0.00000000
-5.76588294,1.35176545,0.09025312,0.00000000,0.49287607,0.87934005,0.39018298,0.00000000
