energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
0.95147574,0.17218899,0.08619732,0.00825366,0.00018356,0.00624876,0.00189748,0.03115138,0.01441147,0.11677093
0.95747874,0.17651886,0.08010468,0.00871657,0.00015826,0.00716881,0.00181710,0.03416124,0.01392269,0.11948537
0.96348174,0.18423112,0.07562823,0.00934242,0.00013800,0.00819964,0.00181010,0.03782257,0.01370901,0.12443577
0.96948474,0.19525022,0.07278783,0.01012994,0.00012265,0.00934101,0.00188175,0.04213860,0.01376593,0.13153364
0.97548774,0.20947060,0.07159646,0.01107640,0.00011209,0.01059074,0.00203880,0.04710802,0.01408691,0.14066568
0.98149075,0.22675861,0.07206409,0.01217759,0.00010627,0.01194445,0.00228976,0.05272487,0.01466375,0.15169465
0.98749375,0.24695468,0.07420119,0.01342788,0.00010519,0.01339553,0.00264494,0.05897868,0.01548700,0.16446050
0.99349675,0.26987569,0.07802183,0.01482030,0.00010894,0.01493502,0.00311666,0.06585454,0.01654626,0.17878183
0.99949975,0.29531774,0.08354605,0.01634665,0.00011767,0.01655170,0.00371918,0.07333347,0.01783047,0.19445783
1.00550275,0.32305946,0.09080166,0.01799755,0.00013160,0.01823216,0.00446865,0.08139288,0.01932822,0.21127074
1.01150575,0.35286569,0.09982502,0.01976271,0.00015104,0.01996107,0.00538298,0.09000708,0.02102790,0.22898907
1.01750875,0.38449169,0.11066096,0.02163099,0.00017633,0.02172142,0.00648152,0.09914803,0.02291790,0.24737133
1.02351176,0.41768755,0.12336170,0.02359067,0.00020791,0.02349490,0.00778469,0.10878602,0.02498674,0.26617049
1.02951476,0.45220280,0.13798466,0.02562966,0.00024620,0.02526238,0.00931342,0.11889032,0.02722307,0.28513887
1.03551776,0.48779075,0.15458919,0.02773563,0.00029167,0.02700433,0.01108855,0.12942980,0.02961571,0.30403338
1.04152076,0.52421245,0.17323222,0.02989624,0.00034478,0.02870138,0.01313000,0.14037325,0.03215351,0.32262081
1.04752376,0.56123983,0.19396293,0.03209924,0.00040595,0.03033478,0.01545590,0.15168952,0.03482525,0.34068299
1.05352676,0.59865780,0.21681649,0.03433255,0.00047553,0.03188695,0.01808160,0.16334723,0.03761931,0.35802151
1.05952976,0.63626498,0.24180714,0.03658429,0.00055379,0.03334182,0.02101857,0.17531415,0.04052345,0.37446171
