energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-5.62181091,2.16054114,0.00845970,0.40733913,0.67923312,0.75612720,0.90485413,0.00000000,0.57162369,0.26189025
-5.61580790,2.18664181,0.00871305,0.40690788,0.69286310,0.77094314,0.91472345,0.00000000,0.57510673,0.26542600
-5.60980490,2.21550740,0.00901393,0.40543130,0.70987468,0.78665408,0.92720696,0.00000000,0.58066488,0.26927702
-5.60380190,2.24729526,0.00935160,0.40294243,0.73016975,0.80340813,0.94234652,0.00000000,0.58833726,0.27340639
-5.59779890,2.28211008,0.00971493,0.39948384,0.75358605,0.82134654,0.96013575,0.00000000,0.59811221,0.27776860
-5.59179590,2.31999569,0.01009257,0.39510657,0.77989453,0.84060005,0.98051573,0.00000000,0.60992410,0.28231022
-5.58579290,2.36092949,0.01047323,0.38986910,0.80879877,0.86128608,1.00337249,0.00000000,0.62365207,0.28697091
-5.57978989,2.40481970,0.01084594,0.38383627,0.83993694,0.88350674,1.02853649,0.00000000,0.63912067,0.29168476
-5.57378689,2.45150586,0.01120020,0.37707816,0.87288641,0.90734780,1.05578416,0.00000000,0.65610256,0.29638203
-5.56778389,2.50076227,0.01152624,0.36966904,0.90717091,0.93287844,1.08484146,0.00000000,0.67432310,0.30099106
-5.56178089,2.55230441,0.01181521,0.36168630,0.94227038,0.96015189,1.11538939,0.00000000,0.69346677,0.30544044
-5.55577789,2.60579801,0.01205926,0.35320949,0.97763291,0.98920672,1.14707116,0.00000000,0.71318520,0.30966118
-5.54977489,2.66087027,0.01225176,0.34431939,1.01268878,1.02006868,1.17950087,0.00000000,0.73310639,0.31358889
-5.54377189,2.71712278,0.01238734,0.33509714,1.04686580,1.05275293,1.21227325,0.00000000,0.75284505,0.31716577
-5.53776888,2.77414540,0.01246194,0.32562352,1.07960556,1.08726645,1.24497416,0.00000000,0.77201339,0.32034236
-5.53176588,2.83153064,0.01247291,0.31597825,1.11037984,1.12361038,1.27719131,0.00000000,0.79023215,0.32307901
-5.52576288,2.88888755,0.01241896,0.30623941,1.13870646,1.16178229,1.30852488,0.00000000,0.80714132,0.32534683
-5.51975988,2.94585470,0.01230012,0.29648293,1.16416407,1.20177785,1.33859755,0.00000000,0.82241018,0.32712823
-5.51375688,3.00211149,0.01211772,0.28678211,1.18640488,1.24359218,1.36706358,0.00000000,0.83574621,0.32841698
-5.50775388,3.05738728,0.01187428,0.27720727,1.20516516,1.28722029,1.39361652,0.00000000,0.84690263,0.32921771
-5.50175088,3.11146794,0.01157341,0.26782542,1.22027260,1.33265689,1.41799531,0.00000000,0.85568409,0.32954501
-5.49574787,3.16419949,0.01121966,0.25869992,1.23165051,1.37989531,1.43998869,0.00000000,0.86195049,0.32942212
-5.48974487,3.21548866,0.01081843,0.24989021,1.23931848,1.42892546,1.45943759,0.00000000,0.86561870,0.32887927
-5.48374187,3.26530044,0.01037574,0.24145160,1.24338955,1.47973109,1.47623564,0.00000000,0.86666221,0.32795186
-5.47773887,3.31365270,0.00989814,0.23343498,1.24406392,1.53228607,1.49032796,0.00000000,0.86510877,0.32667849
-5.47173587,3.36060817,0.00939251,0.22588663,1.24161965,1.58655007,1.50170820,0.00000000,0.86103626,0.32509906
-5.46573287,3.40626426,0.00886590,0.21884801,1.23640066,1.64246349,1.51041425,0.00000000,0.85456696,0.32325298
-5.45972986,3.45074100,0.00832542,0.21235558,1.22880261,1.69994207,1.51652288,0.00000000,0.84586076,0.32117764
-5.45372686,3.49416794,0.00777805,0.20644064,1.21925737,1.75887100,1.52014363,0.00000000,0.83510745,0.31890723
-5.44772386,3.53667033,0.00723051,0.20112920,1.20821668,1.81909906,1.52141228,0.00000000,0.82251873,0.31647194
-5.44172086,3.57835530,0.00668920,0.19644190,1.19613571,1.88043279,1.52048428,0.00000000,0.80832023,0.31389761
-5.43571786,3.61929868,0.00616003,0.19239393,1.18345735,1.94263102,1.51752846,0.00000000,0.79274401,0.31120585
-5.42971486,3.65953284,0.00564840,0.18899501,1.17059757,2.00540004,1.51272114,0.00000000,0.77602181,0.30841453
-5.42371186,3.69903631,0.00515912,0.18624947,1.15793262,2.06838975,1.50624102,0.00000000,0.75837939,0.30553869
-5.41770885,3.73772535,0.00469634,0.18415623,1.14578848,2.13119095,1.49826487,0.00000000,0.74003207,0.30259176
-5.41170585,3.77544822,0.00426360,0.18270898,1.13443269,2.19333440,1.48896409,0.00000000,0.72118168,0.29958688
-5.40570285,3.81198218,0.00386374,0.18189632,1.12406906,2.25429171,1.47850224,0.00000000,0.70201478,0.29653846
-5.39969985,3.84703373,0.00349902,0.18170198,1.11483502,2.31347855,1.46703342,0.00000000,0.68270225,0.29346360
-5.39369685,3.88024227,0.00317105,0.18210506,1.10680186,2.37026041,1.45470156,0.00000000,0.66339990,0.29038350
-5.38769385,3.91118722,0.00288094,0.18308043,1.09997760,2.42396111,1.44164042,0.00000000,0.64425016,0.28732462
-5.38169085,3.93939877,0.00262928,0.18459910,1.09431222,2.47387424,1.42797432,0.00000000,0.62538431,0.28431956
-5.37568784,3.96437217,0.00241629,0.18662878,1.08970517,2.51927748,1.41381953,0.00000000,0.60692526,0.28140763
-5.36968484,3.98558520,0.00224184,0.18913450,1.08601461,2.55944955,1.39928614,0.00000000,0.58899050,0.27863507
-5.36368184,4.00251874,0.00210559,0.19207932,1.08306814,2.59368971,1.38448047,0.00000000,0.57169498,0.27605486
-5.35767884,4.01467953,0.00200706,0.19542525,1.08067445,2.62133902,1.36950779,0.00000000,0.55515374,0.27372627
-5.35167584,4.02162473,0.00194571,0.19913417,1.07863562,2.64180288,1.35447546,0.00000000,0.53948416,0.27171393
-5.34567284,4.02298702,0.00192107,0.20316889,1.07675940,2.65457386,1.33949614,0.00000000,0.52480757,0.27008679
-5.33966983,4.01849936,0.00193278,0.20749430,1.07487108,2.65925394,1.32469107,0.00000000,0.51125029,0.26891662
-5.33366683,4.00801806,0.00198068,0.21207843,1.07282441,2.65557498,1.31019323,0.00000000,0.49894386,0.26827649
-5.32766383,3.99154276,0.00206487,0.21689356,1.07051107,2.64341643,1.29615003,0.00000000,0.48802464,0.26823891
-5.32166083,3.96923208,0.00218570,0.22191710,1.06786828,2.62281907,1.28272539,0.00000000,0.47863252,0.26887394
-5.31565783,3.94141352,0.00234385,0.22713234,1.06488400,2.59399389,1.27010089,0.00000000,0.47090899,0.27024710
-5.30965483,3.90858656,0.00254027,0.23252884,1.06159956,2.55732528,1.25847562,0.00000000,0.46499445,0.27241722
-5.30365183,3.87141802,0.00277615,0.23810250,1.05810930,2.51336790,1.24806456,0.00000000,0.46102480,0.27543417
-5.29764882,3.83072913,0.00305287,0.24385515,1.05455712,2.46283708,1.23909529,0.00000000,0.45912753,0.27933660
-5.29164582,3.78747431,0.00337187,0.24979368,1.05113011,2.40659263,1.23180281,0.00000000,0.45941715,0.28414960
-5.28564282,3.74271192,0.00373457,0.25592871,1.04804913,2.34561663,1.22642254,0.00000000,0.46199023,0.28988238
-5.27963982,3.69756792,0.00414219,0.26227281,1.04555708,2.28098581,1.22318163,0.00000000,0.46692021,0.29652611
-5.27363682,3.65319377,0.00459560,0.26883822,1.04390491,2.21383961,1.22228876,0.00000000,0.47425199,0.30405189
-5.26763382,3.61072055,0.00509516,0.27563445,1.04333646,2.14534532,1.22392301,0.00000000,0.48399668,0.31240903
-5.26163082,3.57121125,0.00564051,0.28266561,1.04407258,2.07666171,1.22822217,0.00000000,0.49612668,0.32152375
-5.25562781,3.53561395,0.00623041,0.28992778,1.04629563,2.00890295,1.23527140,0.00000000,0.51057134,0.33129841
-5.24962481,3.50471822,0.00686257,0.29740660,1.05013508,1.94310423,1.24509269,0.00000000,0.52721362,0.34161141
-5.24362181,3.47911748,0.00753351,0.30507528,1.05565531,1.88019105,1.25763620,0.00000000,0.54588785,0.35231798
-5.23761881,3.45917937,0.00823847,0.31289316,1.06284623,1.82095316,1.27277399,0.00000000,0.56637913,0.36325176
-5.23161581,3.44502628,0.00897134,0.32080502,1.07161757,1.76602468,1.29029689,0.00000000,0.58842435,0.37422744
-5.22561281,3.43652720,0.00972465,0.32874132,1.08179725,1.71587104,1.30991497,0.00000000,0.61171519,0.38504432
-5.21960980,3.43330196,0.01048964,0.33661927,1.09313419,1.67078327,1.33126202,0.00000000,0.63590316,0.39549093
-5.21360680,3.43473758,0.01125633,0.34434494,1.10530556,1.63087967,1.35390395,0.00000000,0.66060660,0.40535035
-5.20760380,3.44001634,0.01201376,0.35181621,1.11792820,1.59611461,1.37735107,0.00000000,0.68541960,0.41440639
-5.20160080,3.44815417,0.01275016,0.35892654,1.13057379,1.56629373,1.40107374,0.00000000,0.70992253,0.42245015
-5.19559780,3.45804724,0.01345329,0.36556918,1.14278699,1.54109451,1.42452082,0.00000000,0.73369391,0.42928681
-5.18959480,3.46852437,0.01411074,0.37164186,1.15410560,1.52009092,1.44713990,0.00000000,0.75632299,0.43474240
-5.18359180,3.47840249,0.01471030,0.37705143,1.16408171,1.50278080,1.46839840,0.00000000,0.77742266,0.43867006
-5.17758879,3.48654189,0.01524036,0.38171830,1.17230264,1.48861437,1.48780435,0.00000000,0.79664198,0.44095572
-5.17158579,3.49189850,0.01569023,0.38558027,1.17841053,1.47702238,1.50492580,0.00000000,0.81367772,0.44152262
-5.16558279,3.49357023,0.01605058,0.38859567,1.18211955,1.46744250,1.51940774,0.00000000,0.82828439,0.44033467
-5.15957979,3.49083506,0.01631371,0.39074528,1.18322962,1.45934270,1.53098551,0.00000000,0.84028206,0.43739830
-5.15357679,3.48317888,0.01647382,0.39203328,1.18163610,1.45224067,1.53949416,0.00000000,0.84956174,0.43276272
-5.14757379,3.47031199,0.01652726,0.39248670,1.17733478,1.44571850,1.54487306,0.00000000,0.85608781,0.42651859
-5.14157079,3.45217354,0.01647263,0.39215373,1.17042206,1.43943236,1.54716565,0.00000000,0.85989750,0.41879503
-5.13556778,3.42892424,0.01631083,0.39110084,1.16109028,1.43311696,1.54651439,0.00000000,0.86109738,0.40975529
-5.12956478,3.40092811,0.01604507,0.38940878,1.14961866,1.42658517,1.54315124,0.00000000,0.85985699,0.39959109
-5.12356178,3.36872480,0.01568073,0.38716789,1.13636025,1.41972318,1.53738421,0.00000000,0.85640008,0.38851603
-5.11755878,3.33299441,0.01522515,0.38447294,1.12172588,1.41248203,1.52958096,0.00000000,0.85099378,0.37675831
-5.11155578,3.29451708,0.01468742,0.38141774,1.10616587,1.40486630,1.52015023,0.00000000,0.84393643,0.36455318
-5.10555278,3.25412996,0.01407805,0.37808998,1.09015060,1.39692093,1.50952225,0.00000000,0.83554466,0.35213538
-5.09954977,3.21268389,0.01340861,0.37456660,1.07415096,1.38871725,1.49812909,0.00000000,0.82614032,0.33973192
-5.09354677,3.17100222,0.01269138,0.37090989,1.05861949,1.38033908,1.48638608,0.00000000,0.81603807,0.32755559
-5.08754377,3.12984384,0.01193897,0.36716469,1.04397338,1.37186971,1.47467505,0.00000000,0.80553413,0.31579931
-5.08154077,3.08987205,0.01116393,0.36335673,1.03057966,1.36338064,1.46333012,0.00000000,0.79489668,0.30463157
-5.07553777,3.05163040,0.01037842,0.35949223,1.01874338,1.35492237,1.45262670,0.00000000,0.78435835,0.29419306
-5.06953477,3.01552636,0.00959393,0.35555879,1.00869900,1.34651779,1.44277378,0.00000000,0.77411099,0.28459460
-5.06353177,2.98182275,0.00882098,0.35152742,1.00060500,1.33815818,1.43390980,0.00000000,0.76430288,0.27591621
-5.05752876,2.95063684,0.00806891,0.34735554,0.99454180,1.32980185,1.42610184,0.00000000,0.75503825,0.26820739
-5.05152576,2.92194625,0.00734579,0.34299084,0.99051271,1.32137516,1.41934800,0.00000000,0.74637901,0.26148836
-5.04552276,2.89560084,0.00665826,0.33837558,0.98844748,1.31277570,1.41358238,0.00000000,0.73834835,0.25575223
-5.03951976,2.87133913,0.00601151,0.33345109,0.98820813,1.30387706,1.40868229,0.00000000,0.73093592,0.25096777
-5.03351676,2.84880819,0.00540934,0.32816230,0.98959648,1.29453494,1.40447711,0.00000000,0.72410402,0.24708265
-5.02751376,2.82758540,0.00485416,0.32246179,0.99236306,1.28459393,1.40075818,0.00000000,0.71779462,0.24402706
-5.02151076,2.80720108,0.00434713,0.31631339,0.99621670,1.27389461,1.39728926,0.00000000,0.71193653,0.24171738
-5.01550775,2.78716077,0.00388825,0.30969489,1.00083477,1.26228057,1.39381704,0.00000000,0.70645244,0.24005982
-5.00950475,2.76696623,0.00347656,0.30259995,1.00587330,1.24960501,1.39008139,0.00000000,0.70126548,0.23895397
-5.00350175,2.74613459,0.00311023,0.29503900,1.01097715,1.23573664,1.38582491,0.00000000,0.69630502,0.23829605
-4.99749875,2.72421509,0.00278680,0.28703914,1.01578971,1.22056478,1.38080167,0.00000000,0.69151147,0.23798192
-4.99149575,2.70080311,0.00250327,0.27864323,1.01996213,1.20400341,1.37478486,0.00000000,0.68683991,0.23790968
-4.98549275,2.67555149,0.00225631,0.26990806,1.02316197,1.18599435,1.36757339,0.00000000,0.68226256,0.23798198
-4.97948974,2.64817901,0.00204239,0.26090199,1.02508104,1.16650942,1.35899724,0.00000000,0.67776996,0.23810791
-4.97348674,2.61847613,0.00185788,0.25170198,1.02544253,1.14555163,1.34892158,0.00000000,0.67337101,0.23820457
-4.96748374,2.58630827,0.00169921,0.24239045,1.02400719,1.12315556,1.33724964,0.00000000,0.66909177,0.23819825
-4.96148074,2.55161646,0.00156292,0.23305192,1.02057841,1.09938685,1.32392437,0.00000000,0.66497331,0.23802526
-4.95547774,2.51441582,0.00144578,0.22376980,1.01500621,1.07434099,1.30892871,0.00000000,0.66106860,0.23763250
-4.94947474,2.47479171,0.00134478,0.21462333,1.00718992,1.04814137,1.29228462,0.00000000,0.65743868,0.23697762
-4.94347174,2.43289386,0.00125725,0.20568495,0.99707937,1.02093657,1.27405083,0.00000000,0.65414815,0.23602888
