energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,6.19737208,0.57215409,0.00821034,0.09645506,3.91293782,3.49304996,2.22710839
-5.99399700,5.95500744,0.53423165,0.00775188,0.09227679,3.78872855,3.35700359,2.15329083
-5.98799400,5.72983352,0.49852370,0.00732990,0.08798214,3.67660101,3.23127100,2.08686276
-5.98199100,5.52730022,0.46556696,0.00695148,0.08366383,3.58000372,3.11886326,2.02974879
-5.97598799,5.35259203,0.43582887,0.00662308,0.07941219,3.50226472,3.02263432,1.98378292
-5.96998499,5.21049345,0.40970067,0.00635041,0.07531274,3.44649686,2.94520583,1.95065621
-5.96398199,5.10525542,0.38749228,0.00613838,0.07144404,3.41550101,2.88889231,1.93186353
-5.95797899,5.04046705,0.36942875,0.00599098,0.06787587,3.41167000,2.85562922,1.92865145
-5.95197599,5.01893658,0.35564827,0.00591116,0.06466771,3.43689703,2.84690595,1.94196875
-5.94597299,5.04258595,0.34620161,0.00590085,0.06186765,3.49249186,2.86370654,1.97242195
-5.93996998,5.11236315,0.34105301,0.00596078,0.05951178,3.57910844,2.90646032,2.02023741
-5.93396698,5.22817653,0.34008237,0.00609052,0.05762394,3.69668745,2.97500508,2.08523234
-5.92796398,5.38885456,0.34308885,0.00628837,0.05621590,3.84441693,3.06856475,2.16679616
-5.92196098,5.59213438,0.34979579,0.00655141,0.05528801,4.02071375,3.18574366,2.26388394
-5.91595798,5.83468151,0.35985701,0.00687547,0.05483005,4.22322818,3.32453869,2.37502302
-5.90995498,6.11214206,0.37286448,0.00725522,0.05482251,4.44887297,3.48237026,2.49833352
-5.90395198,6.41922798,0.38835730,0.00768418,0.05523800,4.69387761,3.65613253,2.63156309
-5.89794897,6.74983444,0.40583205,0.00815489,0.05604281,4.95386732,3.84226207,2.77213551
-5.89194597,7.09718694,0.42475419,0.00865901,0.05719857,5.22396540,4.03682403,2.91721209
-5.88594297,7.45401488,0.44457056,0.00918753,0.05866389,5.49891648,4.23561349,3.06376461
-5.87993997,7.81274628,0.46472253,0.00973094,0.06039587,5.77322697,4.43426914,3.20865726
-5.87393697,8.16571782,0.48465958,0.01027950,0.06235154,6.04131832,4.62839577,3.34873521
-5.86793397,8.50539278,0.50385295,0.01082344,0.06448904,6.29768775,4.81369119,3.48091655
-5.86193097,8.82457907,0.52180881,0.01135326,0.06676860,6.53707039,4.98607297,3.60228409
-5.85592796,9.11663898,0.53808061,0.01185998,0.06915319,6.75459672,5.14180013,3.71017357
-5.84992496,9.37568248,0.55228012,0.01233534,0.07160898,6.94593883,5.27758475,3.80225461
-5.84392196,9.59673598,0.56408661,0.01277210,0.07410548,7.10743956,5.39068899,3.87660109
-5.83791896,9.77587979,0.57325402,0.01316419,0.07661541,7.23621910,5.47900327,3.93174794
-5.83191596,9.91034842,0.57961556,0.01350689,0.07911443,7.33025442,5.54110232,3.96673203
-5.82591296,9.99858973,0.58308572,0.01379691,0.08158068,7.38842830,5.57627664,3.98111532
-5.81990995,10.04028052,0.58365959,0.01403248,0.08399416,7.41054593,5.58453806,3.97498947
-5.81390695,10.03629861,0.58140943,0.01421337,0.08633624,7.39731865,5.56659930,3.94896189
-5.80790395,9.98865299,0.57647879,0.01434078,0.08858901,7.35031584,5.52382870,3.90412394
-5.80190095,9.90037599,0.56907451,0.01441731,0.09073485,7.27188762,5.45818230,3.84200299
-5.79589795,9.77538300,0.55945682,0.01444676,0.09275611,7.16506211,5.37211674,3.76450077
-5.78989495,9.61830663,0.54792826,0.01443396,0.09463496,7.03342243,5.26848699,3.67382074
-5.78389195,9.43431340,0.53482181,0.01438458,0.09635348,6.88096906,5.15043398,3.57238812
-5.77788894,9.22891144,0.52048882,0.01430484,0.09789391,6.71197414,5.02126695,3.46276588
-5.77188594,9.00775785,0.50528731,0.01420130,0.09923922,6.53083395,4.88434602,3.34757048
-5.76588294,8.77647394,0.48957113,0.01408065,0.10037372,6.34192595,4.74296984,3.22939069
-5.75987994,8.54047585,0.47368033,0.01394942,0.10128397,6.14947611,4.60027282,3.11071262
-5.75387694,8.30482668,0.45793326,0.01381383,0.10195962,5.95744140,4.45913586,2.99385354
-5.74787394,8.07411500,0.44262034,0.01367962,0.10239441,5.76941136,4.32211342,2.88090662
-5.74187094,7.85236288,0.42799984,0.01355190,0.10258702,5.58853153,4.19137908,2.77369780
-5.73586793,7.64296495,0.41429555,0.01343510,0.10254191,5.41745022,4.06869049,2.67375574
-5.72986493,7.44865839,0.40169626,0.01333289,0.10226989,5.25828891,3.95537383,2.58229474
-5.72386193,7.27152224,0.39035676,0.01324824,0.10178854,5.11263562,3.85232675,2.50021027
-5.71785893,7.11300304,0.38040026,0.01318340,0.10112234,4.98155923,3.76003844,2.42808607
-5.71185593,6.97396319,0.37192166,0.01314001,0.10030249,4.86564244,3.67862414,2.36621141
-5.70585293,6.85474704,0.36499155,0.01311918,0.09936644,4.76502993,3.60787172,2.31460690
-5.69984992,6.75526015,0.35966046,0.01312166,0.09835717,4.67948835,3.54729705,2.27305688
-5.69384692,6.67505621,0.35596307,0.01314789,0.09732213,4.60847423,3.49620518,2.24114661
