energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.09266482,0.04471950,0.11937074,0.00357596,0.62112443,0.33758432,0.11404873,0.54743960,0.67362459
-5.99399700,1.98971419,0.04357356,0.11199701,0.00353405,0.59542650,0.32185797,0.11055224,0.51889348,0.63637793
-5.98799400,1.88706135,0.04250735,0.10446405,0.00353272,0.57023971,0.30642724,0.10712777,0.48980018,0.59892981
-5.98199100,1.78596512,0.04151120,0.09690073,0.00357112,0.54583516,0.29143570,0.10380785,0.46061563,0.56173889
-5.97598799,1.68768244,0.04057898,0.08942976,0.00364842,0.52249518,0.27702944,0.10062907,0.43178821,0.52525630
-5.96998499,1.59342953,0.03970771,0.08216498,0.00376369,0.50050230,0.26335134,0.09763026,0.40374732,0.48991289
-5.96398199,1.50434469,0.03889690,0.07520919,0.00391587,0.48012790,0.25053536,0.09485065,0.37689288,0.45610763
-5.95797899,1.42145434,0.03814783,0.06865239,0.00410364,0.46162119,0.23870122,0.09232769,0.35158639,0.42419752
-5.95197599,1.34564335,0.03746269,0.06257064,0.00432535,0.44519883,0.22794970,0.09009509,0.32814346,0.39448930
-5.94597299,1.27763044,0.03684372,0.05702538,0.00457890,0.43103578,0.21835863,0.08818081,0.30682818,0.36723302
-5.93996998,1.21794963,0.03629238,0.05206312,0.00486166,0.41925765,0.20997990,0.08660541,0.28784920,0.34261773
-5.93396698,1.16693782,0.03580862,0.04771571,0.00517040,0.40993498,0.20283747,0.08538054,0.27135759,0.32076913
-5.92796398,1.12472892,0.03539025,0.04400084,0.00550128,0.40307945,0.19692655,0.08450802,0.25744638,0.30174916
-5.92196098,1.09125427,0.03503252,0.04092283,0.00584980,0.39864242,0.19221377,0.08397917,0.24615155,0.28555744
-5.91595798,1.06624924,0.03472792,0.03847370,0.00621080,0.39651559,0.18863856,0.08377471,0.23745441,0.27213435
-5.90995498,1.04926538,0.03446612,0.03663435,0.00657857,0.39653379,0.18611541,0.08386509,0.23128509,0.26136553
-5.90395198,1.03968761,0.03423420,0.03537583,0.00694690,0.39847978,0.18453700,0.08421128,0.22752695,0.25308760
-5.89794897,1.03675570,0.03401701,0.03466067,0.00730919,0.40209081,0.18377807,0.08476598,0.22602168,0.24709488
