energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.93996998,2.17248074,-1.80639058,0.00595040,-0.00092035,0.21283063,-0.11793105,0.52667710,-0.56947679,0.36400229,-0.27948760,0.76629285,-0.71908623,0.72366054,-0.51612042,0.96937352,-0.93995251,0.00000000,-0.00000000
-5.93396698,2.13547300,-1.87614765,0.00635376,-0.00100490,0.21597031,-0.12724153,0.50963956,-0.58180643,0.35494161,-0.28957199,0.75411964,-0.74385006,0.71765363,-0.54146447,0.94306724,-0.96799309,0.00000000,-0.00000000
-5.92796398,2.09223177,-1.93942086,0.00675020,-0.00110288,0.21858709,-0.13657626,0.49138635,-0.59138027,0.34471595,-0.29845595,0.73993134,-0.76574000,0.70994950,-0.56554133,0.91392473,-0.99192432,0.00000000,-0.00000000
-5.92196098,2.04396911,-1.99545740,0.00713499,-0.00121646,0.22078582,-0.14583217,0.47220476,-0.59809912,0.33354445,-0.30602427,0.72402337,-0.78450267,0.70106894,-0.58808404,0.88247055,-1.01145298,0.00000000,-0.00000000
-5.91595798,1.99198174,-2.04359309,0.00750357,-0.00134787,0.22269248,-0.15490078,0.45237502,-0.60190999,0.32165702,-0.31218142,0.70670281,-0.79992657,0.69158116,-0.60883779,0.84924239,-1.02634981,0.00000000,-0.00000000
-5.90995498,1.93762171,-2.08326638,0.00785164,-0.00149935,0.22445066,-0.16367090,0.43216582,-0.60280569,0.30928911,-0.31685381,0.68828393,-0.81184545,0.68208853,-0.62756610,0.81478055,-1.03645327,0.00000000,-0.00000000
-5.90395198,1.88226531,-2.11403136,0.00817538,-0.00167307,0.22621700,-0.17203185,0.41183082,-0.60082357,0.29667627,-0.31999156,0.66908397,-0.82014091,0.67320934,-0.64405765,0.77961813,-1.04167205,0.00000000,-0.00000000
-5.89794897,1.82728116,-2.13556996,0.00847156,-0.00187103,0.22815582,-0.17987702,0.39160601,-0.59604318,0.28404900,-0.32156978,0.64941913,-0.82474433,0.66555916,-0.65813345,0.74427204,-1.04198625,0.00000000,-0.00000000
-5.89194597,1.77399791,-2.14770270,0.00873767,-0.00209498,0.23043309,-0.18710781,0.37170798,-0.58858322,0.27162775,-0.32158929,0.62960062,-0.82563818,0.65973129,-0.66965422,0.70923482,-1.03744744,0.00000000,-0.00000000
-5.88594297,1.72367263,-2.15039799,0.00897198,-0.00234637,0.23320997,-0.19363766,0.35233274,-0.57859780,0.25961830,-0.32007688,0.60993085,-0.82285664,0.65627711,-0.67852776,0.67496751,-1.02817750,0.00000000,-0.00000000
