energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.88159030,-0.88159110,0.00369882,-0.00369882,0.02946903,-0.02946908,0.53038565,-0.53038595,0.08024594,-0.08024608,0.25079097,-0.25079126,0.09375196,-0.09375203,0.01441260,-0.01441262,0.49917297,-0.49917336
-5.99399700,0.90656087,-0.90656166,0.00363472,-0.00363472,0.03082812,-0.03082816,0.54047239,-0.54047267,0.08310779,-0.08310793,0.26129212,-0.26129239,0.09575072,-0.09575080,0.01533768,-0.01533770,0.51228699,-0.51228737
-5.98799400,0.93044840,-0.93044916,0.00358082,-0.00358082,0.03208543,-0.03208547,0.54929174,-0.54929201,0.08616652,-0.08616667,0.27079372,-0.27079396,0.09775058,-0.09775066,0.01631518,-0.01631520,0.52467841,-0.52467877
-5.98199100,0.95312307,-0.95312381,0.00353669,-0.00353669,0.03323091,-0.03323094,0.55677724,-0.55677748,0.08941425,-0.08941440,0.27920082,-0.27920103,0.09977012,-0.09977020,0.01734519,-0.01734521,0.53626736,-0.53626771
-5.97598799,0.97455320,-0.97455392,0.00350233,-0.00350233,0.03425820,-0.03425823,0.56293432,-0.56293454,0.09284884,-0.09284900,0.28645544,-0.28645562,0.10183957,-0.10183965,0.01842823,-0.01842826,0.54703127,-0.54703159
-5.96998499,0.99481031,-0.99481101,0.00347821,-0.00347821,0.03516497,-0.03516500,0.56784449,-0.56784469,0.09647413,-0.09647429,0.29253983,-0.29253997,0.10400133,-0.10400142,0.01956494,-0.01956496,0.55700803,-0.55700834
-5.96398199,1.01406969,-1.01407036,0.00346522,-0.00346522,0.03595299,-0.03595302,0.57166655,-0.57166674,0.10029963,-0.10029980,0.29747837,-0.29747849,0.10631003,-0.10631011,0.02075567,-0.02075570,0.56629673,-0.56629703
-5.95797899,1.03260644,-1.03260710,0.00346463,-0.00346464,0.03662808,-0.03662810,0.57463468,-0.57463487,0.10434012,-0.10434029,0.30133793,-0.30133802,0.10883201,-0.10883210,0.02200013,-0.02200016,0.57505571,-0.57505600
-5.95197599,1.05078695,-1.05078761,0.00347802,-0.00347803,0.03719986,-0.03719988,0.57705334,-0.57705353,0.10861472,-0.10861490,0.30422646,-0.30422652,0.11164430,-0.11164439,0.02329692,-0.02329695,0.58349790,-0.58349819
-5.94597299,1.06905599,-1.06905666,0.00350717,-0.00350718,0.03768139,-0.03768140,0.57928907,-0.57928926,0.11314585,-0.11314604,0.30629009,-0.30629014,0.11483301,-0.11483312,0.02464312,-0.02464315,0.59188379,-0.59188407
-5.93996998,1.08792004,-1.08792072,0.00355395,-0.00355396,0.03808856,-0.03808857,0.58175942,-0.58175962,0.11795789,-0.11795809,0.30770862,-0.30770864,0.11849121,-0.11849132,0.02603396,-0.02603399,0.60051199,-0.60051228
-5.93396698,1.10792742,-1.10792813,0.00362023,-0.00362024,0.03843946,-0.03843947,0.58491935,-0.58491958,0.12307576,-0.12307597,0.30868953,-0.30868955,0.12271630,-0.12271642,0.02746247,-0.02746250,0.60970803,-0.60970833
-5.92796398,1.12964611,-1.12964686,0.00370770,-0.00370771,0.03875355,-0.03875356,0.58924568,-0.58924594,0.12852336,-0.12852359,0.30946100,-0.30946101,0.12760710,-0.12760724,0.02891929,-0.02891933,0.61981168,-0.61981201
-5.92196098,1.15364022,-1.15364103,0.00381778,-0.00381780,0.03905083,-0.03905083,0.59521999,-0.59522029,0.13432215,-0.13432239,0.31026387,-0.31026387,0.13326057,-0.13326072,0.03039259,-0.03039262,0.63116338,-0.63116374
-5.91595798,1.18044616,-1.18044704,0.00395147,-0.00395149,0.03935096,-0.03935097,0.60331089,-0.60331125,0.14048971,-0.14048996,0.31134312,-0.31134313,0.13976834,-0.13976851,0.03186806,-0.03186809,0.64409041,-0.64409080
-5.90995498,1.21054949,-1.21055044,0.00410923,-0.00410925,0.03967241,-0.03967242,0.61395618,-0.61395660,0.14703859,-0.14703886,0.31293921,-0.31293923,0.14721328,-0.14721347,0.03332912,-0.03332915,0.65889333,-0.65889377
-5.90395198,1.24436352,-1.24436456,0.00429088,-0.00429090,0.04003164,-0.04003165,0.62754562,-0.62754611,0.15397537,-0.15397566,0.31527943,-0.31527947,0.15566605,-0.15566626,0.03475722,-0.03475725,0.67583332,-0.67583381
-5.89794897,1.28221052,-1.28221166,0.00449552,-0.00449554,0.04044239,-0.04044240,0.64440518,-0.64440574,0.16130003,-0.16130033,0.31856992,-0.31856998,0.16518186,-0.16518210,0.03613227,-0.03613231,0.69512088,-0.69512142
-5.89194597,1.32430635,-1.32430758,0.00472147,-0.00472149,0.04091510,-0.04091511,0.66478314,-0.66478379,0.16900561,-0.16900593,0.32298840,-0.32298849,0.17579762,-0.17579788,0.03743324,-0.03743327,0.71690639,-0.71690698
-5.88594297,1.37074901,-1.37075035,0.00496628,-0.00496630,0.04145644,-0.04145645,0.68883892,-0.68883965,0.17707827,-0.17707860,0.32867811,-0.32867823,0.18752942,-0.18752970,0.03863874,-0.03863877,0.74127291,-0.74127357
-5.87993997,1.42151163,-1.42151307,0.00522670,-0.00522672,0.04206909,-0.04206910,0.71663472,-0.71663553,0.18549760,-0.18549795,0.33574302,-0.33574318,0.20037056,-0.20037087,0.03972783,-0.03972786,0.76823142,-0.76823213
-5.87393697,1.47643995,-1.47644149,0.00549876,-0.00549878,0.04275159,-0.04275161,0.74813062,-0.74813152,0.19423725,-0.19423762,0.34424460,-0.34424479,0.21429026,-0.21429059,0.04068070,-0.04068072,0.79771861,-0.79771938
-5.86793397,1.53525440,-1.53525604,0.00577785,-0.00577788,0.04349846,-0.04349847,0.78318315,-0.78318412,0.20326571,-0.20326609,0.35420009,-0.35420033,0.22923287,-0.22923322,0.04147944,-0.04147946,0.82959736,-0.82959820
-5.86193097,1.59755640,-1.59755813,0.00605886,-0.00605888,0.04430043,-0.04430045,0.82154734,-0.82154839,0.21254732,-0.21254772,0.36558246,-0.36558273,0.24511793,-0.24511830,0.04210875,-0.04210876,0.86365969,-0.86366058
-5.85592796,1.66283864,-1.66284045,0.00633628,-0.00633630,0.04514490,-0.04514491,0.86288227,-0.86288339,0.22204325,-0.22204366,0.37832177,-0.37832208,0.26184082,-0.26184121,0.04255653,-0.04255654,0.89963197,-0.89963291
-5.84992496,1.73049864,-1.73050052,0.00660444,-0.00660446,0.04601642,-0.04601644,0.90675972,-0.90676089,0.23171254,-0.23171297,0.39230801,-0.39230836,0.27927420,-0.27927461,0.04281446,-0.04281446,0.93718224,-0.93718322
-5.84392196,1.79985508,-1.79985701,0.00685767,-0.00685768,0.04689744,-0.04689745,0.95267560,-0.95267682,0.24151299,-0.24151343,0.40739515,-0.40739553,0.29727002,-0.29727044,0.04287830,-0.04287830,0.97592916,-0.97593017
-5.83791896,1.87016604,-1.87016802,0.00709050,-0.00709052,0.04776897,-0.04776899,1.00006375,-1.00006501,0.25140190,-0.25140235,0.42340606,-0.42340648,0.31566219,-0.31566263,0.04274821,-0.04274820,1.01545216,-1.01545320
-5.83191596,1.94064849,-1.94065049,0.00729790,-0.00729792,0.04861145,-0.04861147,1.04831134,-1.04831263,0.26133666,-0.26133712,0.44013828,-0.44013873,0.33426982,-0.33427027,0.04242877,-0.04242876,1.05530254,-1.05530360
-5.82591296,2.01049820,-2.01050022,0.00747544,-0.00747545,0.04940550,-0.04940552,1.09677542,-1.09677671,0.27127498,-0.27127545,0.45737011,-0.45737058,0.35290083,-0.35290128,0.04192894,-0.04192893,1.09501483,-1.09501590
-5.81990995,2.07890945,-2.07891146,0.00761950,-0.00761951,0.05013274,-0.05013275,1.14479988,-1.14480117,0.28117505,-0.28117552,0.47486690,-0.47486739,0.37135594,-0.37135640,0.04126181,-0.04126180,1.13411823,-1.13411929
-5.81390695,2.14509376,-2.14509574,0.00772740,-0.00772740,0.05077654,-0.05077655,1.19173220,-1.19173347,0.29099530,-0.29099578,0.49238728,-0.49238778,0.38943298,-0.38943343,0.04044426,-0.04044424,1.17214756,-1.17214861
-5.80790395,2.20829724,-2.20829919,0.00779754,-0.00779754,0.05132272,-0.05132273,1.23693934,-1.23694058,0.30069411,-0.30069459,0.50968900,-0.50968950,0.40693118,-0.40693163,0.03949644,-0.03949641,1.20865351,-1.20865454
-5.80190095,2.26781607,-2.26781795,0.00782950,-0.00782950,0.05176013,-0.05176015,1.27982227,-1.27982346,0.31022934,-0.31022982,0.52653431,-0.52653481,0.42365564,-0.42365607,0.03844123,-0.03844121,1.24321182,-1.24321282
-5.79589795,2.32300972,-2.32301153,0.00782405,-0.00782405,0.05208121,-0.05208122,1.31982866,-1.31982979,0.31955782,-0.31955829,0.54269467,-0.54269517,0.43942156,-0.43942197,0.03730363,-0.03730361,1.27543129,-1.27543225
