energy_ev,total_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,5.89726696,1.28173885,0.53876834,2.94301308,1.72271710,0.01090818,1.13305564,0.07580305,2.48750735
-5.99399700,5.92569608,1.34783423,0.55994789,2.84389175,1.68945982,0.01072744,1.09707784,0.08152851,2.54560076
-5.98799400,5.96581478,1.41640955,0.58275863,2.74941259,1.65677363,0.01063417,1.06160875,0.08755268,2.61049376
-5.98199100,6.01495760,1.48635127,0.60678199,2.65910279,1.62429562,0.01061894,1.02666150,0.09381163,2.68057016
-5.97598799,6.07030789,1.55648651,0.63157596,2.57250834,1.59169679,0.01067194,0.99227088,0.10023311,2.75409150
-5.96998499,6.12896570,1.62560820,0.65668386,2.48921233,1.55869399,0.01078319,0.95849480,0.10673757,2.82923667
-5.96398199,6.18801804,1.69250181,0.68164353,2.40885129,1.52506004,0.01094274,0.92541499,0.11323934,2.90414411
-5.95797899,6.24461034,1.75597301,0.70599673,2.33112966,1.49063217,0.01114083,0.89313703,0.11964817,2.97695556
-5.95197599,6.29601724,1.81487566,0.72929844,2.25583228,1.45531817,0.01136810,0.86179001,0.12587102,3.04586032
-5.94597299,6.33971119,1.86813900,0.75112607,2.18283500,1.41910055,0.01161571,0.83152560,0.13181403,3.10913892
-5.93996998,6.37342712,1.91479372,0.77108825,2.11211345,1.38203826,0.01187552,0.80251694,0.13738468,3.16520489
-5.93396698,6.39522133,1.95399561,0.78883304,2.04374981,1.34426626,0.01214021,0.77495710,0.14249412,3.21264357
-5.92796398,6.40352287,1.98504649,0.80405533,1.97793780,1.30599275,0.01240335,0.74905741,0.14705944,3.25024681
-5.92196098,6.39717584,2.00741143,0.81650322,1.91498568,1.26749436,0.01265952,0.72504542,0.15100600,3.27704244
-5.91595798,6.37547116,2.02073172,0.82598318,1.85531725,1.22910933,0.01290439,0.70316274,0.15426959,3.29231752
-5.90995498,6.33816652,2.02483322,0.83236378,1.79947084,1.19122905,0.01313470,0.68366254,0.15679839,3.29563468
-5.90395198,6.28549369,2.01972957,0.83557780,1.74809623,1.15428812,0.01334835,0.66680689,0.15855466,3.28684082
-5.89794897,6.21815271,2.00562019,0.83562271,1.70194936,1.11875338,0.01354433,0.65286386,0.15951601,3.26606772
-5.89194597,6.13729289,1.98288294,0.83255930,1.66188500,1.08511221,0.01372274,0.64210445,0.15967630,3.23372467
-5.88594297,6.04448100,1.95206177,0.82650855,1.62884717,1.05386056,0.01388469,0.63479938,0.15904601,3.19048295
-5.87993997,5.94165762,1.91384964,0.81764680,1.60385744,1.02549101,0.01403227,0.63121581,0.15765212,3.13725290
-5.87393697,5.83108296,1.86906724,0.80619936,1.58800111,1.00048139,0.01416840,0.63161402,0.15553742,3.07515415
-5.86793397,5.71527392,1.81863832,0.79243275,1.58241124,0.97928412,0.01429675,0.63624415,0.15275941,3.00548014
-5.86193097,5.59693446,1.76356251,0.77664594,1.58825061,0.96231674,0.01442159,0.64534292,0.14938863,2.92965815
-5.85592796,5.47888173,1.70488653,0.75916089,1.60669159,0.94995375,0.01454766,0.65913050,0.14550663,2.84920631
-5.84992496,5.36397032,1.64367499,0.74031271,1.63889392,0.94251989,0.01467999,0.67780740,0.14120360,2.76568926
-5.84392196,5.25501714,1.58098169,0.72044006,1.68598041,0.94028507,0.01482380,0.70155133,0.13657579,2.68067398
-5.83791896,5.15472931,1.51782262,0.69987594,1.74901056,0.94346074,0.01498428,0.73051399,0.13172271,2.59568748
-5.83191596,5.06563710,1.45515152,0.67893950,1.82895211,0.95219765,0.01516649,0.76481763,0.12674441,2.51217783
-5.82591296,4.99003382,1.39383886,0.65792901,1.92665063,0.96658490,0.01537523,0.80455127,0.12173870,2.43147983
-5.81990995,4.92992383,1.33465486,0.63711629,2.04279739,0.98664986,0.01561488,0.84976633,0.11679865,2.35478641
-5.81390695,4.88697970,1.27825698,0.61674289,2.17789565,1.01235883,0.01588932,0.90047177,0.11201029,2.28312636
-5.80790395,4.86250901,1.22518213,0.59701790,2.33222610,1.04361800,0.01620184,0.95662832,0.10745060,2.21734897
-5.80190095,4.85743050,1.17584353,0.57811745,2.50581196,1.08027449,0.01655503,1.01814208,0.10318589,2.15811549
-5.79589795,4.87225961,1.13053203,0.56018577,2.69838474,1.12211717,0.01695077,1.08485736,0.09927063,2.10589718
-5.78989495,4.90710231,1.08942133,0.54333756,2.90935189,1.16887712,0.01739011,1.15654892,0.09574660,2.06097936
-5.78389195,4.96165674,1.05257667,0.52766127,3.13776769,1.22022750,0.01787328,1.23291398,0.09264252,2.02347059
-5.77788894,5.03522141,1.01996607,0.51322316,3.38230901,1.27578298,0.01839965,1.31356426,0.08997403,1.99331603
-5.77188594,5.12670928,0.99147345,0.50007153,3.64125783,1.33509869,0.01896766,1.39801869,0.08774406,1.97031381
-5.76588294,5.23466678,0.96691280,0.48824084,3.91249219,1.39766899,0.01957484,1.48569720,0.08594348,1.95413336
-5.75987994,5.35729731,0.94604254,0.47775542,4.19348748,1.46292640,0.02021779,1.57591645,0.08455205,1.94433452
-5.75387694,5.49248868,0.92857947,0.46863243,4.48132975,1.53024097,0.02089212,1.66788800,0.08353959,1.94038663
-5.74787394,5.63784448,0.91421166,0.46088380,4.77274215,1.59892077,0.02159251,1.76071968,0.08286733,1.94168664
-5.74187094,5.79071937,0.90260984,0.45451720,5.06412563,1.66821366,0.02231266,1.85342075,0.08248934,1.94757592
-5.73586793,5.94825848,0.89343700,0.44953576,5.35161398,1.73731119,0.02304531,1.94491124,0.08235415,1.95735516
-5.72986493,6.10744113,0.88635616,0.44593685,5.63114304,1.80535469,0.02378234,2.03403577,0.08240631,1.97029746
-5.72386193,6.26512907,0.88103617,0.44370996,5.89853276,1.87144404,0.02451474,2.11958194,0.08258807,1.98565971
-5.71785893,6.41811935,0.87715587,0.44283390,6.14958047,1.93464927,0.02523276,2.20030305,0.08284093,2.00269231
-5.71185593,6.56320154,0.87440677,0.44327373,6.38016253,1.99402487,0.02592602,2.27494469,0.08310729,2.02064790
-5.70585293,6.69721879,0.87249462,0.44497764,6.58634126,2.04862682,0.02658364,2.34227456,0.08333190,2.03878936
-5.69984992,6.81713203,0.87114025,0.44787419,6.76447327,2.09753183,0.02719447,2.40111438,0.08346331,2.05639773
-5.69384692,6.92008592,0.87008012,0.45187028,6.91131501,2.13985829,0.02774726,2.45037289,0.08345519,2.07278030
-5.68784392,7.00347517,0.86906678,0.45685010,7.02412149,2.17478836,0.02823094,2.48907863,0.08326745,2.08727949
-5.68184092,7.06500933,0.86786981,0.46267532,7.10073368,2.20159015,0.02863488,2.51641097,0.08286735,2.09928255
