energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.74772763,0.00596715,0.12665547,0.54703488,0.30188924,0.59664703,0.30964812,0.01387673,0.88945335
-5.99399700,1.78137904,0.00595866,0.13359804,0.56552276,0.30059128,0.62104934,0.32034431,0.01302710,0.90287975
-5.98799400,1.82724937,0.00596373,0.14181016,0.58805234,0.30072489,0.64997892,0.33382839,0.01217700,0.92200110
-5.98199100,1.88462361,0.00598082,0.15123034,0.61433552,0.30225158,0.68297806,0.34995920,0.01133954,0.94645317
-5.97598799,1.95259767,0.00600789,0.16178387,0.64401489,0.30510246,0.71952115,0.36856359,0.01052679,0.97577334
-5.96998499,2.03010199,0.00604240,0.17338415,0.67667212,0.30918101,0.75902656,0.38944030,0.00974954,1.00941341
-5.96398199,2.11592958,0.00608141,0.18593425,0.71183771,0.31436702,0.80087028,0.41236436,0.00901713,1.04675497
-5.95797899,2.20876775,0.00612165,0.19932851,0.74900192,0.32052129,0.84440079,0.43709184,0.00833732,1.08712674
-5.95197599,2.30723222,0.00615967,0.21345429,0.78762641,0.32749120,0.88895465,0.46336474,0.00771628,1.12982324
-5.94597299,2.40990234,0.00619193,0.22819366,0.82715625,0.33511661,0.93387218,0.49091589,0.00715858,1.17412426
-5.93996998,2.51535602,0.00621500,0.24342512,0.86703179,0.34323601,0.97851258,0.51947359,0.00666725,1.21931404
-5.93396698,2.62220301,0.00622564,0.25902507,0.90670008,0.35169259,1.02226785,0.54876593,0.00624393,1.26469986
-5.92796398,2.72911529,0.00622099,0.27486930,0.94562543,0.36033988,1.06457508,0.57852463,0.00588896,1.30962881
-5.92196098,2.83485342,0.00619867,0.29083413,0.98329878,0.36904676,1.10492642,0.60848829,0.00560160,1.35350265
-5.91595798,2.93828816,0.00615693,0.30679750,1.01924581,0.37770158,1.14287672,0.63840506,0.00538018,1.39578978
-5.90995498,3.03841675,0.00609470,0.32263984,1.05303349,0.38621527,1.17804828,0.66803470,0.00522232,1.43603439
-5.90395198,3.13437365,0.00601170,0.33824486,1.08427513,0.39452318,1.21013302,0.69715024,0.00512508,1.47386224
-5.89794897,3.22543593,0.00590841,0.35350015,1.11263403,0.40258586,1.23889194,0.72553908,0.00508513,1.50898340
-5.89194597,3.31102375,0.00578615,0.36829789,1.13782583,0.41038845,1.26415231,0.75300398,0.00509893,1.54119193
-5.88594297,3.39069647,0.00564699,0.38253553,1.15961975,0.41793913,1.28580287,0.77936385,0.00516281,1.57036278
-5.87993997,3.46414541,0.00549373,0.39611654,1.17783900,0.42526649,1.30378759,0.80445463,0.00527307,1.59644655
