energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,5.62427107,0.01821310,0.62687763,2.67218404,0.47294516,1.62874211,2.51416764,2.43050894,0.00000000
-5.99399700,5.51816838,0.01786944,0.60038030,2.63606506,0.46910864,1.59697578,2.46294406,2.39920335,0.00000000
-5.98799400,5.41059835,0.01751184,0.57498976,2.59422632,0.46525634,1.56508790,2.41023935,2.36633695,0.00000000
-5.98199100,5.30186484,0.01713964,0.55083092,2.54683493,0.46136055,1.53331541,2.35619809,2.33197164,0.00000000
-5.97598799,5.19244667,0.01675342,0.52802117,2.49422632,0.45741642,1.50193901,2.30103447,2.29628440,0.00000000
-5.96998499,5.08300973,0.01635516,0.50667104,2.43690096,0.45344444,1.47127930,2.24503853,2.25957171,0.00000000
-5.96398199,4.97440982,0.01594818,0.48688461,2.37551540,0.44949174,1.44169072,2.18857877,2.22224860,0.00000000
-5.95797899,4.86768626,0.01553716,0.46875968,2.31086800,0.44563195,1.41355363,2.13210109,2.18484261,0.00000000
-5.95197599,4.76404658,0.01512805,0.45238754,2.24387981,0.44196378,1.38726486,2.07612386,2.14798286,0.00000000
-5.94597299,4.66484310,0.01472790,0.43785252,2.17557175,0.43860845,1.36322726,2.02122965,2.11238479,0.00000000
-5.93996998,4.57154251,0.01434471,0.42523117,2.10703855,0.43570602,1.34183875,1.96805365,2.07883143,0.00000000
-5.93396698,4.48568986,0.01398717,0.41459123,2.03942087,0.43341087,1.32348136,1.91726959,2.04815178,0.00000000
-5.92796398,4.40886846,0.01366446,0.40599035,1.97387629,0.43188663,1.30851067,1.86957365,2.02119742,0.00000000
-5.92196098,4.34265721,0.01338595,0.39947478,1.91155028,0.43130061,1.29724619,1.82566703,1.99881799,0.00000000
-5.91595798,4.28858690,0.01316094,0.39507784,1.85354807,0.43181808,1.28996287,1.78623793,1.98183647,0.00000000
-5.90995498,4.24809685,0.01299838,0.39281851,1.80090805,0.43359660,1.28688391,1.75194344,1.97102501,0.00000000
-5.90395198,4.22249300,0.01290661,0.39270000,1.75457755,0.43678046,1.28817521,1.72339212,1.96708177,0.00000000
-5.89794897,4.21290845,0.01289311,0.39470845,1.71539126,0.44149554,1.29394112,1.70112753,1.97060954,0.00000000
-5.89194597,4.22026726,0.01296423,0.39881172,1.68405285,0.44784455,1.30422178,1.68561320,1.98209621,0.00000000
-5.88594297,4.24525192,0.01312503,0.40495841,1.66111986,0.45590280,1.31899163,1.67721937,2.00189763,0.00000000
-5.87993997,4.28827515,0.01337904,0.41307709,1.64699195,0.46571461,1.33815905,1.67621157,2.03022302,0.00000000
-5.87393697,4.34945617,0.01372812,0.42307571,1.64190268,0.47729029,1.36156695,1.68274117,2.06712298,0.00000000
-5.86793397,4.42860194,0.01417232,0.43484135,1.64591452,0.49060386,1.38899411,1.69683815,2.11248053,0.00000000
-5.86193097,4.52519372,0.01470980,0.44824027,1.65891722,0.50559140,1.42015725,1.71840586,2.16600509,0.00000000
-5.85592796,4.63837941,0.01533679,0.46311829,1.68062943,0.52215025,1.45471363,1.74721817,2.22722982,0.00000000
-5.84992496,4.76697226,0.01604751,0.47930164,1.71060333,0.54013891,1.49226436,1.78291878,2.29551255,0.00000000
-5.84392196,4.90945657,0.01683428,0.49659819,1.74823250,0.55937793,1.53235843,1.82502306,2.37004045,0.00000000
-5.83791896,5.06400110,0.01768758,0.51479932,1.79276274,0.57965167,1.57449762,1.87292251,2.44983896,0.00000000
-5.83191596,5.22848089,0.01859615,0.53368223,1.84330604,0.60071104,1.61814243,1.92589187,2.53378504,0.00000000
-5.82591296,5.40050787,0.01954726,0.55301292,1.89885742,0.62227737,1.66271933,1.98309935,2.62062503,0.00000000
-5.81990995,5.57747081,0.02052688,0.57254981,1.95831474,0.64404728,1.70762938,2.04361977,2.70899720,0.00000000
-5.81390695,5.75658437,0.02152006,0.59204789,2.02050125,0.66569868,1.75225834,2.10645097,2.79745879,0.00000000
-5.80790395,5.93494705,0.02251122,0.61126344,2.08419056,0.68689766,1.79598832,2.17053317,2.88451731,0.00000000
-5.80190095,6.10960687,0.02348457,0.62995932,2.14813366,0.70730641,1.83821092,2.23477130,2.96866542,0.00000000
-5.79589795,6.27763355,0.02442454,0.64791052,2.21108745,0.72659166,1.87834148,2.29805984,3.04841864,0.00000000
-5.78989495,6.43619509,0.02531622,0.66490993,2.27184414,0.74443375,1.91583420,2.35930951,3.12235472,0.00000000
-5.78389195,6.58263623,0.02614576,0.68077416,2.32926057,0.76053565,1.95019766,2.41747528,3.18915341,0.00000000
-5.77788894,6.71455609,0.02690084,0.69534914,2.38228662,0.77463195,1.98100995,2.47158465,3.24763512,0.00000000
-5.77188594,6.82988158,0.02757102,0.70851531,2.42999178,0.78649717,2.00793297,2.52076514,3.29679676,0.00000000
-5.76588294,6.92693357,0.02814808,0.72019202,2.47158868,0.79595317,2.03072496,2.56427001,3.33584344,0.00000000
-5.75987994,7.00448248,0.02862628,0.73034122,2.50645276,0.80287521,2.04925069,2.60150090,3.36421412,0.00000000
-5.75387694,7.06179049,0.02900252,0.73896978,2.53413719,0.80719638,2.06348852,2.63202635,3.38160025,0.00000000
-5.74787394,7.09863783,0.02927641,0.74613071,2.55438227,0.80891015,2.07353380,2.65559520,3.38795598,0.00000000
-5.74187094,7.11533148,0.02945025,0.75192276,2.56711889,0.80807078,2.07959829,2.67214408,3.38349952,0.00000000
-5.73586793,7.11269526,0.02952890,0.75648863,2.57246572,0.80479167,2.08200516,2.68179833,3.36870513,0.00000000
-5.72986493,7.09204106,0.02951953,0.76001151,2.57072027,0.79924151,2.08117969,2.68486618,3.34428604,0.00000000
