energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,0.67010515,0.12044774,0.44286735,0.00103908,0.01757095,0.07624611,0.17924738,0.00000000
-5.99399700,0.62964571,0.11407314,0.42164438,0.00093139,0.01685126,0.06719218,0.16433098,0.00000000
-5.98799400,0.59618636,0.10910628,0.40465710,0.00085744,0.01626286,0.05992162,0.15144550,0.00000000
-5.98199100,0.56995299,0.10560371,0.39214383,0.00081581,0.01581916,0.05436131,0.14058839,0.00000000
-5.97598799,0.55115146,0.10361659,0.38432928,0.00080538,0.01553288,0.05043480,0.13175227,0.00000000
-5.96998499,0.53995590,0.10318839,0.38141303,0.00082540,0.01541547,0.04806483,0.12492445,0.00000000
-5.96398199,0.53649532,0.10435217,0.38355702,0.00087543,0.01547664,0.04717494,0.12008588,0.00000000
-5.95797899,0.54083896,0.10712752,0.39087280,0.00095533,0.01572377,0.04769021,0.11720952,0.00000000
-5.95197599,0.55298107,0.11151737,0.40340875,0.00106522,0.01616140,0.04953711,0.11625832,0.00000000
-5.94597299,0.57282606,0.11750473,0.42113827,0.00120539,0.01679078,0.05264271,0.11718292,0.00000000
-5.93996998,0.60017467,0.12504973,0.44394908,0.00137625,0.01760939,0.05693319,0.11991930,0.00000000
-5.93396698,0.63471225,0.13408689,0.47163470,0.00157827,0.01861070,0.06233209,0.12438650,0.00000000
-5.92796398,0.67599982,0.14452306,0.50388835,0.00181186,0.01978390,0.06875818,0.13048461,0.00000000
-5.92196098,0.72346879,0.15623612,0.54030002,0.00207731,0.02111384,0.07612343,0.13809330,0.00000000
-5.91595798,0.77642016,0.16907457,0.58035718,0.00237468,0.02258108,0.08433105,0.14707085,0.00000000
-5.90995498,0.83402863,0.18285823,0.62344936,0.00270373,0.02416212,0.09327402,0.15725412,0.00000000
-5.90395198,0.89535219,0.19738025,0.66887706,0.00306387,0.02582975,0.10283403,0.16845933,0.00000000
-5.89794897,0.95934737,0.21241023,0.71586490,0.00345407,0.02755363,0.11288116,0.18048386,0.00000000
-5.89194597,1.02489008,0.22769882,0.76357900,0.00387280,0.02930092,0.12327438,0.19310909,0.00000000
-5.88594297,1.09080183,0.24298340,0.81114826,0.00431807,0.03103718,0.13386287,0.20610432,0.00000000
-5.87993997,1.15588077,0.25799503,0.85768911,0.00478738,0.03272725,0.14448820,0.21923156,0.00000000
-5.87393697,1.21893666,0.27246623,0.90233295,0.00527781,0.03433628,0.15498739,0.23225134,0.00000000
-5.86793397,1.27882875,0.28613958,0.94425548,0.00578603,0.03583087,0.16519666,0.24492909,0.00000000
-5.86193097,1.33450522,0.29877661,0.98270685,0.00630845,0.03718006,0.17495587,0.25704209,0.00000000
-5.85592796,1.38504278,0.31016686,1.01704156,0.00684134,0.03835648,0.18411333,0.26838668,0.00000000
-5.84992496,1.42968470,0.32013657,1.04674684,0.00738099,0.03933721,0.19253080,0.27878533,0.00000000
-5.84392196,1.46787579,0.32855669,1.07146831,0.00792395,0.04010474,0.20008853,0.28809350,0.00000000
-5.83791896,1.49929263,0.33534986,1.09103186,0.00846719,0.04064753,0.20668989,0.29620572,0.00000000
-5.83191596,1.52386755,0.34049594,1.10546049,0.00900841,0.04096060,0.21226554,0.30306079,0.00000000
