energy_ev,total_up,P_s_up,P_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.07812278,0.00392942,0.78603533,1.73330599,0.85002636,0.01663909,0.40858555
-5.99399700,1.97634472,0.00336857,0.74667603,1.68524880,0.80616292,0.01443369,0.39109786
-5.98799400,1.88443969,0.00287288,0.71206019,1.63588389,0.76885434,0.01248904,0.37412720
-5.98199100,1.80251163,0.00243922,0.68225221,1.58556713,0.73819841,0.01078859,0.35767787
-5.97598799,1.73072140,0.00206400,0.65732398,1.53486084,0.71427747,0.00931465,0.34178420
-5.96998499,1.66931293,0.00174341,0.63736708,1.48453623,0.69717340,0.00804919,0.32651240
-5.96398199,1.61863080,0.00147350,0.62250166,1.43556735,0.68697945,0.00697440,0.31196077
-5.95797899,1.57912903,0.00125035,0.61288191,1.38911720,0.68380866,0.00607328,0.29825832
-5.95197599,1.55137119,0.00107018,0.60869804,1.34651633,0.68779877,0.00532997,0.28556191
-5.94597299,1.53602238,0.00092942,0.61017502,1.30923510,0.69911360,0.00473011,0.27405211
-5.93996998,1.53383412,0.00082485,0.61756824,1.27885037,0.71794138,0.00426095,0.26392807
-5.93396698,1.54562311,0.00075355,0.63115665,1.25700795,0.74449012,0.00391146,0.25540160
-5.92796398,1.57224517,0.00071299,0.65123373,1.24538168,0.77898077,0.00367230,0.24869076
-5.92196098,1.61456562,0.00070101,0.67809677,1.24563040,0.82163839,0.00353573,0.24401323
-5.91595798,1.67342724,0.00071581,0.71203488,1.25935373,0.87268195,0.00349543,0.24157962
-5.90995498,1.74961694,0.00075590,0.75331633,1.28804752,0.93231316,0.00354635,0.24158706
-5.90395198,1.84383215,0.00082010,0.80217531,1.33305995,1.00070469,0.00368439,0.24421307
-5.89794897,1.95664763,0.00090741,0.85879870,1.39554890,1.07798810,0.00390621,0.24961002
-5.89194597,2.08848350,0.00101703,0.92331301,1.47644152,1.16424176,0.00420888,0.25790007
-5.88594297,2.23957512,0.00114823,0.99577174,1.57639663,1.25947892,0.00458966,0.26917090
