energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,9.80276777,0.70119180,0.00000000,4.87229877,4.55765366,0.05079398,6.20415407
-5.99399700,9.80534682,0.69644380,0.00000000,4.86381607,4.57357063,0.04957552,6.21321989
-5.98799400,9.80206113,0.69135979,0.00000000,4.85045958,4.58419851,0.04866243,6.21731664
-5.98199100,9.79274512,0.68591509,0.00000000,4.83211976,4.58947099,0.04807024,6.21636583
-5.97598799,9.77709873,0.68008345,0.00000000,4.80865947,4.58928486,0.04780766,6.21021111
-5.96998499,9.75470989,0.67383968,0.00000000,4.77992822,4.58350895,0.04787631,6.19863108
-5.96398199,9.72508381,0.66716210,0.00000000,4.74577856,4.57199601,0.04827063,6.18135692
-5.95797899,9.68767796,0.66003475,0.00000000,4.70608394,4.55459725,0.04897805,6.15809405
-5.95197599,9.64194145,0.65244936,0.00000000,4.66075721,4.53117862,0.04997925,6.12854697
-5.94597299,9.58735731,0.64440683,0.00000000,4.60976893,4.50163831,0.05124874,6.09244613
-5.93996998,9.52348598,0.63591841,0.00000000,4.55316479,4.46592456,0.05275549,6.04957587
-5.93396698,9.45000839,0.62700643,0.00000000,4.49108128,4.42405305,0.05446388,5.99980219
-5.92796398,9.36676711,0.61770472,0.00000000,4.42375907,4.37612308,0.05633469,5.94309912
-5.92196098,9.27380367,0.60805863,0.00000000,4.35155340,4.32233183,0.05832628,5.87957257
-5.91595798,9.17139069,0.59812487,0.00000000,4.27494094,4.26298601,0.06039583,5.80948059
-5.90995498,9.06005718,0.58797097,0.00000000,4.19452286,4.19851018,0.06250071,5.73324885
-5.90395198,8.94060569,0.57767467,0.00000000,4.11102370,4.12945142,0.06459978,5.65148062
-5.89794897,8.81412001,0.56732300,0.00000000,4.02528583,4.05647963,0.06665469,5.56496029
-5.89194597,8.68196243,0.55701124,0.00000000,3.93825945,3.98038333,0.06863111,5.47464986
-5.88594297,8.54575981,0.54684165,0.00000000,3.85098821,3.90206069,0.07049980,5.38167808
-5.87993997,8.40737799,0.53692194,0.00000000,3.76459047,3.82250558,0.07223748,5.28732191
-5.87393697,8.26888445,0.52736359,0.00000000,3.68023660,3.74278902,0.07382748,5.19298054
-5.86793397,8.13249976,0.51827979,0.00000000,3.59912273,3.66403591,0.07526009,5.10014228
-5.86193097,8.00053851,0.50978315,0.00000000,3.52244145,3.58739790,0.07653264,5.01034510
-5.85592796,7.87534139,0.50198307,0.00000000,3.45135035,3.51402267,0.07764921,4.92513181
-5.84992496,7.75920025,0.49498292,0.00000000,3.38693910,3.44502083,0.07862011,4.84600133
-5.84392196,7.65427870,0.48887693,0.00000000,3.33019622,3.38143119,0.07946097,4.77435760
-5.83791896,7.56253123,0.48374699,0.00000000,3.28197667,3.32418587,0.08019169,4.71145821
-5.83191596,7.48562410,0.47965952,0.00000000,3.24297139,3.27407643,0.08083505,4.65836465
-5.82591296,7.42486166,0.47666240,0.00000000,3.21368015,3.23172257,0.08141529,4.61589660
-5.81990995,7.38112153,0.47478222,0.00000000,3.19438886,3.19754476,0.08195658,4.58459227
-5.81390695,7.35480218,0.47402214,0.00000000,3.18515260,3.17174227,0.08248149,4.56467693
-5.80790395,7.34578600,0.47436025,0.00000000,3.18578517,3.15427781,0.08300958,4.55604151
-5.80190095,7.35342040,0.47574887,0.00000000,3.19585623,3.14486988,0.08355615,4.55823260
-5.79589795,7.37651873,0.47811476,0.00000000,3.21469628,3.14299352,0.08413121,4.57045506
-5.78989495,7.41338205,0.48136032,0.00000000,3.24140989,3.14788986,0.08473875,4.59158751
-5.78389195,7.46184161,0.48536592,0.00000000,3.27489691,3.15858463,0.08537634,4.62021071
-5.77788894,7.51932112,0.48999314,0.00000000,3.31388111,3.17391497,0.08603512,4.65464802
-5.77188594,7.58291661,0.49508907,0.00000000,3.35694560,3.19256398,0.08670007,4.69301661
-5.76588294,7.64949092,0.50049132,0.00000000,3.40257355,3.21310156,0.08735063,4.73328745
-5.75987994,7.71577904,0.50603359,0.00000000,3.44919289,3.23403019,0.08796171,4.77335182
-5.75387694,7.77849982,0.51155165,0.00000000,3.49522333,3.25383365,0.08850479,4.81109147
-5.74787394,7.83446924,0.51688932,0.00000000,3.53912374,3.27102684,0.08894933,4.84444956
-5.74187094,7.88071044,0.52190428,0.00000000,3.57943820,3.28420452,0.08926423,4.87149943
-5.73586793,7.91455552,0.52647333,0.00000000,3.61483879,3.29208700,0.08941932,4.89050819
-5.72986493,7.93373502,0.53049689,0.00000000,3.64416353,3.29356096,0.08938680,4.89999259
-5.72386193,7.93645106,0.53390253,0.00000000,3.66644797,3.28771366,0.08914262,4.89876493
-5.71785893,7.92143141,0.53664732,0.00000000,3.68094947,3.27385931,0.08866758,4.88596713
