energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.45611712,1.48030587,0.78372060,0.07329793,1.07395852,0.09934276,2.93870057,1.74357961,1.57520886
-5.99399700,6.28807818,1.42074881,0.76768132,0.07506278,1.01845430,0.09990488,2.89021584,1.66616996,1.56693008
-5.98799400,6.13303626,1.36627612,0.75235973,0.07695678,0.96692010,0.10072998,2.84528332,1.59453249,1.56070924
-5.98199100,5.99046709,1.31668240,0.73764908,0.07892413,0.91972000,0.10176582,2.80317466,1.52883101,1.55634604
-5.97598799,5.85957122,1.27170557,0.72342907,0.08090576,0.87710674,0.10295725,2.76311601,1.46910567,1.55355137
-5.96998499,5.73932970,1.23104689,0.70957191,0.08284180,0.83922839,0.10424854,2.72431455,1.41528490,1.55196394
-5.96398199,5.62856546,1.19439052,0.69594881,0.08467408,0.80613738,0.10558575,2.68598581,1.36720002,1.55116976
-5.95797899,5.52600771,1.16142220,0.68243666,0.08634865,0.77780147,0.10691910,2.64738099,1.32460163,1.55072361
-5.95197599,5.43035664,1.13184634,0.66892481,0.08781814,0.75411562,0.10820505,2.60781371,1.28717720,1.55017115
-5.94597299,5.34034537,1.10540099,0.65532130,0.08904379,0.73491430,0.10940824,2.56668486,1.25456879,1.54907064
-5.93996998,5.25479663,1.08187031,0.64155853,0.08999725,0.71998343,0.11050300,2.52350489,1.22639045,1.54701306
-5.93396698,5.17267144,1.06109412,0.62759788,0.09066178,0.70907154,0.11147444,2.47791232,1.20224426,1.54363967
-5.92796398,5.09310787,1.04297435,0.61343305,0.09103307,0.70189964,0.11231907,2.42968773,1.18173474,1.53865614
-5.92196098,5.01544844,1.02747837,0.59909185,0.09111944,0.69816978,0.11304489,2.37876251,1.16448099,1.53184271
-5.91595798,4.93925537,1.01463905,0.58463638,0.09094152,0.69757190,0.11367094,2.32522188,1.15012635,1.52305995
-5.90995498,4.86431363,1.00455207,0.57016149,0.09053139,0.69978936,0.11422633,2.26930207,1.13834546,1.51225014
-5.90395198,4.79062232,0.99737041,0.55579167,0.08993121,0.70450307,0.11474888,2.21138164,1.12884877,1.49943452
-5.89794897,4.71837601,0.99329676,0.54167639,0.08919142,0.71139457,0.11528322,2.15196762,1.12138475,1.48470667
-5.89194597,4.64793749,0.99257422,0.52798432,0.08836862,0.72014837,0.11587872,2.09167690,1.11573995,1.46822291
-5.88594297,4.57980456,0.99547581,0.51489662,0.08752320,0.73045394,0.11658711,2.03121405,1.11173751,1.45019041
-5.87993997,4.51457317,1.00229349,0.50259983,0.08671685,0.74200755,0.11746002,1.97134665,1.10923446,1.43085390
-5.87393697,4.45289957,1.01332717,0.49127863,0.08601004,0.75451440,0.11854658,1.91287929,1.10811819,1.41048195
-5.86793397,4.39546393,1.02887434,0.48110897,0.08545964,0.76769113,0.11989114,1.85662761,1.10830275,1.38935369
-5.86193097,4.34293759,1.04922071,0.47225205,0.08511677,0.78126896,0.12153118,1.80339363,1.10972515,1.36774683
-5.85592796,4.29595584,1.07463219,0.46484918,0.08502489,0.79499739,0.12349561,1.75394323,1.11234214,1.34592751
-5.84992496,4.25509733,1.10534871,0.45901820,0.08521832,0.80864851,0.12580350,1.70898707,1.11612752,1.32414257
-5.84392196,4.22087111,1.14157978,0.45485117,0.08572126,0.82202174,0.12846324,1.66916519,1.12107038,1.30261447
-5.83791896,4.19371118,1.18350194,0.45241375,0.08654717,0.83494879,0.13147222,1.63503609,1.12717406,1.28153904
-5.83191596,4.17397846,1.23125815,0.45174601,0.08769871,0.84729856,0.13481701,1.60707017,1.13445599,1.26108580
-5.82591296,4.16196905,1.28495881,0.45286457,0.08916813,0.85898173,0.13847406,1.58564754,1.14294820,1.24140067
-5.81990995,4.15792777,1.34468422,0.45576593,0.09093813,0.86995465,0.14241083,1.57105990,1.15269838,1.22261070
