energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,8.38614933,0.33445616,1.89228331,0.08914538,0.07366240,0.04395700,1.69244244,0.78014649,2.96033487
-5.99399700,8.61619535,0.33677374,1.94539696,0.08933613,0.07745609,0.04492759,1.74217145,0.80015819,3.04071331
-5.98799400,8.84113251,0.33934137,1.99752255,0.08924444,0.08144738,0.04592254,1.79137738,0.82034475,3.11770996
-5.98199100,9.05833095,0.34222696,2.04815219,0.08885469,0.08560792,0.04692485,1.83956614,0.84052526,3.19012529
-5.97598799,9.26502351,0.34548989,2.09673972,0.08815946,0.08990128,0.04791613,1.88620443,0.86050262,3.25675787
-5.96998499,9.45839047,0.34917998,2.14272029,0.08715986,0.09428347,0.04887718,1.93073713,0.88006940,3.31643798
-5.96398199,9.63565038,0.35333648,2.18553130,0.08586568,0.09870383,0.04978862,1.97260603,0.89901397,3.36806241
-5.95797899,9.79415202,0.35798735,2.22463356,0.08429510,0.10310617,0.05063151,2.01126890,0.91712681,3.41062838
-5.95197599,9.93146262,0.36314854,2.25953132,0.08247412,0.10743022,0.05138803,2.04621795,0.93420652,3.44326490
-5.94597299,10.04544759,0.36882346,2.28979017,0.08043569,0.11161324,0.05204195,2.07699653,0.95006526,3.46526011
-5.93996998,10.13433798,0.37500254,2.31505179,0.07821856,0.11559178,0.05257919,2.10321343,0.96453358,3.47608294
-5.93396698,10.19678240,0.38166300,2.33504496,0.07586601,0.11930356,0.05298817,2.12455398,0.97746418,3.47539839
-5.92796398,10.23188146,0.38876872,2.34959236,0.07342436,0.12268932,0.05326008,2.14078768,0.98873479,3.46307562
-5.92196098,10.23920380,0.39627044,2.35861298,0.07094146,0.12569457,0.05338911,2.15177205,0.99824984,3.43918860
-5.91595798,10.21878393,0.40410616,2.36212048,0.06846521,0.12827129,0.05337246,2.15745286,1.00594122,3.40400963
-5.90995498,10.17110315,0.41220198,2.36021769,0.06604206,0.13037929,0.05321036,2.15786090,1.01176798,3.35799627
-5.90395198,10.09705588,0.42047317,2.35308816,0.06371576,0.13198740,0.05290591,2.15310595,1.01571522,3.30177248
