energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.79795332,-2.74177060,0.72059971,-0.66748989,1.62696490,-1.67253352,0.00421879,-0.00499805,0.31283456,-0.28152525,0.53795407,-0.44864267,0.52949927,-0.47246783,0.27505712,-0.26401986,0.00000000,-0.00000000
-5.99399700,2.73968325,-2.68142906,0.70412694,-0.64729131,1.58533848,-1.62629741,0.00391582,-0.00471002,0.31181018,-0.28201514,0.53670732,-0.44806773,0.52671934,-0.47266469,0.26565897,-0.25533350,0.00000000,-0.00000000
-5.98799400,2.68134620,-2.62229238,0.68830372,-0.62862049,1.54303290,-1.57927488,0.00361675,-0.00441853,0.31081009,-0.28295579,0.53611443,-0.44908524,0.52375191,-0.47332413,0.25677668,-0.24743835,0.00000000,-0.00000000
-5.98199100,2.62242766,-2.56393278,0.67297149,-0.61144387,1.49969196,-1.53119435,0.00332392,-0.00412602,0.30980353,-0.28429854,0.53604145,-0.45158333,0.52054480,-0.47436791,0.24836777,-0.24029088,0.00000000,-0.00000000
-5.97598799,2.56251954,-2.50599109,0.65795413,-0.59569226,1.45506807,-1.48188197,0.00303957,-0.00383496,0.30876039,-0.28598757,0.53633959,-0.45542206,0.51705013,-0.47570839,0.24038417,-0.23383637,0.00000000,-0.00000000
-5.96998499,2.50133673,-2.44819377,0.64306623,-0.58126389,1.40903232,-1.43127098,0.00276571,-0.00354781,0.30765219,-0.28796229,0.53685002,-0.46043820,0.51322577,-0.47725167,0.23277465,-0.22801125,0.00000000,-0.00000000
-5.96398199,2.43872792,-2.39036453,0.62812152,-0.56802798,1.36157910,-1.37940573,0.00250419,-0.00326698,0.30645295,-0.29015950,0.53740922,-0.46645014,0.50903662,-0.47890079,0.22548739,-0.22274557,0.00000000,-0.00000000
-5.95797899,2.37468110,-2.33243034,0.61294136,-0.55582909,1.31282546,-1.32644074,0.00225659,-0.00299473,0.30514024,-0.29251546,0.53785489,-0.47326289,0.50445598,-0.48055859,0.21847237,-0.21796528,0.00000000,-0.00000000
-5.95197599,2.30932432,-2.27442268,0.59736297,-0.54449203,1.26300589,-1.27263526,0.00202424,-0.00273315,0.30369626,-0.29496769,0.53803227,-0.48067313,0.49946695,-0.48213053,0.21168373,-0.21359466,0.00000000,-0.00000000
-5.94597299,2.24292262,-2.21647437,0.58124703,-0.53382753,1.21246323,-1.21834396,0.00180823,-0.00248411,0.30210907,-0.29745653,0.53780086,-0.48847424,0.49406396,-0.48352710,0.20508204,-0.20955859,0.00000000,-0.00000000
-5.93996998,2.17587184,-2.15881325,0.56448458,-0.52363839,1.16163656,-1.16400465,0.00160940,-0.00224923,0.30037407,-0.29992656,0.53704138,-0.49646130,0.48825457,-0.48466614,0.19863632,-0.20578481,0.00000000,-0.00000000
-5.93396698,2.10869028,-2.10175352,0.54700275,-0.51372633,1.11104700,-1.11012396,0.00142837,-0.00202991,0.29849564,-0.30232781,0.53566271,-0.50443624,0.48206137,-0.48547491,0.19232589,-0.20220614,0.00000000,-0.00000000
-5.92796398,2.04200895,-2.04568592,0.52876926,-0.50389900,1.06128229,-1.05726201,0.00126557,-0.00182726,0.29648887,-0.30461691,0.53360869,-0.51221297,0.47552412,-0.48589207,0.18614201,-0.19876265,0.00000000,-0.00000000
-5.92196098,1.97656096,-1.99106776,0.50979551,-0.49397733,1.01298106,-1.00601681,0.00112128,-0.00164217,0.29438148,-0.30675818,0.53086432,-0.51962265,0.46870181,-0.48586954,0.18008909,-0.19540368,0.00000000,-0.00000000
-5.91595798,1.91317059,-1.93841364,0.49013803,-0.48380268,0.96681740,-0.95700941,0.00099566,-0.00147531,0.29221556,-0.30872480,0.52746132,-0.52651899,0.46167472,-0.48537442,0.17418566,-0.19208979,0.00000000,-0.00000000
-5.90995498,1.85274226,-1.88828748,0.46989838,-0.47324369,0.92348638,-0.91087041,0.00088881,-0.00132719,0.29004929,-0.31050003,0.52348239,-0.53278359,0.45454616,-0.48439081,0.16846485,-0.18879452,0.00000000,-0.00000000
-5.90395198,1.79624933,-1.84129636,0.44922134,-0.46220244,0.88369083,-0.86822820,0.00080082,-0.00119818,0.28795828,-0.31207850,0.51906416,-0.53833115,0.44744379,-0.48292167,0.16297444,-0.18550587,0.00000000,-0.00000000
-5.89794897,1.74472283,-1.79808613,0.42829158,-0.45061968,0.84812961,-0.82969945,0.00073180,-0.00108857,0.28603642,-0.31346759,0.51439835,-0.54311445,0.44052020,-0.48099064,0.15777647,-0.18222755,0.00000000,-0.00000000
-5.89194597,1.69923943,-1.75933871,0.40732884,-0.43847878,0.81748733,-0.79588167,0.00068195,-0.00099862,0.28439618,-0.31468885,0.50973102,-0.54712884,0.43395268,-0.47864371,0.15294635,-0.17897983,0.00000000,-0.00000000
-5.88594297,1.66090860,-1.72577055,0.38658189,-0.42580824,0.79242539,-0.76734793,0.00065155,-0.00092861,0.28316810,-0.31577927,0.50535969,-0.55041597,0.42794203,-0.47595064,0.14857145,-0.17579996,0.00000000,-0.00000000
-5.87993997,1.63085809,-1.69813156,0.36632132,-0.41268248,0.77357397,-0.74464315,0.00064105,-0.00087887,0.28249948,-0.31679250,0.50162822,-0.55306657,0.42271004,-0.47300599,0.14474927,-0.17274210,0.00000000,-0.00000000
