energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,9.26325258,0.01563673,1.23029562,0.65542865,0.18356595,9.52525151,5.29919143,0.07455741,1.73219938
-5.99399700,9.24942153,0.01455512,1.22843878,0.63335530,0.18963916,9.72632192,5.26738434,0.07121553,1.72157960
-5.98799400,9.23972881,0.01356121,1.22489697,0.61318974,0.19641602,9.92376800,5.23436021,0.06815602,1.71658574
-5.98199100,9.23444636,0.01265977,1.21979675,0.59512607,0.20384478,10.11473737,5.20068078,0.06541690,1.71724237
-5.97598799,9.23363058,0.01185334,1.21327592,0.57929561,0.21186704,10.29622888,5.16683752,0.06303196,1.72344936
-5.96998499,9.23713900,0.01114234,1.20547879,0.56576944,0.22041989,10.46516288,5.13325208,0.06103019,1.73499211
-5.96398199,9.24465474,0.01052535,1.19655177,0.55456319,0.22943808,10.61845960,5.10027985,0.05943540,1.75155505
-5.95797899,9.25571643,0.00999929,1.18663953,0.54564381,0.23885613,10.75312218,5.06821557,0.05826585,1.77273793
-5.95197599,9.26975163,0.00955970,1.17588159,0.53893783,0.24861019,10.86632079,5.03730030,0.05753412,1.79807369
-5.94597299,9.28611144,0.00920097,1.16440953,0.53434066,0.25863952,10.95547412,5.00772871,0.05724700,1.82704727
-5.93996998,9.30410412,0.00891664,1.15234462,0.53172637,0.26888767,11.01832469,4.97965593,0.05740550,1.85911428
-5.93396698,9.32302617,0.00869965,1.13979611,0.53095739,0.27930299,11.05300515,4.95320359,0.05800496,1.89371883
-5.92796398,9.34218933,0.00854256,1.12685999,0.53189378,0.28983878,11.05809260,4.92846433,0.05903520,1.93030971
-5.92196098,9.36094252,0.00843776,1.11361827,0.53440142,0.30045278,11.03264936,4.90550484,0.06048075,1.96835445
-5.91595798,9.37868822,0.00837772,1.10013879,0.53835886,0.31110631,10.97624879,4.88436725,0.06232113,2.00735075
-5.90995498,9.39489316,0.00835516,1.08647547,0.54366259,0.32176284,10.88898567,4.86506917,0.06453110,2.04683499
-5.90395198,9.40909339,0.00836318,1.07266906,0.55023037,0.33238629,10.77147135,4.84760249,0.06708105,2.08638787
-5.89794897,9.42089451,0.00839545,1.05874823,0.55800268,0.34293917,10.62481433,4.83193154,0.06993723,2.12563695
-5.89194597,9.42996745,0.00844633,1.04473110,0.56694221,0.35338049,10.45058755,4.81799080,0.07306216,2.16425662
-5.88594297,9.43604088,0.00851097,1.03062691,0.57703159,0.36366388,10.25078405,4.80568268,0.07641494,2.20196545
-5.87993997,9.43889106,0.00858545,1.01643801,0.58826945,0.37373580,10.02776272,4.79487567,0.07995164,2.23852164
-5.87393697,9.43832991,0.00866682,1.00216178,0.60066513,0.38353412,9.78418629,4.78540309,0.08362569,2.27371680
-5.86793397,9.43419218,0.00875318,0.98779262,0.61423244,0.39298721,9.52295356,4.77706262,0.08738828,2.30736868
-5.86193097,9.42632230,0.00884374,0.97332366,0.62898271,0.40201354,9.24712791,4.76961658,0.09118889,2.33931336
-5.85592796,9.41456155,0.00893881,0.95874830,0.64491762,0.41052192,8.95986413,4.76279297,0.09497576,2.36939739
-5.84992496,9.39873593,0.00903984,0.94406125,0.66202216,0.41841246,8.66433542,4.75628711,0.09869655,2.39747039
-5.84392196,9.37864506,0.00914933,0.92925922,0.68025806,0.42557818,8.36366236,4.74976372,0.10229899,2.42337841
-5.83791896,9.35405247,0.00927083,0.91434106,0.69955812,0.43190732,8.06084562,4.74285920,0.10573161,2.44695856
-5.83191596,9.32467749,0.00940878,0.89930743,0.71982159,0.43728610,7.75870384,4.73518402,0.10894457,2.46803502
-5.82591296,9.29018890,0.00956840,0.88416007,0.74091089,0.44160213,7.45981837,4.72632509,0.11189044,2.48641662
-5.81990995,9.25020068,0.00975555,0.86890070,0.76264988,0.44474796,7.16648606,4.71584802,0.11452517,2.50189617
-5.81390695,9.20427003,0.00997649,0.85352966,0.78482363,0.44662491,6.88068135,4.70329939,0.11680886,2.51425134
-5.80790395,9.15189797,0.01023768,0.83804460,0.80717985,0.44714686,6.60402879,4.68820910,0.11870665,2.52324717
-5.80190095,9.09253267,0.01054552,0.82243914,0.82943185,0.44624376,6.33778665,4.67009300,0.12018945,2.52863985
-5.79589795,9.02557583,0.01090607,0.80670191,0.85126295,0.44386485,6.08284225,4.64845609,0.12123461,2.53018177
-5.78989495,8.95039225,0.01132481,0.79081603,0.87233220,0.43998123,5.83971911,4.62279653,0.12182637,2.52762740
-5.78389195,8.86632259,0.01180632,0.77475910,0.89228128,0.43458783,5.60859578,4.59261077,0.12195628,2.52073976
-5.77788894,8.77269945,0.01235403,0.75850394,0.91074219,0.42770452,5.38933573,4.55739997,0.12162324,2.50929728
-5.77188594,8.66886644,0.01296994,0.74202006,0.92734571,0.41937632,5.18152727,4.51667795,0.12083349,2.49310075
-5.76588294,8.55420007,0.01365441,0.72527577,0.94173026,0.40967282,4.98453208,4.46998075,0.11960030,2.47197999
