energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.31607095,0.29359626,2.36502499,0.00654901,0.14747560,0.70531362,0.00000000,0.59807934,0.07221684
-5.99399700,3.31601678,0.28842547,2.36101640,0.00643241,0.15250369,0.70926549,0.00000000,0.60028811,0.07278317
-5.98799400,3.30783815,0.28298080,2.34923995,0.00631732,0.15717170,0.71256518,0.00000000,0.60222330,0.07329000
-5.98199100,3.29146391,0.27727629,2.32989570,0.00620938,0.16138949,0.71511532,0.00000000,0.60363810,0.07371204
-5.97598799,3.26699285,0.27133858,2.30333827,0.00611471,0.16507575,0.71683929,0.00000000,0.60430025,0.07402570
-5.96998499,3.23470213,0.26520651,2.27007374,0.00603998,0.16816052,0.71768706,0.00000000,0.60399933,0.07420985
-5.96398199,3.19504961,0.25893058,2.23075041,0.00599237,0.17058749,0.71764020,0.00000000,0.60255406,0.07424672
-5.95797899,3.14866948,0.25257217,2.18614369,0.00597961,0.17231610,0.71671568,0.00000000,0.59981929,0.07412255
-5.95197599,3.09636102,0.24620259,2.13713534,0.00600993,0.17332312,0.71496827,0.00000000,0.59569217,0.07382835
-5.94597299,3.03907044,0.23990194,2.08468792,0.00609206,0.17360385,0.71249118,0.00000000,0.59011737,0.07336029
-5.93996998,2.97786635,0.23375769,2.02981533,0.00623513,0.17317262,0.70941481,0.00000000,0.58309073,0.07272011
-5.93396698,2.91390964,0.22786300,1.97355086,0.00644856,0.17206266,0.70590365,0.00000000,0.57466136,0.07191518
-5.92796398,2.84841900,0.22231489,1.91691404,0.00674194,0.17032531,0.70215132,0.00000000,0.56493166,0.07095839
-5.92196098,2.78263337,0.21721214,1.86087778,0.00712479,0.16802851,0.69837393,0.00000000,0.55405552,0.06986783
-5.91595798,2.71777303,0.21265303,1.80633752,0.00760634,0.16525459,0.69480216,0.00000000,0.54223433,0.06866624
-5.90995498,2.65500106,0.20873303,1.75408361,0.00819520,0.16209755,0.69167233,0.00000000,0.52971124,0.06738022
-5.90395198,2.59538685,0.20554241,1.70477830,0.00889904,0.15865975,0.68921686,0.00000000,0.51676367,0.06603931
-5.89794897,2.53987334,0.20316390,1.65893843,0.00972418,0.15504836,0.68765479,0.00000000,0.50369450,0.06467500
-5.89194597,2.48924947,0.20167052,1.61692437,0.01067519,0.15137153,0.68718261,0.00000000,0.49082222,0.06331955
-5.88594297,2.44412902,0.20112359,1.57893587,0.01175447,0.14773451,0.68796608,0.00000000,0.47847064,0.06200491
