energy_ev,total_up,As_p_up,As_d_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,2.77147235,1.16851215,0.00000000,2.63442084,1.16825760,0.84211265,0.00000000
-5.99399700,2.93782128,1.29965349,0.00000000,2.78928056,1.28655564,0.84565170,0.00000000
-5.98799400,3.13292491,1.44596627,0.00000000,2.97068129,1.42034489,0.85510581,0.00000000
-5.98199100,3.35675011,1.60738536,0.00000000,3.17883196,1.56958008,0.87050152,0.00000000
-5.97598799,3.60872836,1.78355033,0.00000000,3.41339217,1.73394590,0.89175584,0.00000000
-5.96998499,3.88771432,1.97378069,0.00000000,3.67341779,1.91283407,0.91866953,0.00000000
-5.96398199,4.19195842,2.17705819,0.00000000,3.95732228,2.10532646,0.95092398,0.00000000
-5.95797899,4.51909626,2.39201754,0.00000000,4.26285699,2.31018566,0.98808184,0.00000000
-5.95197599,4.86615694,2.61694702,0.00000000,4.58711326,2.52585421,1.02959200,0.00000000
-5.94597299,5.22959172,2.84980001,0.00000000,4.92654838,2.75046369,1.07479873,0.00000000
-5.93996998,5.60532377,3.08821803,0.00000000,5.27703619,2.98185407,1.12295506,0.00000000
-5.93396698,5.98881849,3.32956555,0.00000000,5.63394244,3.21760359,1.17323981,0.00000000
-5.92796398,6.37517317,3.57097617,0.00000000,5.99222339,3.45506906,1.22477788,0.00000000
-5.92196098,6.75922354,3.80940931,0.00000000,6.34654519,3.69143552,1.27666298,0.00000000
-5.91595798,7.13566394,4.04171595,0.00000000,6.69142032,3.92377434,1.32798187,0.00000000
-5.90995498,7.49917709,4.26471149,0.00000000,7.02135647,4.14910771,1.37783916,0.00000000
-5.90395198,7.84456870,4.47525333,0.00000000,7.33101217,4.36447772,1.42538157,0.00000000
-5.89794897,8.16690175,4.67032052,0.00000000,7.61535318,4.56701735,1.46982068,0.00000000
-5.89194597,8.46162539,4.84709247,0.00000000,7.86980320,4.75402100,1.51045329,0.00000000
-5.88594297,8.72469322,5.00302375,0.00000000,8.09038276,4.92301175,1.54667834,0.00000000
-5.87993997,8.95266638,5.13591217,0.00000000,8.27383018,5.07180283,1.57801007,0.00000000
-5.87393697,9.14279746,5.24395731,0.00000000,8.41769968,5.19855101,1.60408674,0.00000000
-5.86793397,9.29309209,5.32580732,0.00000000,8.52043250,5.30179974,1.62467487,0.00000000
-5.86193097,9.40234634,5.38059218,0.00000000,8.58139810,5.38051074,1.63966903,0.00000000
-5.85592796,9.47015891,5.40794224,0.00000000,8.60090417,5.43408276,1.64908744,0.00000000
