energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.33342165,0.01293397,0.55904584,0.75394803,0.56846820,1.09315387,1.20918982,0.00880717,1.19012616
-5.99399700,3.28243528,0.01271542,0.55847723,0.74124170,0.54999378,1.08011366,1.20756535,0.00848273,1.15778083
-5.98799400,3.22708652,0.01246130,0.55688705,0.72796688,0.53060263,1.06699902,1.20329630,0.00818666,1.12416606
-5.98199100,3.16842203,0.01217539,0.55433838,0.71443542,0.51061289,1.05423938,1.19648470,0.00792131,1.08984200
-5.97598799,3.10759808,0.01186162,0.55093382,0.70094728,0.49035736,1.04227336,1.18731752,0.00768926,1.05537531
-5.96998499,3.04585389,0.01152398,0.54681380,0.68778389,0.47017431,1.03154083,1.17606331,0.00749328,1.02132549
-5.96398199,2.98448298,0.01116635,0.54215332,0.67520287,0.45039846,1.02247485,1.16306605,0.00733631,0.98823238
-5.95797899,2.92480338,0.01079242,0.53715733,0.66343434,0.43135243,1.01549332,1.14873608,0.00722139,0.95660531
-5.95197599,2.86812740,0.01040567,0.53205479,0.65267863,0.41333878,1.01099056,1.13353851,0.00715165,0.92691406
-5.94597299,2.81573133,0.01000927,0.52709153,0.64310549,0.39663309,1.00932872,1.11797928,0.00713026,0.89958184
-5.93996998,2.76882594,0.00960612,0.52252208,0.63485453,0.38147802,1.01082909,1.10258939,0.00716038,0.87498014
-5.93396698,2.72852805,0.00919882,0.51860085,0.62803666,0.36807867,1.01576348,1.08790761,0.00724511,0.85342553
-5.92796398,2.69583387,0.00878974,0.51557282,0.62273637,0.35659913,1.02434572,1.07446250,0.00738748,0.83517804
-5.92196098,2.67159450,0.00838103,0.51366407,0.61901452,0.34716029,1.03672354,1.06275403,0.00759032,0.82044109
-5.91595798,2.65649413,0.00797472,0.51307269,0.61691127,0.33983896,1.05297105,1.05323582,0.00785623,0.80936252
-5.90995498,2.65103158,0.00757272,0.51396011,0.61644905,0.33466803,1.07308227,1.04629831,0.00818741,0.80203648
-5.90395198,2.65550553,0.00717695,0.51644358,0.61763532,0.33163781,1.09696584,1.04225387,0.00858560,0.79850606
-5.89794897,2.67000409,0.00678933,0.52058980,0.62046479,0.33069823,1.12444158,1.04132415,0.00905191,0.79876621
-5.89194597,2.69439917,0.00641183,0.52641027,0.62492127,0.33176196,1.15523906,1.04363047,0.00958664,0.80276695
