energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,6.69938106,1.57191846,0.43466543,0.00297801,0.79466789,0.12414955,3.15545861,0.74511181,0.93725797
-5.99399700,6.94513960,1.72808216,0.47166518,0.00334934,0.77016635,0.13254100,3.34028952,0.74772940,0.91047991
-5.98799400,7.22191868,1.89421816,0.51152185,0.00375434,0.74906928,0.14176079,3.54025749,0.75425831,0.88722287
-5.98199100,7.53000592,2.06921172,0.55416323,0.00419243,0.73189033,0.15179425,3.75483346,0.76492989,0.86800739
-5.97598799,7.86869694,2.25166170,0.59944715,0.00466236,0.71905223,0.16260121,3.98298107,0.77987658,0.85324809
-5.96998499,8.23624012,2.43988910,0.64715690,0.00516218,0.71087503,0.17411458,4.22313855,0.79912322,0.84324190
-5.96398199,8.62981646,2.63195440,0.69699854,0.00568922,0.70756744,0.18623989,4.47321869,0.82258161,0.83815991
-5.95797899,9.04555641,2.82568409,0.74860030,0.00624007,0.70922143,0.19885578,4.73062799,0.85004878,0.83804321
-5.95197599,9.47859441,3.01870603,0.80151433,0.00681062,0.71581012,0.21181544,4.99230497,0.88120879,0.84280264
-5.94597299,9.92316004,3.20849317,0.85522079,0.00739607,0.72718911,0.22494916,5.25477721,0.91563838,0.85222257
-5.93996998,10.37270335,3.39241457,0.90913444,0.00799103,0.74310102,0.23806777,5.51423557,0.95281598,0.86596831
-5.93396698,10.82005043,3.56779257,0.96261359,0.00858956,0.76318298,0.25096700,5.76662352,0.99213406,0.88359699
-5.92796398,11.25758407,3.73196427,1.01497131,0.00918530,0.78697686,0.26343256,6.00773866,1.03291413,0.90457127
-5.92196098,11.67744343,3.88234554,1.06548879,0.00977158,0.81394177,0.27524585,6.23334299,1.07442413,0.92827558
-5.91595798,12.07173568,4.01649548,1.11343038,0.01034154,0.84346843,0.28619004,6.43927810,1.11589744,0.95403405
-5.90995498,12.43275231,4.13217905,1.15806003,0.01088825,0.87489509,0.29605626,6.62158118,1.15655301,0.98112991
-5.90395198,12.75318270,4.22742568,1.19865879,0.01140489,0.90752442,0.30464980,6.77659760,1.19561593,1.00882541
-5.89794897,13.02631748,4.30058185,1.23454263,0.01188484,0.94064104,0.31179599,6.90108605,1.23233785,1.03638204
-5.89194597,13.24623498,4.35035554,1.26508022,0.01232182,0.97352935,0.31734548,6.99231226,1.26601672,1.06308028
-5.88594297,13.40796462,4.37585108,1.28970997,0.01271005,1.00549121,0.32117888,7.04812819,1.29601532,1.08823867
-5.87993997,13.50762221,4.37659306,1.30795584,0.01304433,1.03586323,0.32321043,7.06703360,1.32177805,1.11123160
-5.87393697,13.54251305,4.35253839,1.31944125,0.01332014,1.06403327,0.32339058,7.04821815,1.34284585,1.13150566
-5.86793397,13.51120039,4.30407620,1.32390059,0.01353375,1.08945604,0.32170754,6.99158266,1.35886868,1.14859415
-5.86193097,13.41353768,4.23201556,1.32118793,0.01368226,1.11166732,0.31818752,6.89773910,1.36961558,1.16212962
-5.85592796,13.25066470,4.13756170,1.31128247,0.01376366,1.13029682,0.31289384,6.76798958,1.37498208,1.17185417
-5.84992496,13.02496874,4.02228151,1.29429051,0.01377689,1.14507910,0.30592492,6.60428566,1.37499484,1.17762742
-5.84392196,12.74001318,3.88805984,1.27044387,0.01372180,1.15586261,0.29741122,6.40916973,1.36981352,1.17943197
-5.83791896,12.40043680,3.73704830,1.24009460,0.01359919,1.16261637,0.28751126,6.18570104,1.35972988,1.17737620
-5.83191596,12.01182789,3.57160825,1.20370635,0.01341079,1.16543404,0.27640700,5.93736936,1.34516406,1.17169440
-5.82591296,11.58057783,3.39425030,1.16184252,0.01315919,1.16453527,0.26429858,5.66799946,1.32665802,1.16274398
-5.81990995,11.11371905,3.20757228,1.11515166,0.01284780,1.16026380,0.25139885,5.38165020,1.30486629,1.15099968
-5.81390695,10.61875257,3.01419774,1.06435065,0.01248082,1.15308231,0.23792761,5.08251134,1.28054395,1.13704483
-5.80790395,10.10347010,2.81671697,1.01020623,0.01206309,1.14356377,0.22410611,4.77480194,1.25453178,1.12155940
-5.80190095,9.57577555,2.61763223,0.95351560,0.01160005,1.13237906,0.21015157,4.46267305,1.22773896,1.10530495
-5.79589795,9.04351029,2.41930870,0.89508669,0.01109764,1.12028106,0.19627229,4.15011778,1.20112306,1.08910657
-5.78989495,8.51428625,2.22393227,0.83571883,0.01056212,1.10808505,0.18266317,3.84089089,1.17566771,1.07383187
-5.78389195,7.99533023,2.03347499,0.77618448,0.01000003,1.09664596,0.16950186,3.53843980,1.15235827,1.06036727
-5.77788894,7.49334235,1.84966881,0.71721252,0.00941803,1.08683257,0.15694561,3.24584821,1.13215561,1.04959214
-5.77188594,7.01437107,1.67398756,0.65947367,0.00882279,1.07949948,0.14512884,2.96579309,1.11596875,1.04235109
-5.76588294,6.56370663,1.50763719,0.60356832,0.00822083,1.07545747,0.13416141,2.70051532,1.10462686,1.03942528
-5.75987994,6.14579435,1.35155379,0.55001715,0.00761848,1.07544314,0.12412765,2.45180354,1.09885133,1.04150348
-5.75387694,5.76416886,1.20640872,0.49925461,0.00702168,1.08008892,0.11508605,2.22099074,1.09922901,1.04915382
-5.74787394,5.42141000,1.07262003,0.45162523,0.00643596,1.08989469,0.10706952,2.00896251,1.10618724,1.06279741
-5.74187094,5.11912067,0.95036918,0.40738283,0.00586633,1.10520199,0.10008635,1.81617561,1.11997211,1.08268483
-5.73586793,4.85792684,0.83962214,0.36669230,0.00531719,1.12617236,0.09412160,1.64268566,1.14063073,1.10887668
-5.72986493,4.63749949,0.74015358,0.32963376,0.00479233,1.15277076,0.08913892,1.48818208,1.16799878,1.14122936
-5.72386193,4.45659788,0.65157337,0.29620871,0.00429484,1.18475528,0.08508282,1.35202907,1.20169407,1.17938706
-5.71785893,4.31313346,0.57335413,0.26634790,0.00382715,1.22167396,0.08188118,1.23331071,1.24111711,1.22278073
-5.71185593,4.20425294,0.50485917,0.23992046,0.00339102,1.26286934,0.07944807,1.13087896,1.28545914,1.27063478
-5.70585293,4.12643905,0.44536980,0.21674384,0.00298753,1.30749121,0.07768666,1.04340296,1.33371794,1.32198168
-5.69984992,4.07562661,0.39411158,0.19659427,0.00261716,1.35451726,0.07649234,0.96941841,1.38472134,1.37568453
-5.69384692,4.04733131,0.35027863,0.17921741,0.00227984,1.40278159,0.07575582,0.90737584,1.43715812,1.43046713
-5.68784392,4.03678802,0.31305591,0.16433867,0.00197497,1.45100993,0.07536620,0.85568672,1.48961533,1.48495079
-5.68184092,4.03909494,0.28163889,0.15167312,0.00170154,1.49786064,0.07521400,0.81276649,1.54062115,1.53769674
-5.67583792,4.04935958,0.25525066,0.14093465,0.00145815,1.54196997,0.07519402,0.77707381,1.58869147,1.58725261
-5.66983492,4.06284217,0.23315610,0.13184418,0.00124314,1.58199967,0.07520791,0.74714525,1.63237879,1.63220121
-5.66383192,4.07509229,0.21467338,0.12413683,0.00105462,1.61668516,0.07516657,0.72162512,1.67032121,1.67120965
-5.65782891,4.08207408,0.19918268,0.11756790,0.00089057,1.64488210,0.07499211,0.69928995,1.70128955,1.70307674
-5.65182591,4.08027608,0.18613231,0.11191763,0.00074888,1.66560931,0.07461945,0.67906736,1.72423072,1.72677653
-5.64582291,4.06680196,0.17504236,0.10699475,0.00062743,1.67808617,0.07399753,0.66004942,1.73830506,1.74149615
-5.63981991,4.03943913,0.16550618,0.10263878,0.00052414,1.68176278,0.07309000,0.64150027,1.74291634,1.74666614
-5.63381691,3.99670293,0.15718976,0.09872117,0.00043701,1.67634140,0.07187551,0.62285856,1.73773278,1.74198191
-5.62781391,3.93785526,0.14982945,0.09514540,0.00036412,1.66178835,0.07034747,0.60373460,1.72269818,1.72741530
-5.62181091,3.86289713,0.14322808,0.09184608,0.00030374,1.63833568,0.06851347,0.58390309,1.69803275,1.70321570
-5.61580790,3.77253618,0.13724991,0.08878713,0.00025427,1.60647262,0.06639422,0.56329162,1.66422348,1.66990082
-5.60980490,3.66813070,0.13181451,0.08595933,0.00021428,1.56692729,0.06402221,0.54196585,1.62200456,1.62823726
-5.60380190,3.55161302,0.12688993,0.08337722,0.00018251,1.52063940,0.06144006,0.52011191,1.57232890,1.57921218
-5.59779890,3.42539568,0.12248539,0.08107555,0.00015791,1.46872539,0.05869870,0.49801684,1.51633185,1.52399701
-5.59179590,3.29226456,0.11864357,0.07910538,0.00013958,1.41243746,0.05585537,0.47604779,1.45528907,1.46390510
-5.58579290,3.15526338,0.11543289,0.07753012,0.00012679,1.35311849,0.05297166,0.45463075,1.39057025,1.40034518
-5.57978989,3.01757434,0.11293989,0.07642140,0.00011897,1.29215466,0.05011153,0.43422947,1.32359076,1.33477248
-5.57378689,2.88239955,0.11126174,0.07585503,0.00011572,1.23092793,0.04733938,0.41532518,1.25576341,1.26863983
-5.56778389,2.75284745,0.11049927,0.07590717,0.00011675,1.17077021,0.04471837,0.39839768,1.18845212,1.20335044
-5.56178089,2.63182847,0.11075039,0.07665074,0.00012191,1.11292103,0.04230883,0.38390814,1.12292947,1.14021446
-5.55577789,2.52196295,0.11210420,0.07815212,0.00013119,1.05849033,0.04016699,0.37228405,1.06033952,1.08041063
-5.54977489,2.42550417,0.11463572,0.08046826,0.00014465,1.00842752,0.03834383,0.36390635,1.00166728,1.02495448
-5.54377189,2.34427821,0.11840137,0.08364426,0.00016247,0.96349775,0.03688426,0.35909892,0.94771558,0.97467383
