energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,12.12908280,0.02017218,1.81709557,0.17606829,9.64559495,6.77595792,0.08493451,2.48307123
-5.99399700,12.26919025,0.02034104,1.83771224,0.17628953,9.83174796,6.85384463,0.08502022,2.50676931
-5.98799400,12.36545873,0.02046762,1.84932648,0.17648235,9.97782832,6.90503244,0.08501625,2.52591633
-5.98199100,12.41720304,0.02055685,1.85168795,0.17668130,10.08120287,6.92925073,0.08493434,2.54063443
-5.97598799,12.42436620,0.02061411,1.84470664,0.17691563,10.13996681,6.92662822,0.08478352,2.55105400
-5.96998499,12.38750458,0.02064505,1.82845470,0.17720872,10.15299204,6.89768047,0.08456973,2.55730272
-5.96398199,12.30776053,0.02065533,1.80316381,0.17757801,10.11995495,6.84328869,0.08429575,2.55949711
-5.95797899,12.18682320,0.02065052,1.76921798,0.17803505,10.04134193,6.76467031,0.08396130,2.55773658
-5.95197599,12.02687866,0.02063578,1.72714221,0.17858578,9.91843202,6.66334243,0.08356338,2.55210026
-5.94597299,11.83055053,0.02061577,1.67758722,0.17923101,9.75325737,6.54107914,0.08309675,2.54264651
-5.93996998,11.60083314,0.02059438,1.62131103,0.17996697,9.54854263,6.39986427,0.08255461,2.52941479
-5.93396698,11.34101895,0.02057464,1.55915787,0.18078597,9.30762591,6.24184116,0.08192934,2.51242979
-5.92796398,11.05462271,0.02055854,1.49203552,0.18167696,9.03436419,6.06926094,0.08121323,2.49170713
-5.92196098,10.74530440,0.02054697,1.42089165,0.18262622,8.73302695,5.88443107,0.08039928,2.46726031
-5.91595798,10.41679329,0.02053966,1.34669029,0.18361783,8.40818215,5.68966579,0.07948194,2.43910837
-5.90995498,10.07281536,0.02053513,1.27038904,0.18463412,8.06457868,5.48723971,0.07845763,2.40728367
-5.90395198,9.71702579,0.02053077,1.19291801,0.18565603,7.70702964,5.27934608,0.07732528,2.37183926
-5.89794897,9.35294849,0.02052292,1.11516095,0.18666333,7.34030041,5.06806048,0.07608663,2.33285559
-5.89194597,8.98392377,0.02050695,1.03793913,0.18763484,6.96900508,4.85531092,0.07474634,2.29044604
-5.88594297,8.61306547,0.02047751,0.96199842,0.18854849,6.59751459,4.64285469,0.07331198,2.24476111
-5.87993997,8.24322800,0.02042866,0.88799971,0.18938151,6.22987871,4.43226228,0.07179384,2.19599121
-5.87393697,7.87698378,0.02035414,0.81651264,0.19011052,5.86976416,4.22490825,0.07020461,2.14436791
-5.86793397,7.51661104,0.02024765,0.74801270,0.19071184,5.52040965,4.02196876,0.06855896,2.09016394
-5.86193097,7.16409170,0.02010308,0.68288143,0.19116177,5.18459848,3.82442542,0.06687303,2.03369195
-5.85592796,6.82111862,0.01991480,0.62140929,0.19143719,4.86464850,3.63307464,0.06516394,1.97530242
-5.84992496,6.48911162,0.01967788,0.56380098,0.19151623,4.56241845,3.44854183,0.06344929,1.91538092
-5.84392196,6.16924092,0.01938836,0.51018261,0.19137913,4.27932950,3.27129953,0.06174670,1.85434508
-5.83791896,5.86245691,0.01904344,0.46061039,0.19100940,4.01639990,3.10168856,0.06007343,1.79264150
-5.83191596,5.56952485,0.01864160,0.41508027,0.19039495,3.77429070,2.93994126,0.05844612,1.73074272
-5.82591296,5.29106270,0.01818274,0.37353810,0.18952950,3.55335972,2.78620589,0.05688066,1.66914455
-5.81990995,5.02758076,0.01766819,0.33588994,0.18841390,3.35372121,2.64057106,0.05539210,1.60836361
-5.81390695,4.77952109,0.01710077,0.30201216,0.18705745,3.17530806,2.50308966,0.05399475,1.54893515
-5.80790395,4.54729516,0.01648467,0.27176097,0.18547910,3.01793388,2.37380095,0.05270230,1.49141084
-5.80190095,4.33131792,0.01582539,0.24498114,0.18370839,2.88135181,2.25275051,0.05152803,1.43635642
-5.79589795,4.13203675,0.01512957,0.22151383,0.18178606,2.76530774,2.14000695,0.05048503,1.38434882
-5.78989495,3.94995380,0.01440478,0.20120323,0.17976426,2.66958536,2.03567503,0.04958641,1.33597239
-5.78389195,3.78564048,0.01365934,0.18390203,0.17770620,2.59404113,1.93990454,0.04884548,1.29181405
-5.77788894,3.63974323,0.01290210,0.16947568,0.17568532,2.53862774,1.85289477,0.04827581,1.25245688
-5.77188594,3.51297991,0.01214211,0.15780541,0.17378383,2.50340519,1.77489419,0.04789123,1.21847212
-5.76588294,3.40612671,0.01138849,0.14878999,0.17209067,2.48853886,1.70619543,0.04770567,1.19040945
-5.75987994,3.31999585,0.01065009,0.14234645,0.17069894,2.49428528,1.64712576,0.04773289,1.16878544
-5.75387694,3.25540475,0.00993536,0.13840958,0.16970279,2.52096615,1.59803328,0.04798606,1.15407066
-5.74787394,3.21313797,0.00925207,0.13693064,0.16919398,2.56893223,1.55926958,0.04847726,1.14667556
-5.74187094,3.19390342,0.00860722,0.13787500,0.16925816,2.63851912,1.53116931,0.04921688,1.14693568
-5.73586793,3.19828491,0.00800685,0.14121921,0.16997103,2.72999731,1.51402789,0.05021291,1.15509696
-5.72986493,3.22669329,0.00745598,0.14694734,0.17139453,2.84351922,1.50807803,0.05147030,1.17130164
-5.72386193,3.27931869,0.00695848,0.15504695,0.17357336,2.97906620,1.51346643,0.05299031,1.19557573
-5.71785893,3.35608626,0.00651712,0.16550467,0.17653181,3.13639830,1.53023166,0.05476990,1.22781868
-5.71185593,3.45661809,0.00613349,0.17830174,0.18027123,3.31500968,1.55828449,0.05680127,1.26779615
-5.70585293,3.58020344,0.00580806,0.19340953,0.18476822,3.51409217,1.59739169,0.05907157,1.31513632
-5.69984992,3.72577936,0.00554022,0.21078536,0.18997366,3.73250908,1.64716439,0.06156275,1.36933040
