energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,2.13687931,0.19752644,1.62818617,0.01020398,0.25197649,0.15872800,0.00000000
-5.99399700,2.20887475,0.20643918,1.68660101,0.01024192,0.25767430,0.16661164,0.00000000
-5.98799400,2.28011578,0.21583636,1.74477427,0.01025326,0.26288125,0.17459183,0.00000000
-5.98199100,2.34991339,0.22560662,1.80214213,0.01023865,0.26757746,0.18258531,0.00000000
-5.97598799,2.41763777,0.23563785,1.85818087,0.01019953,0.27175348,0.19050971,0.00000000
-5.96998499,2.48272025,0.24581874,1.91240888,0.01013803,0.27540928,0.19828458,0.00000000
-5.96398199,2.54465427,0.25604019,1.96438820,0.01005688,0.27855302,0.20583241,0.00000000
-5.95797899,2.60299597,0.26619685,2.01372581,0.00995936,0.28119977,0.21307968,0.00000000
-5.95197599,2.65736459,0.27618844,2.06007505,0.00984916,0.28337018,0.21995792,0.00000000
-5.94597299,2.70744307,0.28592101,2.10313738,0.00973031,0.28508910,0.22640473,0.00000000
-5.93996998,2.75297914,0.29530811,2.14266455,0.00960703,0.28638436,0.23236476,0.00000000
-5.93396698,2.79378677,0.30427169,2.17846129,0.00948369,0.28728561,0.23779065,0.00000000
-5.92796398,2.82974802,0.31274281,2.21038838,0.00936467,0.28782326,0.24264378,0.00000000
-5.92196098,2.86081515,0.32066207,2.23836587,0.00925429,0.28802756,0.24689491,0.00000000
-5.91595798,2.88701247,0.32797980,2.26237620,0.00915673,0.28792783,0.25052466,0.00000000
-5.90995498,2.90843781,0.33465592,2.28246694,0.00907590,0.28755175,0.25352373,0.00000000
-5.90395198,2.92526299,0.34065956,2.29875248,0.00901541,0.28692483,0.25589291,0.00000000
-5.89794897,2.93773298,0.34596840,2.31141471,0.00897844,0.28606990,0.25764287,0.00000000
-5.89194597,2.94616339,0.35056782,2.32070196,0.00896768,0.28500676,0.25879364,0.00000000
-5.88594297,2.95093594,0.35444988,2.32692613,0.00898528,0.28375183,0.25937394,0.00000000
-5.87993997,2.95249196,0.35761223,2.33045779,0.00903273,0.28231800,0.25942030,0.00000000
-5.87393697,2.95132360,0.36005693,2.33171931,0.00911079,0.28071439,0.25897590,0.00000000
-5.86793397,2.94796326,0.36178938,2.33117587,0.00921951,0.27894641,0.25808948,0.00000000
-5.86193097,2.94297125,0.36281735,2.32932492,0.00935812,0.27701575,0.25681402,0.00000000
-5.85592796,2.93692231,0.36315016,2.32668420,0.00952501,0.27492061,0.25520546,0.00000000
-5.84992496,2.93039150,0.36279808,2.32377898,0.00971781,0.27265600,0.25332152,0.00000000
-5.84392196,2.92394007,0.36177203,2.32112892,0.00993333,0.27021424,0.25122054,0.00000000
-5.83791896,2.91810197,0.36008350,2.31923534,0.01016769,0.26758558,0.24896047,0.00000000
-5.83191596,2.91337179,0.35774472,2.31856934,0.01041638,0.26475895,0.24659807,0.00000000
-5.82591296,2.91019453,0.35476916,2.31956149,0.01067439,0.26172290,0.24418830,0.00000000
-5.81990995,2.90895790,0.35117210,2.32259344,0.01093639,0.25846660,0.24178389,0.00000000
-5.81390695,2.90998733,0.34697146,2.32799197,0.01119687,0.25498100,0.23943513,0.00000000
-5.80790395,2.91354404,0.34218867,2.33602561,0.01145033,0.25125989,0.23718984,0.00000000
-5.80190095,2.91982607,0.33684956,2.34690396,0.01169153,0.24730111,0.23509352,0.00000000
-5.79589795,2.92897218,0.33098519,2.36077960,0.01191566,0.24310762,0.23318954,0.00000000
-5.78989495,2.94106816,0.32463256,2.37775236,0.01211853,0.23868841,0.23151945,0.00000000
