energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,6.73743727,-8.50506567,0.05823442,-0.10581971,0.90274756,-1.23896638,0.02327246,-0.02664302,0.00000000,-0.00000000,2.74895043,-4.07441567,1.73643232,-1.10075418,0.14432357,-0.13883146,2.75219959,-3.86129667
-5.99399700,6.46371230,-8.42836489,0.05462774,-0.10660401,0.86407341,-1.22997454,0.02259856,-0.02668310,0.00000000,-0.00000000,2.69074089,-4.01616616,1.64323833,-1.10068936,0.13806440,-0.13825751,2.65284857,-3.82652160
-5.98799400,6.20204832,-8.35654769,0.05106545,-0.10762511,0.82630804,-1.22157216,0.02198153,-0.02672857,0.00000000,-0.00000000,2.64028097,-3.95257053,1.55156772,-1.10341159,0.13171992,-0.13806563,2.55973286,-3.79363328
-5.98199100,5.95546970,-8.29091699,0.04759825,-0.10882449,0.78981618,-1.21393372,0.02143293,-0.02678113,0.00000000,-0.00000000,2.59817174,-3.88516484,1.46245415,-1.10870826,0.12536415,-0.13830026,2.47408735,-3.76331477
-5.97598799,5.72660558,-8.23256885,0.04427275,-0.11013749,0.75491196,-1.20721235,0.02096262,-0.02684225,0.00000000,-0.00000000,2.56477880,-3.81550767,1.37684656,-1.11631388,0.11906752,-0.13899662,2.39697166,-3.73615153
-5.96998499,5.51760952,-8.18234786,0.04113040,-0.11149530,0.72185036,-1.20153281,0.02057842,-0.02691307,0.00000000,-0.00000000,2.54021027,-3.74513552,1.29558737,-1.12591530,0.11289488,-0.14017936,2.32923433,-3.71260959
-5.96398199,5.33009604,-8.14081117,0.03820660,-0.11282699,0.69082123,-1.19698537,0.02028581,-0.02699419,0.00000000,-0.00000000,2.52430500,-3.67552110,1.21939425,-1.13715795,0.10690378,-0.14186145,2.27148418,-3.69301801
-5.95797899,5.16509694,-8.10820370,0.03553001,-0.11406165,0.66194591,-1.19362117,0.02008771,-0.02708565,0.00000000,-0.00000000,2.51663152,-3.60803609,1.14884620,-1.14965317,0.10114314,-0.14404347,2.22406998,-3.67755665
-5.95197599,5.02303910,-8.08444626,0.03312214,-0.11513045,0.63527697,-1.19144925,0.01998437,-0.02718678,0.00000000,-0.00000000,2.51649843,-3.54391963,1.08437431,-1.16298655,0.09565235,-0.14671327,2.18706944,-3.66625012
-5.94597299,4.90374447,-8.06913740,0.03099708,-0.11596861,0.61080058,-1.19043542,0.01997335,-0.02729621,0.00000000,-0.00000000,2.52297556,-3.48425335,1.02625745,-1.17672713,0.09046089,-0.14984606,2.16028786,-3.65896836
-5.93996998,4.80645181,-8.06156917,0.02916155,-0.11651724,0.58844170,-1.19050298,0.02004954,-0.02741187,0.00000000,-0.00000000,2.53492530,-3.42994335,0.97462278,-1.19043724,0.08558826,-0.15340484,2.14326634,-3.65543386
-5.93396698,4.72985861,-8.06075573,0.02761507,-0.11672498,0.56807156,-1.19153533,0.02020540,-0.02753100,0.00000000,-0.00000000,2.55104240,-3.38170909,0.92945088,-1.20368273,0.08104452,-0.15734135,2.13529911,-3.65523502
-5.92796398,4.67218095,-8.06547334,0.02635037,-0.11654932,0.54951701,-1.19338002,0.02043117,-0.02765033,0.00000000,-0.00000000,2.56990065,-3.34007881,0.89058515,-1.21604324,0.07683104,-0.16159720,2.13545894,-3.65784496
-5.92196098,4.63122792,-8.07430910,0.02535400,-0.11595781,0.53257125,-1.19585426,0.02071518,-0.02776617,0.00000000,-0.00000000,2.59000389,-3.30539071,0.85774484,-1.22712207,0.07294165,-0.16610538,2.14262948,-3.66264462
-5.91595798,4.60448724,-8.08571585,0.02460695,-0.11492875,0.51700541,-1.19875128,0.02104427,-0.02787459,0.00000000,-0.00000000,2.60983934,-3.27779911,0.83054098,-1.23655550,0.06936397,-0.17079195,2.15554297,-3.66894878
-5.90995498,4.58921792,-8.09807011,0.02408555,-0.11345171,0.50258025,-1.20184722,0.02140418,-0.02797166,0.00000000,-0.00000000,2.62793045,-3.25728448,0.80849461,-1.24402095,0.06608088,-0.17557789,2.17282172,-3.67603361
-5.90395198,4.58254603,-8.10972984,0.02376233,-0.11152768,0.48905747,-1.20490830,0.02178008,-0.02805364,0.00000000,-0.00000000,2.64288715,-3.24366618,0.79105643,-1.24924390,0.06307198,-0.18038090,2.19302161,-3.68316422
-5.89794897,4.58155971,-8.11908929,0.02360698,-0.10916887,0.47621024,-1.20769762,0.02215693,-0.02811717,0.00000000,-0.00000000,2.65345126,-3.23661721,0.77762713,-1.25200322,0.06031516,-0.18511731,2.21467599,-3.68962080
-5.89194597,4.58339996,-8.12462831,0.02358733,-0.10639821,0.46383228,-1.20998162,0.02252004,-0.02815953,0.00000000,-0.00000000,2.65853524,-3.23567980,0.76757774,-1.25213480,0.05778784,-0.18970379,2.23633831,-3.69472218
-5.88594297,4.58534396,-8.12495430,0.02367030,-0.10324863,0.45174530,-1.21153569,0.02285548,-0.02817873,0.00000000,-0.00000000,2.65725284,-3.24028133,0.76026932,-1.24953343,0.05546825,-0.19405899,2.25662223,-3.69784578
-5.87993997,4.58487867,-8.11883531,0.02382284,-0.09976201,0.43980461,-1.21214895,0.02315044,-0.02817371,0.00000000,-0.00000000,2.64894078,-3.24975022,0.75507154,-1.24415303,0.05333633,-0.19810490,2.27423775,-3.69844330
-5.87393697,4.57976269,-8.10522391,0.02401279,-0.09598799,0.42790262,-1.21162811,0.02339364,-0.02814441,0.00000000,-0.00000000,2.63317090,-3.26333124,0.75137961,-1.23600521,0.05137449,-0.20176815,2.28802271,-3.69605181
-5.86793397,4.56807528,-8.08327156,0.02420972,-0.09198259,0.41597042,-1.20980039,0.02357559,-0.02809179,0.00000000,-0.00000000,2.60975284,-3.28020057,0.74862933,-1.22515655,0.04956810,-0.20498099,2.29696871,-3.69030017
-5.86193097,4.54825200,-8.05233435,0.02438558,-0.08780670,0.40397749,-1.20651573,0.02368882,-0.02801782,0.00000000,-0.00000000,2.57872776,-3.29948034,0.74630997,-1.21172467,0.04790569,-0.20768210,2.30024115,-3.68091099
-5.85592796,4.51910692,-8.01197108,0.02451530,-0.08352457,0.39192973,-1.20164826,0.02372802,-0.02792540,0.00000000,-0.00000000,2.54035386,-3.32025313,0.74397494,-1.19587361,0.04637899,-0.20981727,2.29719316,-3.66769860
-5.84992496,4.47984198,-7.96193501,0.02457729,-0.07920223,0.37986602,-1.19509744,0.02369013,-0.02781825,0.00000000,-0.00000000,2.49508496,-3.34157644,0.74125009,-1.17780857,0.04498276,-0.21133990,2.28737341,-3.65056377
-5.84392196,4.43004451,-7.90216096,0.02455376,-0.07490595,0.36785384,-1.18678879,0.02357432,-0.02770074,0.00000000,-0.00000000,2.44354355,-3.36249743,0.73783971,-1.15777047,0.04371444,-0.21221139,2.27052812,-3.62948575
-5.83791896,4.36967401,-7.83274933,0.02443094,-0.07070079,0.35598402,-1.17667466,0.02338192,-0.02757765,0.00000000,-0.00000000,2.38648979,-3.38206799,0.73353038,-1.13603059,0.04257369,-0.21240142,2.24659749,-3.60451244
-5.83191596,4.29903971,-7.75394828,0.02419914,-0.06664921,0.34436517,-1.16473488,0.02311632,-0.02745399,0.00000000,-0.00000000,2.32478813,-3.39936015,0.72819252,-1.11288527,0.04156193,-0.21188826,2.21570727,-3.57574956
-5.82591296,4.21877047,-7.66613548,0.02385275,-0.06280991,0.33311798,-1.15097757,0.02278272,-0.02733471,0.00000000,-0.00000000,2.25937304,-3.41348162,0.72178014,-1.08865109,0.04068175,-0.21065889,2.17815586,-3.54334926
-5.81990995,4.12977866,-7.56980014,0.02339008,-0.05923669,0.32236976,-1.13543995,0.02238793,-0.02722445,0.00000000,-0.00000000,2.19121527,-3.42359131,0.71432849,-1.06366028,0.03993635,-0.20870922,2.13439778,-3.50749886
