energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.93511005,0.01487108,0.00000000,0.01300782,0.12962427,1.73469107,1.91572814,1.01434725,0.00000000
-5.99399700,2.79184215,0.01400311,0.00000000,0.01220259,0.12544249,1.63918106,1.82467565,0.96725383,0.00000000
-5.98799400,2.64901685,0.01314379,0.00000000,0.01139445,0.12120604,1.54573339,1.73342015,0.92032317,0.00000000
-5.98199100,2.50818990,0.01230537,0.00000000,0.01059840,0.11696497,1.45543285,1.64282722,0.87413896,0.00000000
-5.97598799,2.37086398,0.01149945,0.00000000,0.00982890,0.11277476,1.36928501,1.55373532,0.82926639,0.00000000
-5.96998499,2.23846047,0.01073672,0.00000000,0.00909955,0.10869515,1.28819868,1.46694132,0.78624069,0.00000000
-5.96398199,2.11229442,0.01002677,0.00000000,0.00842287,0.10478886,1.21297145,1.38318772,0.74555694,0.00000000
-5.95797899,1.99355284,0.00937786,0.00000000,0.00781009,0.10111989,1.14427837,1.30315181,0.70766117,0.00000000
-5.95197599,1.88327606,0.00879685,0.00000000,0.00727103,0.09775171,1.08266340,1.22743637,0.67294273,0.00000000
-5.94597299,1.78234226,0.00828901,0.00000000,0.00681393,0.09474519,1.02853352,1.15656197,0.64172796,0.00000000
-5.93996998,1.69145495,0.00785802,0.00000000,0.00644545,0.09215653,0.98215519,1.09096064,0.61427505,0.00000000
-5.93396698,1.61113316,0.00750590,0.00000000,0.00617059,0.09003513,0.94365290,1.03097085,0.59077005,0.00000000
-5.92796398,1.54170463,0.00723304,0.00000000,0.00599268,0.08842157,0.91300975,0.97683381,0.57132399,0.00000000
-5.92196098,1.48330187,0.00703824,0.00000000,0.00591338,0.08734576,0.89006993,0.92869109,0.55597124,0.00000000
-5.91595798,1.43586134,0.00691873,0.00000000,0.00593273,0.08682546,0.87454309,0.88658366,0.54466904,0.00000000
-5.90995498,1.39912608,0.00687034,0.00000000,0.00604914,0.08686509,0.86601079,0.85045263,0.53729836,0.00000000
-5.90395198,1.37265211,0.00688757,0.00000000,0.00625946,0.08745513,0.86393513,0.82014177,0.53366625,0.00000000
-5.89794897,1.35581893,0.00696373,0.00000000,0.00655900,0.08857191,0.86766965,0.79540217,0.53350982,0.00000000
-5.89194597,1.34784434,0.00709117,0.00000000,0.00694163,0.09017808,0.87647278,0.77589910,0.53650181,0.00000000
-5.88594297,1.34780384,0.00726142,0.00000000,0.00739981,0.09222361,0.88952386,0.76122125,0.54225815,0.00000000
-5.87993997,1.35465447,0.00746542,0.00000000,0.00792469,0.09464735,0.90594160,0.75089241,0.55034717,0.00000000
-5.87393697,1.36726291,0.00769377,0.00000000,0.00850626,0.09737911,0.92480489,0.74438539,0.56030059,0.00000000
-5.86793397,1.38443725,0.00793695,0.00000000,0.00913340,0.10034217,0.94517557,0.74113803,0.57162610,0.00000000
-5.86193097,1.40496166,0.00818556,0.00000000,0.00979415,0.10345612,0.96612260,0.74057081,0.58382108,0.00000000
-5.85592796,1.42763298,0.00843061,0.00000000,0.01047579,0.10663988,0.98674693,0.74210562,0.59638728,0.00000000
-5.84992496,1.45129773,0.00866369,0.00000000,0.01116518,0.10981483,1.00620622,0.74518489,0.60884575,0.00000000
-5.84392196,1.47488835,0.00887725,0.00000000,0.01184891,0.11290783,1.02373844,0.74929040,0.62075157,0.00000000
-5.83791896,1.49745697,0.00906476,0.00000000,0.01251362,0.11585392,1.03868335,0.75396095,0.63170776,0.00000000
-5.83191596,1.51820509,0.00922090,0.00000000,0.01314631,0.11859877,1.05050096,0.75880805,0.64137759,0.00000000
-5.82591296,1.53650797,0.00934163,0.00000000,0.01373460,0.12110048,1.05878582,0.76352881,0.64949492,0.00000000
-5.81990995,1.55193215,0.00942433,0.00000000,0.01426704,0.12333084,1.06327673,0.76791544,0.65587187,0.00000000
-5.81390695,1.56424541,0.00946778,0.00000000,0.01473340,0.12527585,1.06386096,0.77186079,0.66040347,0.00000000
-5.80790395,1.57341828,0.00947213,0.00000000,0.01512489,0.12693552,1.06057291,0.77535951,0.66306897,0.00000000
-5.80190095,1.57961713,0.00943883,0.00000000,0.01543443,0.12832292,1.05358716,0.77850485,0.66392975,0.00000000
-5.79589795,1.58318886,0.00937052,0.00000000,0.01565675,0.12946261,1.04320598,0.78148107,0.66312384,0.00000000
-5.78989495,1.58463799,0.00927082,0.00000000,0.01578856,0.13038837,1.02984211,0.78455176,0.66085729,0.00000000
-5.78389195,1.58459708,0.00914413,0.00000000,0.01582854,0.13114057,1.01399749,0.78804471,0.65739283,0.00000000
-5.77788894,1.58379205,0.00899545,0.00000000,0.01577737,0.13176307,0.99623888,0.79233400,0.65303632,0.00000000
-5.77188594,1.58300392,0.00883005,0.00000000,0.01563760,0.13230014,0.97717174,0.79781997,0.64812167,0.00000000
-5.76588294,1.58302899,0.00865329,0.00000000,0.01541356,0.13279322,0.95741339,0.80490841,0.64299494,0.00000000
-5.75987994,1.58463920,0.00847036,0.00000000,0.01511110,0.13327802,0.93756695,0.81398948,0.63799846,0.00000000
-5.75387694,1.58854472,0.00828607,0.00000000,0.01473739,0.13378193,0.91819707,0.82541766,0.63345565,0.00000000
-5.74787394,1.59536036,0.00810467,0.00000000,0.01430066,0.13432199,0.89980862,0.83949350,0.62965721,0.00000000
-5.74187094,1.60557738,0.00792968,0.00000000,0.01380985,0.13490342,0.88282917,0.85644788,0.62684946,0.00000000
-5.73586793,1.61954170,0.00776383,0.00000000,0.01327438,0.13551899,0.86759600,0.87642945,0.62522502,0.00000000
-5.72986493,1.63743951,0.00760898,0.00000000,0.01270381,0.13614903,0.85434790,0.89949575,0.62491650,0.00000000
-5.72386193,1.65929039,0.00746614,0.00000000,0.01210764,0.13676226,0.84322195,0.92560804,0.62599306,0.00000000
-5.71785893,1.68494812,0.00733549,0.00000000,0.01149501,0.13731726,0.83425520,0.95463013,0.62846005,0.00000000
-5.71185593,1.71410867,0.00721646,0.00000000,0.01087454,0.13776459,0.82739075,0.98633089,0.63226156,0.00000000
-5.70585293,1.74632460,0.00710790,0.00000000,0.01025418,0.13804939,0.82248772,1.02039021,0.63728545,0.00000000
-5.69984992,1.78102495,0.00700815,0.00000000,0.00964111,0.13811424,0.81933438,1.05640794,0.64337073,0.00000000
-5.69384692,1.81753928,0.00691528,0.00000000,0.00904166,0.13790232,0.81766359,1.09391535,0.65031657,0.00000000
-5.68784392,1.85512468,0.00682721,0.00000000,0.00846134,0.13736043,0.81716964,1.13238850,0.65789253,0.00000000
-5.68184092,1.89299434,0.00674190,0.00000000,0.00790482,0.13644195,0.81752572,1.17126280,0.66584953,0.00000000
-5.67583792,1.93034629,0.00665752,0.00000000,0.00737601,0.13510946,0.81840095,1.20994843,0.67393088,0.00000000
-5.66983492,1.96639130,0.00657259,0.00000000,0.00687814,0.13333686,0.81947657,1.24784578,0.68188304,0.00000000
-5.66383192,2.00037874,0.00648609,0.00000000,0.00641380,0.13111108,0.82046032,1.28436062,0.68946551,0.00000000
-5.65782891,2.03161955,0.00639757,0.00000000,0.00598510,0.12843308,0.82109878,1.31891852,0.69645967,0.00000000
-5.65182591,2.05950586,0.00630720,0.00000000,0.00559372,0.12531825,0.82118714,1.35097808,0.70267615,0.00000000
-5.64582291,2.08352653,0.00621579,0.00000000,0.00524099,0.12179620,0.82057632,1.38004293,0.70796063,0.00000000
-5.63981991,2.10327860,0.00612480,0.00000000,0.00492794,0.11790998,0.81917726,1.40567201,0.71219787,0.00000000
-5.63381691,2.11847447,0.00603628,0.00000000,0.00465539,0.11371468,0.81696246,1.42748822,0.71531400,0.00000000
-5.62781391,2.12894486,0.00595283,0.00000000,0.00442392,0.10927566,0.81396483,1.44518521,0.71727713,0.00000000
-5.62181091,2.13463780,0.00587746,0.00000000,0.00423390,0.10466637,0.81027415,1.45853229,0.71809617,0.00000000
-5.61580790,2.13561389,0.00581353,0.00000000,0.00408548,0.09996597,0.80603123,1.46737740,0.71781826,0.00000000
-5.60980490,2.13203810,0.00576456,0.00000000,0.00397851,0.09525671,0.80142022,1.47164808,0.71652474,0.00000000
-5.60380190,2.12416863,0.00573410,0.00000000,0.00391255,0.09062138,0.79665927,1.47135057,0.71432594,0.00000000
-5.59779890,2.11234318,0.00572562,0.00000000,0.00388682,0.08614072,0.79198987,1.46656693,0.71135501,0.00000000
-5.59179590,2.09696299,0.00574227,0.00000000,0.00390010,0.08189098,0.78766529,1.45745027,0.70776099,0.00000000
-5.58579290,2.07847538,0.00578680,0.00000000,0.00395069,0.07794170,0.78393843,1.44421822,0.70370134,0.00000000
-5.57978989,2.05735505,0.00586138,0.00000000,0.00403644,0.07435376,0.78104944,1.42714479,0.69933420,0.00000000
-5.57378689,2.03408490,0.00596750,0.00000000,0.00415460,0.07117770,0.77921358,1.40655077,0.69481070,0.00000000
-5.56778389,2.00913695,0.00610580,0.00000000,0.00430194,0.06845240,0.77860960,1.38279302,0.69026751,0.00000000
-5.56178089,1.98295388,0.00627606,0.00000000,0.00447466,0.06620416,0.77936923,1.35625290,0.68581995,0.00000000
-5.55577789,1.95593204,0.00647706,0.00000000,0.00466846,0.06444610,0.78156803,1.32732429,0.68155597,0.00000000
-5.54977489,1.92840656,0.00670662,0.00000000,0.00487861,0.06317798,0.78521815,1.29640166,0.67753120,0.00000000
-5.54377189,1.90063910,0.00696155,0.00000000,0.00509996,0.06238638,0.79026334,1.26386859,0.67376541,0.00000000
-5.53776888,1.87280907,0.00723772,0.00000000,0.00532713,0.06204530,0.79657651,1.23008734,0.67024052,0.00000000
-5.53176588,1.84500864,0.00753012,0.00000000,0.00555451,0.06211708,0.80396020,1.19538980,0.66690035,0.00000000
-5.52576288,1.81724209,0.00783298,0.00000000,0.00577649,0.06255366,0.81215007,1.16007031,0.66365224,0.00000000
-5.51975988,1.78942960,0.00813993,0.00000000,0.00598751,0.06329819,0.82082149,1.12438079,0.66037056,0.00000000
-5.51375688,1.76141563,0.00844415,0.00000000,0.00618225,0.06428687,0.82959919,1.08852818,0.65690203,0.00000000
-5.50775388,1.73298164,0.00873860,0.00000000,0.00635576,0.06545107,0.83806971,1.05267461,0.65307274,0.00000000
-5.50175088,1.70386283,0.00901626,0.00000000,0.00650357,0.06671957,0.84579630,1.01694003,0.64869672,0.00000000
-5.49574787,1.67376815,0.00927035,0.00000000,0.00662188,0.06802093,0.85233582,0.98140737,0.64358554,0.00000000
-5.48974487,1.64240296,0.00949460,0.00000000,0.00670758,0.06928596,0.85725693,0.94612978,0.63755885,0.00000000
-5.48374187,1.60949310,0.00968349,0.00000000,0.00675843,0.07045004,0.86015887,0.91113967,0.63045514,0.00000000
-5.47773887,1.57480956,0.00983248,0.00000000,0.00677308,0.07145540,0.86069002,0.87645893,0.62214247,0.00000000
-5.47173587,1.53819229,0.00993823,0.00000000,0.00675116,0.07225322,0.85856548,0.84210987,0.61252852,0.00000000
-5.46573287,1.49957214,0.00999879,0.00000000,0.00669324,0.07280537,0.85358271,0.80812617,0.60156954,0.00000000
-5.45972986,1.45898976,0.01001373,0.00000000,0.00660090,0.07308588,0.84563461,0.77456321,0.58927779,0.00000000
-5.45372686,1.41661040,0.00998422,0.00000000,0.00647665,0.07308200,0.83471921,0.74150722,0.57572698,0.00000000
-5.44772386,1.37273373,0.00991311,0.00000000,0.00632387,0.07279473,0.82094568,0.70908270,0.56105547,0.00000000
-5.44172086,1.32779818,0.00980487,0.00000000,0.00614677,0.07223899,0.80453596,0.67745762,0.54546695,0.00000000
-5.43571786,1.28237911,0.00966556,0.00000000,0.00595023,0.07144316,0.78582216,0.64684608,0.52922853,0.00000000
-5.42971486,1.23718099,0.00950268,0.00000000,0.00573976,0.07044825,0.76523947,0.61750824,0.51266612,0.00000000
-5.42371186,1.19302345,0.00932496,0.00000000,0.00552126,0.06930649,0.74331487,0.58974746,0.49615730,0.00000000
-5.41770885,1.15082165,0.00914218,0.00000000,0.00530096,0.06807958,0.72065208,0.56390457,0.48012184,0.00000000
-5.41170585,1.11156162,0.00896485,0.00000000,0.00508524,0.06683656,0.69791317,0.54034976,0.46501004,0.00000000
-5.40570285,1.07627138,0.00880391,0.00000000,0.00488045,0.06565131,0.67579754,0.51947209,0.45128946,0.00000000
-5.39969985,1.04598883,0.00867042,0.00000000,0.00469279,0.06459994,0.65501909,0.50166731,0.43943030,0.00000000
-5.39369685,1.02172750,0.00857516,0.00000000,0.00452814,0.06375800,0.63628236,0.48732436,0.42988999,0.00000000
-5.38769385,1.00444157,0.00852829,0.00000000,0.00439194,0.06319770,0.62025860,0.47681120,0.42309749,0.00000000
-5.38169085,0.99499130,0.00853902,0.00000000,0.00428904,0.06298514,0.60756256,0.47046059,0.41943790,0.00000000
-5.37568784,0.99411031,0.00861525,0.00000000,0.00422362,0.06317783,0.59873093,0.46855644,0.41923783,0.00000000
-5.36968484,1.00237598,0.00876328,0.00000000,0.00419907,0.06382233,0.59420325,0.47132144,0.42275216,0.00000000
-5.36368184,1.02018417,0.00898757,0.00000000,0.00421792,0.06495240,0.59430591,0.47890650,0.43015261,0.00000000
-5.35767884,1.04772947,0.00929048,0.00000000,0.00428185,0.06658738,0.59923997,0.49138263,0.44151876,0.00000000
