energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.67583792,2.52913675,0.02178900,0.65911479,0.00004839,0.00543499,0.17761082,1.77592602,0.34181299,0.00000000
-5.66983492,2.47410806,0.02141489,0.59978994,0.00004983,0.00476647,0.17615450,1.78029654,0.33958072,0.00000000
-5.66383192,2.43134694,0.02136676,0.54816893,0.00005481,0.00418226,0.17508187,1.78908022,0.33818984,0.00000000
-5.65782891,2.40009786,0.02166029,0.50425384,0.00006337,0.00367429,0.17430311,1.80155706,0.33749770,0.00000000
-5.65182591,2.37952270,0.02231960,0.46797066,0.00007568,0.00323490,0.17374102,1.81698430,0.33736987,0.00000000
-5.64582291,2.36874037,0.02337747,0.43919079,0.00009207,0.00285699,0.17333194,1.83461466,0.33768320,0.00000000
-5.63981991,2.36686339,0.02487529,0.41775189,0.00011295,0.00253401,0.17302614,1.85371257,0.33832816,0.00000000
-5.63381691,2.37303005,0.02686279,0.40347699,0.00013886,0.00226007,0.17278773,1.87356811,0.33921046,0.00000000
-5.62781391,2.38643129,0.02939736,0.39619105,0.00017042,0.00202995,0.17259405,1.89350858,0.34025193,0.00000000
-5.62181091,2.40633171,0.03254313,0.39573445,0.00020834,0.00183909,0.17243475,1.91290767,0.34139081,0.00000000
-5.61580790,2.43208454,0.03636964,0.40197294,0.00025339,0.00168364,0.17231050,1.93119237,0.34258137,0.00000000
-5.60980490,2.46314054,0.04095013,0.41480383,0.00030637,0.00156040,0.17223154,1.94784777,0.34379305,0.00000000
-5.60380190,2.49905117,0.04635948,0.43415843,0.00036811,0.00146682,0.17221605,1.96242011,0.34500919,0.00000000
-5.59779890,2.53946657,0.05267184,0.46000096,0.00043943,0.00140092,0.17228855,1.97451825,0.34622542,0.00000000
-5.59179590,2.58412898,0.05995785,0.49232410,0.00052116,0.00136129,0.17247834,1.98381394,0.34744785,0.00000000
-5.58579290,2.63286252,0.06828179,0.53114192,0.00061403,0.00134698,0.17281801,1.99004109,0.34869111,0.00000000
-5.57978989,2.68556014,0.07769837,0.57648050,0.00071873,0.00135751,0.17334219,1.99299438,0.34997639,0.00000000
-5.57378689,2.74216882,0.08824968,0.62836714,0.00083582,0.00139277,0.17408654,1.99252742,0.35132954,0.00000000
-5.56778389,2.80267391,0.09996206,0.68681869,0.00096572,0.00145297,0.17508691,1.98855066,0.35277928,0.00000000
-5.56178089,2.86708371,0.11284323,0.75182992,0.00110870,0.00153862,0.17637890,1.98102920,0.35435561,0.00000000
-5.55577789,2.93541498,0.12687982,0.82336247,0.00126484,0.00165045,0.17799752,1.96998072,0.35608849,0.00000000
-5.54977489,3.00768030,0.14203531,0.90133514,0.00143402,0.00178938,0.17997723,1.95547342,0.35800679,0.00000000
-5.54377189,3.08387769,0.15824861,0.98561592,0.00161592,0.00195649,0.18235202,1.93762421,0.36013751,0.00000000
-5.53776888,3.16398301,0.17543345,1.07601625,0.00180995,0.00215293,0.18515573,1.91659696,0.36250535,0.00000000
-5.53176588,3.24794501,0.19347846,1.17228771,0.00201536,0.00237996,0.18842235,1.89260078,0.36513254,0.00000000
-5.52576288,3.33568309,0.21224819,1.27412101,0.00223114,0.00263880,0.19218636,1.86588815,0.36803885,0.00000000
-5.51975988,3.42708719,0.23158501,1.38114730,0.00245609,0.00293069,0.19648286,1.83675274,0.37124184,0.00000000
-5.51375688,3.52201921,0.25131173,1.49294138,0.00268885,0.00325672,0.20134764,1.80552669,0.37475720,0.00000000
-5.50775388,3.62031507,0.27123511,1.60902616,0.00292788,0.00361786,0.20681687,1.77257704,0.37859905,0.00000000
-5.50175088,3.72178653,0.29114980,1.72887799,0.00317153,0.00401483,0.21292654,1.73830120,0.38278021,0.00000000
-5.49574787,3.82622174,0.31084290,1.85193192,0.00341804,0.00444804,0.21971147,1.70312114,0.38731224,0.00000000
-5.48974487,3.93338360,0.33009862,1.97758648,0.00366560,0.00491751,0.22720404,1.66747623,0.39220532,0.00000000
-5.48374187,4.04300536,0.34870307,2.10520712,0.00391235,0.00542276,0.23543239,1.63181470,0.39746771,0.00000000
-5.47773887,4.15478284,0.36644887,2.23412809,0.00415643,0.00596274,0.24441852,1.59658371,0.40310500,0.00000000
-5.47173587,4.26836339,0.38313939,2.36365242,0.00439600,0.00653574,0.25417594,1.56221829,0.40911893,0.00000000
-5.46573287,4.38333185,0.39859247,2.49305000,0.00462921,0.00713933,0.26470737,1.52912938,0.41550596,0.00000000
-5.45972986,4.49919431,0.41264349,2.62155417,0.00485431,0.00777025,0.27600231,1.49769149,0.42225563,0.00000000
-5.45372686,4.61536084,0.42514772,2.74835728,0.00506953,0.00842444,0.28803492,1.46823041,0.42934884,0.00000000
-5.44772386,4.73112881,0.43598188,2.87260605,0.00527319,0.00909698,0.30076212,1.44101155,0.43675609,0.00000000
-5.44172086,4.84566837,0.44504500,2.99339782,0.00546362,0.00978212,0.31412225,1.41622970,0.44443598,0.00000000
-5.43571786,4.95801223,0.45225855,3.10977870,0.00563921,0.01047335,0.32803436,1.39400054,0.45233400,0.00000000
-5.42971486,5.06705121,0.45756605,3.22074470,0.00579838,0.01116349,0.34239822,1.37435471,0.46038185,0.00000000
-5.42371186,5.17153736,0.46093226,3.32524701,0.00593957,0.01184478,0.35709518,1.35723474,0.46849734,0.00000000
-5.41770885,5.27009572,0.46234202,3.42220195,0.00606128,0.01250914,0.37198995,1.34249526,0.47658500,0.00000000
-5.41170585,5.36124533,0.46179907,3.51050626,0.00616205,0.01314826,0.38693309,1.32990648,0.48453745,0.00000000
-5.40570285,5.44342951,0.45932473,3.58905767,0.00624049,0.01375391,0.40176436,1.31916110,0.49223742,0.00000000
-5.39969985,5.51505480,0.45495684,3.65678051,0.00629531,0.01431814,0.41631660,1.30988426,0.49956056,0.00000000
-5.39369685,5.57453696,0.44874879,3.71265529,0.00632535,0.01483355,0.43042009,1.30164627,0.50637868,0.00000000
-5.38769385,5.62035239,0.44076874,3.75575134,0.00632964,0.01529351,0.44390715,1.29397743,0.51256340,0.00000000
-5.38169085,5.65109214,0.43109915,3.78526060,0.00630740,0.01569241,0.45661665,1.28638437,0.51799004,0.00000000
-5.37568784,5.66551587,0.41983630,3.80053099,0.00625813,0.01602585,0.46839836,1.27836718,0.52254143,0.00000000
-5.36968484,5.66260281,0.40709004,3.80109715,0.00618166,0.01629084,0.47911678,1.26943642,0.52611142,0.00000000
-5.36368184,5.64159676,0.39298336,3.78670688,0.00607815,0.01648585,0.48865437,1.25912944,0.52860810,0.00000000
-5.35767884,5.60204252,0.37765190,3.75734131,0.00594816,0.01661095,0.49691394,1.24702525,0.52995624,0.00000000
-5.35167584,5.54381177,0.36124317,3.71322756,0.00579266,0.01666780,0.50382026,1.23275730,0.53009913,0.00000000
-5.34567284,5.46711679,0.34391540,3.65484273,0.00561304,0.01665959,0.50932070,1.21602390,0.52899954,0.00000000
-5.33966983,5.37251138,0.32583603,3.58290878,0.00541114,0.01659101,0.51338511,1.19659588,0.52663995,0.00000000
-5.33366683,5.26087898,0.30717973,3.49837850,0.00518916,0.01646805,0.51600496,1.17432142,0.52302198,0.00000000
-5.32766383,5.13340890,0.28812601,3.40241286,0.00494971,0.01629791,0.51719187,1.14912812,0.51816522,0.00000000
-5.32166083,4.99156206,0.26885644,3.29635116,0.00469573,0.01608873,0.51697577,1.12102246,0.51210557,0.00000000
-5.31565783,4.83702845,0.24955160,3.18167530,0.00443041,0.01584944,0.51540288,1.09008697,0.50489321,0.00000000
-5.30965483,4.67167865,0.23038788,3.05997000,0.00415718,0.01558953,0.51253366,1.05647554,0.49659056,0.00000000
-5.30365183,4.49751216,0.21153417,2.93288102,0.00387961,0.01531881,0.50844092,1.02040729,0.48727015,0.00000000
-5.29764882,4.31660513,0.19314877,2.80207319,0.00360137,0.01504727,0.50320829,0.98215939,0.47701280,0.00000000
-5.29164582,4.13106002,0.17537647,2.66919028,0.00332613,0.01478483,0.49692899,0.94205946,0.46590609,0.00000000
-5.28564282,3.94295930,0.15834605,2.53581817,0.00305757,0.01454121,0.48970507,0.90047782,0.45404317,0.00000000
-5.27963982,3.75432480,0.14216831,2.40345265,0.00279928,0.01432581,0.48164701,0.85781997,0.44152209,0.00000000
-5.27363682,3.56708386,0.12693459,2.27347276,0.00255477,0.01414752,0.47287360,0.81451971,0.42844546,0.00000000
-5.26763382,3.38304291,0.11271603,2.14712008,0.00232745,0.01401467,0.46351206,0.77103300,0.41492042,0.00000000
-5.26163082,3.20386846,0.09956338,2.02548396,0.00212065,0.01393493,0.45369811,0.72783271,0.40105887,0.00000000
-5.25562781,3.03107496,0.08750748,1.90949263,0.00193763,0.01391518,0.44357596,0.68540438,0.38697779,0.00000000
-5.24962481,2.86601901,0.07656030,1.79990930,0.00178164,0.01396144,0.43329800,0.64424302,0.37279945,0.00000000
-5.24362181,2.70989863,0.06671644,1.69733271,0.00165596,0.01407882,0.42302408,0.60485077,0.35865155,0.00000000
-5.23761881,2.56375651,0.05795510,1.60220117,0.00156396,0.01427138,0.41292025,0.56773537,0.34466695,0.00000000
-5.23161581,2.42848613,0.05024232,1.51479921,0.00150921,0.01454209,0.40315703,0.53340933,0.33098317,0.00000000
-5.22561281,2.30483958,0.04353337,1.43526613,0.00149550,0.01489270,0.39390702,0.50238950,0.31774136,0.00000000
-5.21960980,2.19343628,0.03777531,1.36360558,0.00152692,0.01532373,0.38534215,0.47519686,0.30508495,0.00000000
-5.21360680,2.09477175,0.03290947,1.29969604,0.00160793,0.01583436,0.37763049,0.45235622,0.29315785,0.00000000
-5.20760380,2.00922612,0.02887393,1.24330155,0.00174336,0.01642248,0.37093287,0.43439557,0.28210239,0.00000000
-5.20160080,1.93707203,0.02560575,1.19408292,0.00193845,0.01708462,0.36539942,0.42184478,0.27205704,0.00000000
-5.19559780,1.87848182,0.02304310,1.15160922,0.00219878,0.01781613,0.36116627,0.41523318,0.26315396,0.00000000
-5.18959480,1.83353418,0.02112712,1.11536991,0.00253023,0.01861122,0.35835256,0.41508590,0.25551665,0.00000000
-5.18359180,1.80222021,0.01980361,1.08478777,0.00293890,0.01946321,0.35705781,0.42191854,0.24925768,0.00000000
-5.17758879,1.78444916,0.01902441,1.05923280,0.00343090,0.02036475,0.35735995,0.43622999,0.24447664,0.00000000
-5.17158579,1.78005399,0.01874871,1.03803735,0.00401222,0.02130820,0.35931389,0.45849313,0.24125840,0.00000000
-5.16558279,1.78879669,0.01894410,1.02051242,0.00468844,0.02228597,0.36295081,0.48914347,0.23967174,0.00000000
-5.15957979,1.81037355,0.01958759,1.00596516,0.00546451,0.02329102,0.36827804,0.52856571,0.23976842,0.00000000
-5.15357679,1.84442021,0.02066649,0.99371721,0.00634441,0.02431729,0.37527951,0.57707845,0.24158262,0.00000000
