energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.52552305,0.07181735,0.00000000,0.03198161,1.64052702,1.82053151,0.43098237
-5.99399700,2.47247753,0.07062998,0.00000000,0.03119869,1.60778679,1.78961857,0.42202928
-5.98799400,2.40959217,0.06914518,0.00000000,0.03032226,1.56853721,1.75102668,0.41143524
-5.98199100,2.33747969,0.06737846,0.00000000,0.02935682,1.52315335,1.70511161,0.39929337
-5.97598799,2.25690893,0.06535123,0.00000000,0.02830902,1.47211427,1.65233727,0.38572865
-5.96998499,2.16879459,0.06309052,0.00000000,0.02718756,1.41599719,1.59327193,0.37089609
-5.96398199,2.07418246,0.06062860,0.00000000,0.02600309,1.35546859,1.52858125,0.35497782
-5.95797899,1.97423033,0.05800230,0.00000000,0.02476799,1.29127218,1.45901804,0.33817936
-5.95197599,1.87018518,0.05525225,0.00000000,0.02349616,1.22421429,1.38540882,0.32072500
-5.94597299,1.76335706,0.05242191,0.00000000,0.02220266,1.15514683,1.30863759,0.30285259
-5.93996998,1.65509077,0.04955657,0.00000000,0.02090336,1.08494861,1.22962728,0.28480788
-5.93396698,1.54673607,0.04670222,0.00000000,0.01961458,1.01450556,1.14931955,0.26683861
-5.92796398,1.43961752,0.04390443,0.00000000,0.01835263,0.94469062,1.06865373,0.24918850
-5.92196098,1.33500515,0.04120721,0.00000000,0.01713344,0.87634400,0.98854570,0.23209153
-5.91595798,1.23408688,0.03865193,0.00000000,0.01597211,0.81025459,0.90986766,0.21576653
-5.90995498,1.13794362,0.03627638,0.00000000,0.01488257,0.74714314,0.83342942,0.20041230
-5.90395198,1.04752809,0.03411384,0.00000000,0.01387724,0.68764779,0.75996216,0.18620351
-5.89794897,0.96364781,0.03219241,0.00000000,0.01296673,0.63231243,0.69010509,0.17328737
-5.89194597,0.88695285,0.03053443,0.00000000,0.01215962,0.58157831,0.62439548,0.16178126
-5.88594297,0.81792870,0.02915612,0.00000000,0.01146231,0.53577891,0.56326245,0.15177125
-5.87993997,0.75689422,0.02806738,0.00000000,0.01087896,0.49513832,0.50702442,0.14331169
-5.87393697,0.70400467,0.02727184,0.00000000,0.01041141,0.45977295,0.45589032,0.13642569
-5.86793397,0.65925953,0.02676704,0.00000000,0.01005933,0.42969654,0.40996419,0.13110657
-5.86193097,0.62251464,0.02654484,0.00000000,0.00982028,0.40482785,0.36925285,0.12732006
-5.85592796,0.59349817,0.02659198,0.00000000,0.00968990,0.38500113,0.33367624,0.12500733
-5.84992496,0.57182971,0.02689079,0.00000000,0.00966218,0.36997841,0.30307967,0.12408858
-5.84392196,0.55704177,0.02742008,0.00000000,0.00972972,0.35946356,0.27724765,0.12446717
-5.83791896,0.54860287,0.02815607,0.00000000,0.00988403,0.35311723,0.25591845,0.12603401
-5.83191596,0.54594143,0.02907339,0.00000000,0.01011587,0.35057238,0.23879897,0.12867219
