energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,3.88246051,0.19239373,0.16925527,1.27501334,0.46679730,0.59914807,1.01109252,1.64146157,0.00000000
-5.99399700,3.94965004,0.19927826,0.17750864,1.31215053,0.47960458,0.61103030,1.01483196,1.65407129,0.00000000
-5.98799400,4.02427373,0.20599715,0.18567071,1.34979617,0.49264297,0.62346609,1.02244839,1.67108405,0.00000000
-5.98199100,4.10323538,0.21239567,0.19359485,1.38672259,0.50559899,0.63590332,1.03311381,1.69115096,0.00000000
-5.97598799,4.18341115,0.21833006,0.20113993,1.42174547,0.51815878,0.64781498,1.04596990,1.71289929,0.00000000
-5.96998499,4.26174179,0.22367276,0.20817359,1.45375745,0.53001819,0.65871504,1.06015324,1.73497351,0.00000000
-5.96398199,4.33531881,0.22831680,0.21457533,1.48175890,0.54089238,0.66817230,1.07481879,1.75607367,0.00000000
-5.95797899,4.40146184,0.23217941,0.22023920,1.50488434,0.55052455,0.67582168,1.08916076,1.77498979,0.00000000
-5.95197599,4.45778446,0.23520440,0.22507602,1.52242381,0.55869334,0.68137251,1.10243070,1.79063139,0.00000000
-5.94597299,4.50224651,0.23736338,0.22901509,1.53383822,0.56521860,0.68461357,1.11395218,1.80205124,0.00000000
-5.93996998,4.53319150,0.23865568,0.23200523,1.53876819,0.56996535,0.68541484,1.12313202,1.80846281,0.00000000
-5.93396698,4.54936852,0.23910695,0.23401516,1.53703612,0.57284569,0.68372588,1.12946805,1.80925130,0.00000000
-5.92796398,4.54993847,0.23876662,0.23503328,1.52864164,0.57381871,0.67957112,1.13255346,1.80397809,0.00000000
-5.92196098,4.53446572,0.23770422,0.23506673,1.51375074,0.57288849,0.67304242,1.13207800,1.79237918,0.00000000
-5.91595798,4.50289617,0.23600492,0.23413998,1.49267922,0.57010029,0.66428930,1.12782641,1.77435788,0.00000000
-5.90995498,4.45552408,0.23376436,0.23229281,1.46587155,0.56553521,0.65350755,1.11967445,1.74997283,0.00000000
-5.90395198,4.39294962,0.23108323,0.22957800,1.43387614,0.55930376,0.64092669,1.10758302,1.71942199,0.00000000
-5.89794897,4.31603015,0.22806178,0.22605874,1.39731830,0.55153864,0.62679706,1.09159079,1.68302384,0.00000000
-5.89194597,4.22582767,0.22479454,0.22180588,1.35687232,0.54238715,0.61137722,1.07180596,1.64119666,0.00000000
-5.88594297,4.12355533,0.22136571,0.21689522,1.31323394,0.53200375,0.59492217,1.04839730,1.59443703,0.00000000
-5.87993997,4.01052550,0.21784520,0.21140491,1.26709445,0.52054305,0.57767301,1.02158521,1.54329847,0.00000000
-5.87393697,3.88810148,0.21428575,0.20541304,1.21911755,0.50815367,0.55984844,0.99163274,1.48837113,0.00000000
-5.86793397,3.75765484,0.21072112,0.19899567,1.16991990,0.49497318,0.54163838,0.95883712,1.43026308,0.00000000
-5.86193097,3.62052946,0.20716547,0.19222515,1.12005582,0.48112443,0.52319989,0.92352174,1.36958392,0.00000000
-5.85592796,3.47801331,0.20361395,0.18516887,1.07000686,0.46671319,0.50465547,0.88602879,1.30693083,0.00000000
-5.84992496,3.33131800,0.20004437,0.17788854,1.02017593,0.45182735,0.48609342,0.84671263,1.24287749,0.00000000
-5.84392196,3.18156616,0.19641981,0.17043984,0.97088618,0.43653744,0.46757035,0.80593377,1.17796563,0.00000000
-5.83791896,3.02978575,0.19269210,0.16287245,0.92238400,0.42089831,0.44911524,0.76405354,1.11269924,0.00000000
-5.83191596,2.87691059,0.18880575,0.15523048,0.87484562,0.40495189,0.43073474,0.72142936,1.04754111,0.00000000
-5.82591296,2.72378578,0.18470226,0.14755318,0.82838662,0.38873060,0.41241933,0.67841048,0.98291145,0.00000000
-5.81990995,2.57117678,0.18032446,0.13987574,0.78307339,0.37226119,0.39414978,0.63533432,0.91918810,0.00000000
-5.81390695,2.41978071,0.17562060,0.13223039,0.73893584,0.35556877,0.37590360,0.59252316,0.85670808,0.00000000
-5.80790395,2.27023868,0.17054806,0.12464737,0.69598037,0.33868057,0.35766096,0.55028130,0.79576997,0.00000000
-5.80190095,2.12314796,0.16507640,0.11715599,0.65420245,0.32162939,0.33940982,0.50889266,0.73663688,0.00000000
-5.79589795,1.97907302,0.15918969,0.10978555,0.61359814,0.30445631,0.32115003,0.46861874,0.67953964,0.00000000
-5.78989495,1.83855493,0.15288796,0.10256617,0.57417396,0.28721277,0.30289623,0.42969715,0.62468009,0.00000000
-5.78389195,1.70211835,0.14618774,0.09552948,0.53595499,0.26996169,0.28467944,0.39234053,0.57223411,0.00000000
-5.77788894,1.57027634,0.13912178,0.08870907,0.49899072,0.25277772,0.26654736,0.35673600,0.52235455,0.00000000
-5.77188594,1.44353276,0.13173796,0.08214083,0.46335889,0.23574674,0.24856360,0.32304524,0.47517375,0.00000000
-5.76588294,1.32238255,0.12409747,0.07586319,0.42916729,0.21896454,0.23080576,0.29140497,0.43080586,0.00000000
-5.75987994,1.20731042,0.11627252,0.06991709,0.39655375,0.20253495,0.21336276,0.26192806,0.38934893,0.00000000
-5.75387694,1.09878826,0.10834357,0.06434602,0.36568464,0.18656743,0.19633166,0.23470512,0.35088666,0.00000000
-5.74787394,0.99727182,0.10039643,0.05919577,0.33675214,0.17117456,0.17981399,0.20980654,0.31549021,0.00000000
-5.74187094,0.90319717,0.09251924,0.05451431,0.30997073,0.15646923,0.16391210,0.18728480,0.28321972,0.00000000
-5.73586793,0.81697717,0.08479961,0.05035152,0.28557302,0.14256203,0.14872562,0.16717717,0.25412586,0.00000000
-5.72986493,0.73899840,0.07732192,0.04675885,0.26380534,0.12955880,0.13434819,0.14950837,0.22825125,0.00000000
-5.72386193,0.66961846,0.07016505,0.04378903,0.24492312,0.11755842,0.12086464,0.13429335,0.20563179,0.00000000
-5.71785893,0.60916379,0.06340044,0.04149558,0.22918625,0.10665100,0.10834879,0.12153976,0.18629775,0.00000000
-5.71185593,0.55792772,0.05709064,0.03993232,0.21685437,0.09691649,0.09686175,0.11125017,0.17027466,0.00000000
-5.70585293,0.51616852,0.05128832,0.03915270,0.20818208,0.08842354,0.08645091,0.10342377,0.15758371,0.00000000
-5.69984992,0.48410708,0.04603571,0.03920897,0.20341388,0.08122884,0.07714943,0.09805744,0.14824168,0.00000000
-5.69384692,0.46192380,0.04136444,0.04015111,0.20277883,0.07537659,0.06897631,0.09514618,0.14226034,0.00000000
-5.68784392,0.44975432,0.03729575,0.04202557,0.20648459,0.07089823,0.06193682,0.09468263,0.13964494,0.00000000
-5.68184092,0.44768386,0.03384091,0.04487371,0.21471088,0.06781230,0.05602326,0.09665587,0.14039213,0.00000000
-5.67583792,0.45573984,0.03100195,0.04873001,0.22760230,0.06612425,0.05121597,0.10104939,0.14448698,0.00000000
-5.66983492,0.47388289,0.02877240,0.05362001,0.24526034,0.06582630,0.04748443,0.10783833,0.15189935,0.00000000
-5.66383192,0.50199641,0.02713819,0.05955807,0.26773493,0.06689720,0.04478842,0.11698615,0.16257956,0.00000000
-5.65782891,0.53987503,0.02607854,0.06654506,0.29501561,0.06930189,0.04307910,0.12844087,0.17645379,0.00000000
-5.65182591,0.58721265,0.02556681,0.07456592,0.32702275,0.07299118,0.04230008,0.14213119,0.19341921,0.00000000
-5.64582291,0.64359085,0.02557135,0.08358739,0.36359917,0.07790133,0.04238836,0.15796271,0.21333932,0.00000000
-5.63981991,0.70846863,0.02605626,0.09355602,0.40450287,0.08395379,0.04327523,0.17581456,0.23603985,0.00000000
-5.63381691,0.78117465,0.02698215,0.10439643,0.44940128,0.09105501,0.04488701,0.19553684,0.26130556,0.00000000
-5.62781391,0.86090299,0.02830682,0.11601026,0.49786778,0.09909663,0.04714591,0.21694910,0.28887838,0.00000000
-5.62181091,0.94671359,0.02998599,0.12827571,0.54938106,0.10795597,0.04997077,0.23984021,0.31845722,0.00000000
-5.61580790,1.03753819,0.03197401,0.14104794,0.60332785,0.11749703,0.05327794,0.26396992,0.34969987,0.00000000
-5.60980490,1.13219268,0.03422465,0.15416037,0.65900935,0.12757211,0.05698231,0.28907216,0.38222709,0.00000000
-5.60380190,1.22939609,0.03669190,0.16742698,0.71565171,0.13802394,0.06099843,0.31486030,0.41562912,0.00000000
-5.59779890,1.32779627,0.03933090,0.18064551,0.77242048,0.14868855,0.06524185,0.34103431,0.44947456,0.00000000
-5.59179590,1.42600203,0.04209891,0.19360173,0.82843899,0.15939866,0.06963065,0.36728964,0.48332144,0.00000000
-5.58579290,1.52262067,0.04495632,0.20607446,0.88280993,0.16998766,0.07408709,0.39332767,0.51673027,0.00000000
-5.57978989,1.61629981,0.04786771,0.21784129,0.93463982,0.18029391,0.07853941,0.41886726,0.54927850,0.00000000
