energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.94762969,0.05057156,0.00160545,0.02158998,1.32843568,0.63972343,0.64722692
-5.99399700,1.86524740,0.04923562,0.00150451,0.02124278,1.27502637,0.62801506,0.62923848
-5.98799400,1.78897137,0.04808148,0.00140331,0.02096541,1.22621112,0.61937186,0.61484758
-5.98199100,1.71927107,0.04712362,0.00130311,0.02076006,1.18223532,0.61382683,0.60390511
-5.97598799,1.65658908,0.04637502,0.00120513,0.02062707,1.14333109,0.61140959,0.59625683
-5.96998499,1.60132013,0.04584688,0.00111048,0.02056485,1.10970384,0.61214441,0.59173982
-5.96398199,1.55379765,0.04554860,0.00102017,0.02056981,1.08152417,0.61605118,0.59018137
-5.95797899,1.51428878,0.04548801,0.00093509,0.02063656,1.05892561,0.62314984,0.59140091
-5.95197599,1.48299832,0.04567173,0.00085598,0.02075802,1.04200852,0.63346788,0.59521491
-5.94597299,1.46008084,0.04610582,0.00078345,0.02092582,1.03084979,0.64705074,0.60144481
-5.93996998,1.44566011,0.04679647,0.00071796,0.02113071,1.02551742,0.66397436,0.60992736
-5.93396698,1.43985385,0.04775083,0.00065986,0.02136297,1.02608889,0.68435888,0.62052688
-5.92796398,1.44280167,0.04897783,0.00060938,0.02161304,1.03267154,0.70838247,0.63314852
-5.92196098,1.45469364,0.05048886,0.00056663,0.02187195,1.04542324,0.73629386,0.64775145
-5.91595798,1.47579666,0.05229836,0.00053167,0.02213193,1.06457133,0.76842237,0.66436098
-5.90995498,1.50647603,0.05442410,0.00050448,0.02238679,1.09042781,0.80518400,0.68307848
-5.90395198,1.54720971,0.05688719,0.00048499,0.02263238,1.12339912,0.84708243,0.70408804
-5.89794897,1.59859304,0.05971165,0.00047311,0.02286683,1.16398875,0.89470395,0.72765894
-5.89194597,1.66133243,0.06292369,0.00046871,0.02309070,1.21279164,0.94870557,0.75414330
-5.88594297,1.73622696,0.06655047,0.00047166,0.02330703,1.27047956,1.00979590,0.78396831
-5.87993997,1.82413782,0.07061859,0.00048183,0.02352121,1.33777727,1.07870902,0.81762298
-5.87393697,1.92594599,0.07515217,0.00049906,0.02374072,1.41542989,1.15617160,0.85563944
-5.86793397,2.04249960,0.08017073,0.00052319,0.02397476,1.50416239,1.24286448,0.89856932
-5.86193097,2.17455315,0.08568693,0.00055403,0.02423375,1.60463273,1.33937989,0.94695599
-5.85592796,2.32270128,0.09170433,0.00059136,0.02452881,1.71738064,1.44617625,1.00130370
-5.84992496,2.48731040,0.09821518,0.00063492,0.02487108,1.84277457,1.56353259,1.06204492
-5.84392196,2.66845202,0.10519864,0.00068440,0.02527111,1.98095945,1.69150495,1.12950745
-5.83791896,2.86584150,0.11261931,0.00073943,0.02573828,2.13180822,1.82988731,1.20388293
-5.83191596,3.07878624,0.12042635,0.00079954,0.02628016,2.29488005,1.97817929,1.28519832
-5.82591296,3.30614671,0.12855328,0.00086420,0.02690204,2.46938800,2.13556319,1.37329208
-5.81990995,3.54631365,0.13691852,0.00093277,0.02760653,2.65417857,2.30089205,1.46779643
-5.81390695,3.79720379,0.14542664,0.00100454,0.02839328,2.84772515,2.47269052,1.56812700
-5.80790395,4.05627572,0.15397052,0.00107870,0.02925882,3.04813671,2.64916936,1.67348081
-5.80190095,4.32056652,0.16243411,0.00115437,0.03019658,3.25318240,2.82825404,1.78284305
-5.79589795,4.58674878,0.17069587,0.00123060,0.03119698,3.46033194,3.00762694,1.89500299
-5.78989495,4.85120650,0.17863273,0.00130637,0.03224770,3.66681095,3.18478229,2.00857867
-5.78389195,5.11012721,0.18612429,0.00138067,0.03333408,3.86966931,3.35709177,2.12204965
-5.77788894,5.35960707,0.19305723,0.00145245,0.03443953,4.06586030,3.52187866,2.23379669
-5.77188594,5.59576441,0.19932951,0.00152068,0.03554614,4.25232734,3.67649742,2.34214696
-5.76588294,5.81485713,0.20485432,0.00158437,0.03663522,4.42609470,3.81841545,2.44542283
-5.75987994,6.01339875,0.20956344,0.00164261,0.03768790,4.58435847,3.94529347,2.54199237
-5.75387694,6.18826792,0.21340988,0.00169456,0.03868575,4.72457381,4.05506108,2.63031938
-5.74787394,6.33680653,0.21636962,0.00173951,0.03961135,4.84453453,4.14598398,2.70901074
-5.74187094,6.45690208,0.21844236,0.00177687,0.04044875,4.94244173,4.21672001,2.77685925
-5.73586793,6.54705056,0.21965119,0.00180620,0.04118395,5.01695832,4.26636145,2.83287990
-5.72986493,6.60639745,0.22004121,0.00182720,0.04180523,5.06724734,4.29446195,2.87633836
-5.72386193,6.63475513,0.21967720,0.00183975,0.04230336,5.09299250,4.30104689,2.90677041
-5.71785893,6.63259654,0.21864035,0.00184389,0.04267178,5.09440046,4.28660731,2.92399167
-5.71185593,6.60102598,0.21702431,0.00183979,0.04290662,5.07218524,4.25207783,2.92809767
-5.70585293,6.54172916,0.21493081,0.00182779,0.04300665,5.02753594,4.19880028,2.91945443
-5.69984992,6.45690553,0.21246489,0.00180836,0.04297313,4.96206989,4.12847498,2.89868032
