energy_ev,total_up,Bi_p_up,Bi_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.77136504,0.26121518,0.00283891,0.29744792,0.11003520,0.31292267,0.00000000
-5.99399700,0.80498205,0.27612685,0.00297071,0.31156621,0.11561465,0.32335704,0.00000000
-5.98799400,0.83758917,0.29029648,0.00309708,0.32514265,0.12097676,0.33375255,0.00000000
-5.98199100,0.86828258,0.30339528,0.00321479,0.33784785,0.12598633,0.34376732,0.00000000
-5.97598799,0.89620607,0.31511364,0.00332075,0.34936891,0.13051618,0.35307587,0.00000000
-5.96998499,0.92057643,0.32516959,0.00341213,0.35941943,0.13445073,0.36137961,0.00000000
-5.96398199,0.94070712,0.33331664,0.00348643,0.36774881,0.13768927,0.36841653,0.00000000
-5.95797899,0.95602901,0.33935079,0.00354155,0.37415047,0.14014888,0.37396970,0.00000000
-5.95197599,0.96610735,0.34311635,0.00357587,0.37846865,0.14176682,0.37787405,0.00000000
-5.94597299,0.97065419,0.34451026,0.00358830,0.38060334,0.14250220,0.38002126,0.00000000
-5.93996998,0.96953558,0.34348478,0.00357831,0.38051322,0.14233705,0.38036246,0.00000000
-5.93396698,0.96277320,0.34004829,0.00354594,0.37821635,0.14127648,0.37890852,0.00000000
-5.92796398,0.95054042,0.33426430,0.00349179,0.37378868,0.13934818,0.37572813,0.00000000
-5.92196098,0.93315279,0.32624862,0.00341697,0.36736032,0.13660100,0.37094343,0.00000000
-5.91595798,0.91105356,0.31616484,0.00332311,0.35910985,0.13310293,0.36472371,0.00000000
-5.90995498,0.88479486,0.30421830,0.00321221,0.34925688,0.12893843,0.35727732,0.00000000
-5.90395198,0.85501541,0.29064897,0.00308664,0.33805324,0.12420525,0.34884214,0.00000000
-5.89794897,0.82241596,0.27572333,0.00294899,0.32577325,0.11901094,0.33967524,0.00000000
-5.89194597,0.78773344,0.25972594,0.00280203,0.31270351,0.11346919,0.33004213,0.00000000
-5.88594297,0.75171519,0.24295071,0.00264858,0.29913262,0.10769613,0.32020604,0.00000000
-5.87993997,0.71509429,0.22569257,0.00249142,0.28534149,0.10180684,0.31041793,0.00000000
-5.87393697,0.67856712,0.20823964,0.00233325,0.27159441,0.09591209,0.30090755,0.00000000
-5.86793397,0.64277413,0.19086633,0.00217654,0.25813149,0.09011560,0.29187598,0.00000000
-5.86193097,0.60828429,0.17382742,0.00202354,0.24516256,0.08451174,0.28348997,0.00000000
-5.85592796,0.57558394,0.15735350,0.00187622,0.23286289,0.07918387,0.27587823,0.00000000
-5.84992496,0.54507014,0.14164761,0.00173619,0.22137063,0.07420330,0.26912992,0.00000000
-5.84392196,0.51704847,0.12688320,0.00160476,0.21078624,0.06962881,0.26329507,0.00000000
-5.83791896,0.49173508,0.11320340,0.00148287,0.20117346,0.06550678,0.25838701,0.00000000
-5.83191596,0.46926240,0.10072129,0.00137115,0.19256203,0.06187182,0.25438652,0.00000000
-5.82591296,0.44968803,0.08952111,0.00126993,0.18495150,0.05874776,0.25124722,0.00000000
-5.81990995,0.43300585,0.07966034,0.00117925,0.17831618,0.05614895,0.24890212,0.00000000
-5.81390695,0.41915859,0.07117205,0.00109894,0.17261062,0.05408178,0.24727066,0.00000000
-5.80790395,0.40805101,0.06406779,0.00102863,0.16777544,0.05254617,0.24626582,0.00000000
-5.80190095,0.39956277,0.05834039,0.00096782,0.16374307,0.05153710,0.24580105,0.00000000
-5.79589795,0.39356030,0.05396673,0.00091590,0.16044310,0.05104586,0.24579647,0.00000000
-5.78989495,0.38990702,0.05091025,0.00087220,0.15780707,0.05106120,0.24618401,0.00000000
-5.78389195,0.38847142,0.04912314,0.00083603,0.15577228,0.05157007,0.24691135,0.00000000
-5.77788894,0.38913265,0.04854803,0.00080669,0.15428469,0.05255809,0.24794440,0.00000000
-5.77188594,0.39178365,0.04911935,0.00078351,0.15330069,0.05400971,0.24926829,0.00000000
-5.76588294,0.39633174,0.05076415,0.00076587,0.15278775,0.05590805,0.25088688,0.00000000
-5.75987994,0.40269695,0.05340269,0.00075318,0.15272416,0.05823444,0.25282097,0.00000000
-5.75387694,0.41080855,0.05694865,0.00074493,0.15309768,0.06096791,0.25510534,0.00000000
-5.74787394,0.42060025,0.06130923,0.00074062,0.15390364,0.06408446,0.25778497,0.00000000
-5.74187094,0.43200468,0.06638525,0.00073985,0.15514235,0.06755642,0.26091078,0.00000000
-5.73586793,0.44494770,0.07207126,0.00074220,0.15681633,0.07135187,0.26453511,0.00000000
-5.72986493,0.45934334,0.07825591,0.00074734,0.15892738,0.07543431,0.26870750,0.00000000
-5.72386193,0.47508978,0.08482266,0.00075491,0.16147390,0.07976255,0.27347090,0.00000000
-5.71785893,0.49206688,0.09165081,0.00076462,0.16444845,0.08429101,0.27885875,0.00000000
-5.71185593,0.51013573,0.09861700,0.00077615,0.16783594,0.08897037,0.28489303,0.00000000
-5.70585293,0.52914018,0.10559719,0.00078924,0.17161243,0.09374859,0.29158353,0.00000000
-5.69984992,0.54891070,0.11246900,0.00080360,0.17574463,0.09857240,0.29892826,0.00000000
-5.69384692,0.56927006,0.11911442,0.00081901,0.18019019,0.10338898,0.30691511,0.00000000
-5.68784392,0.59004080,0.12542281,0.00083526,0.18489865,0.10814804,0.31552444,0.00000000
-5.68184092,0.61105388,0.13129396,0.00085217,0.18981306,0.11280389,0.32473250,0.00000000
-5.67583792,0.63215795,0.13664113,0.00086964,0.19487206,0.11731761,0.33451541,0.00000000
-5.66983492,0.65322855,0.14139395,0.00088760,0.20001237,0.12165910,0.34485319,0.00000000
-5.66383192,0.67417659,0.14550088,0.00090607,0.20517143,0.12580884,0.35573366,0.00000000
-5.65782891,0.69495526,0.14893114,0.00092513,0.21029003,0.12975922,0.36715570,0.00000000
-5.65182591,0.71556488,0.15167605,0.00094497,0.21531474,0.13351538,0.37913164,0.00000000
-5.64582291,0.73605510,0.15374945,0.00096580,0.22020009,0.13709546,0.39168832,0.00000000
-5.63981991,0.75652390,0.15518740,0.00098796,0.22491017,0.14053008,0.40486681,0.00000000
-5.63381691,0.77711346,0.15604685,0.00101179,0.22941972,0.14386112,0.41872045,0.00000000
-5.62781391,0.79800263,0.15640353,0.00103770,0.23371457,0.14713987,0.43331133,0.00000000
