energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,4.65512544,1.28538566,0.04441843,1.52851368,3.20366544,0.00513278,0.12663453
-5.99399700,4.67404270,1.27496173,0.04445677,1.54137518,3.23361400,0.00512771,0.12482234
-5.98799400,4.67641628,1.25867882,0.04429974,1.55060676,3.25357141,0.00510199,0.12259590
-5.98199100,4.66304978,1.23695299,0.04395721,1.55636394,3.26387510,0.00505543,0.12001518
-5.97598799,4.63504022,1.21029658,0.04344264,1.55886850,3.26504403,0.00498833,0.11714605
-5.96998499,4.59373222,1.17929942,0.04277256,1.55839684,3.25775387,0.00490150,0.11405774
-5.96398199,4.54066531,1.14460829,0.04196596,1.55526693,3.24280777,0.00479619,0.11082045
-5.95797899,4.47751710,1.10690552,0.04104370,1.54982433,3.22110415,0.00467402,0.10750301
-5.95197599,4.40604502,1.06688753,0.04002778,1.54242813,3.19360331,0.00453696,0.10417068
-5.94597299,4.32802922,1.02524435,0.03894067,1.53343747,3.16129425,0.00438721,0.10088339
-5.93996998,4.24521911,0.98264069,0.03780463,1.52319919,3.12516339,0.00422717,0.09769422
-5.93396698,4.15928555,0.93969942,0.03664111,1.51203721,3.08616636,0.00405932,0.09464832
-5.92796398,4.07178050,0.89698784,0.03547018,1.50024391,3.04520384,0.00388615,0.09178231
-5.92196098,3.98410509,0.85500723,0.03431011,1.48807388,3.00310218,0.00371015,0.08912405
-5.91595798,3.89748688,0.81418572,0.03317701,1.47573995,2.96059918,0.00353369,0.08669285
-5.90995498,3.81296634,0.77487464,0.03208458,1.46341168,2.91833499,0.00335897,0.08450012
-5.90395198,3.73139218,0.73734807,0.03104396,1.45121594,2.87684807,0.00318803,0.08255024
-5.89794897,3.65342482,0.70180549,0.03006371,1.43923950,2.83657554,0.00302269,0.08084177
-5.89194597,3.57954678,0.66837694,0.02914987,1.42753310,2.79785748,0.00286451,0.07936881
-5.88594297,3.51007872,0.63713026,0.02830604,1.41611689,2.76094428,0.00271482,0.07812241
-5.87993997,3.44519968,0.60808000,0.02753365,1.40498655,2.72600635,0.00257469,0.07709208
-5.87393697,3.38496986,0.58119713,0.02683213,1.39411986,2.69314521,0.00244494,0.07626708
-5.86793397,3.32935466,0.55641925,0.02619924,1.38348337,2.66240536,0.00232616,0.07563768
-5.86193097,3.27824831,0.53366061,0.02563134,1.37303860,2.63378608,0.00221870,0.07519612
-5.85592796,3.23149622,0.51282140,0.02512366,1.36274776,2.60725262,0.00212271,0.07493731
-5.84992496,3.18891464,0.49379605,0.02467066,1.35257846,2.58274620,0.00203817,0.07485920
-5.84392196,3.15030716,0.47648003,0.02426622,1.34250740,2.56019253,0.00196488,0.07496286
-5.83791896,3.11547734,0.46077505,0.02390396,1.33252286,2.53950849,0.00190251,0.07525215
-5.83191596,3.08423713,0.44659251,0.02357741,1.32262586,2.52060689,0.00185059,0.07573315
-5.82591296,3.05641123,0.43385516,0.02328019,1.31283005,2.50339914,0.00180861,0.07641331
-5.81990995,3.03183732,0.42249718,0.02300622,1.30316041,2.48779604,0.00177594,0.07730032
-5.81390695,3.01036277,0.41246270,0.02274974,1.29365083,2.47370671,0.00175196,0.07840093
-5.80790395,2.99183841,0.40370327,0.02250546,1.28434083,2.46103602,0.00173599,0.07971969
-5.80190095,2.97611000,0.39617440,0.02226855,1.27527164,2.44968074,0.00172738,0.08125769
-5.79589795,2.96300850,0.38983175,0.02203470,1.26648190,2.43952502,0.00172548,0.08301145
-5.78989495,2.95234005,0.38462724,0.02180009,1.25800344,2.43043541,0.00172968,0.08497211
-5.78389195,2.94387661,0.38050546,0.02156137,1.24985739,2.42225626,0.00173943,0.08712479
-5.77788894,2.93734841,0.37740096,0.02131560,1.24205099,2.41480571,0.00175423,0.08944845
-5.77188594,2.93243910,0.37523631,0.02106026,1.23457554,2.40787314,0.00177364,0.09191611
-5.76588294,2.92878428,0.37392165,0.02079315,1.22740564,2.40121829,0.00179728,0.09449552
-5.75987994,2.92597407,0.37335542,0.02051238,1.22050001,2.39457255,0.00182487,0.09715031
-5.75387694,2.92356001,0.37342661,0.02021634,1.21380410,2.38764269,0.00185616,0.09984154
-5.74787394,2.92106629,0.37401831,0.01990369,1.20725427,2.38011713,0.00189096,0.10252957
-5.74187094,2.91800509,0.37501242,0.01957335,1.20078371,2.37167467,0.00192914,0.10517629
-5.73586793,2.91389528,0.37629534,0.01922455,1.19432963,2.36199536,0.00197058,0.10774747
-5.72986493,2.90828372,0.37776412,0.01885679,1.18784149,2.35077315,0.00201521,0.11021511
-5.72386193,2.90076798,0.37933294,0.01846999,1.18128973,2.33772963,0.00206293,0.11255981
-5.71785893,2.89101901,0.38093930,0.01806445,1.17467453,2.32262811,0.00211365,0.11477283
-5.71185593,2.87880256,0.38254953,0.01764095,1.16803385,2.30528710,0.00216725,0.11685774
-5.70585293,2.86399765,0.38416335,0.01720082,1.16145026,2.28559247,0.00222357,0.11883173
-5.69984992,2.84661090,0.38581698,0.01674593,1.15505591,2.26350712,0.00228239,0.12072616
-5.69384692,2.82678544,0.38758454,0.01627874,1.14903507,2.23907775,0.00234342,0.12258654
-5.68784392,2.80480342,0.38957763,0.01580230,1.14362383,2.21243765,0.00240629,0.12447175
-5.68184092,2.78108170,0.39194292,0.01532021,1.13910675,2.18380550,0.00247057,0.12645253
-5.67583792,2.75616030,0.39485770,0.01483657,1.13581017,2.15347963,0.00253571,0.12860928
-5.66983492,2.73068397,0.39852365,0.01435588,1.13409240,2.12182808,0.00260110,0.13102920
-5.66383192,2.70537728,0.40315885,0.01388291,1.13433086,2.08927451,0.00266604,0.13380289
-5.65782891,2.68101450,0.40898853,0.01342259,1.13690676,2.05628080,0.00272973,0.13702051
-5.65182591,2.65838519,0.41623468,0.01297977,1.14218771,2.02332693,0.00279134,0.14076775
-5.64582291,2.63825739,0.42510521,0.01255912,1.15050912,1.99088926,0.00284996,0.14512156
-5.63981991,2.62133987,0.43578289,0.01216487,1.16215514,1.95941812,0.00290466,0.15014610
-5.63381691,2.60824538,0.44841469,0.01180067,1.17733997,1.92931603,0.00295448,0.15588881
-5.62781391,2.59945658,0.46310187,0.01146941,1.19619049,1.90091750,0.00299849,0.16237706
-5.62181091,2.59529634,0.47989132,0.01117307,1.21873109,1.87447152,0.00303576,0.16961524
-5.61580790,2.59590382,0.49876850,0.01091261,1.24487142,1.85012771,0.00306545,0.17758263
-5.60980490,2.60121758,0.51965233,0.01068793,1.27439783,1.82792671,0.00308678,0.18623215
-5.60380190,2.61096660,0.54239223,0.01049777,1.30696904,1.80779536,0.00309907,0.19548989
-5.59779890,2.62466958,0.56676754,0.01033981,1.34211640,1.78954712,0.00310179,0.20525570
-5.59179590,2.64164297,0.59248938,0.01021068,1.37924898,1.77288740,0.00309454,0.21540465
-5.58579290,2.66101718,0.61920496,0.01010609,1.41766355,1.75742397,0.00307710,0.22578948
-5.57978989,2.68176072,0.64650420,0.01002100,1.45655907,1.74268168,0.00304944,0.23624381
-5.57378689,2.70271116,0.67392857,0.00994977,1.49505561,1.72812109,0.00301172,0.24658620
-5.56778389,2.72261190,0.70098190,0.00988640,1.53221682,1.71316007,0.00296429,0.25662472
-5.56178089,2.74015326,0.72714277,0.00982473,1.56707541,1.69719747,0.00290775,0.26616211
-5.55577789,2.75401641,0.75187810,0.00975872,1.59866075,1.67963788,0.00284288,0.27500115
-5.54977489,2.76291841,0.77465768,0.00968264,1.62602745,1.65991641,0.00277069,0.28295019
