energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.71511967,0.41258134,0.38171821,0.31026236,0.66867392,0.00488439,0.11418669,0.02708202,0.31863361
-5.99399700,1.62580444,0.40230948,0.36032382,0.30235510,0.62732271,0.00427573,0.11148568,0.02546264,0.30431654
-5.98799400,1.53869195,0.39023468,0.34126971,0.29290537,0.58704440,0.00372615,0.10821444,0.02386423,0.29032856
-5.98199100,1.45426669,0.37660807,0.32458002,0.28208097,0.54800814,0.00323354,0.10444011,0.02229171,0.27677644
-5.97598799,1.37304325,0.36172448,0.31026008,0.27007998,0.51039122,0.00279515,0.10024108,0.02075033,0.26377584
-5.96998499,1.29556547,0.34591491,0.29830212,0.25712488,0.47437885,0.00240769,0.09570479,0.01924569,0.25145086
-5.96398199,1.22240212,0.32953791,0.28869048,0.24345613,0.44016274,0.00206754,0.09092525,0.01778372,0.23993303
-5.95797899,1.15413955,0.31297028,0.28140617,0.22932523,0.40793838,0.00177092,0.08600041,0.01637065,0.22935961
-5.95197599,1.09137170,0.29659740,0.27643056,0.21498764,0.37790129,0.00151398,0.08102949,0.01501284,0.21987133
-5.94597299,1.03468832,0.28080358,0.27374844,0.20069591,0.35024254,0.00129293,0.07611043,0.01371661,0.21160977
-5.93996998,0.98466191,0.26596260,0.27335018,0.18669309,0.32514376,0.00110416,0.07133737,0.01248810,0.20471436
-5.93396698,0.94183419,0.25242893,0.27523325,0.17320690,0.30277194,0.00094424,0.06679853,0.01133298,0.19931934
-5.92796398,0.90670272,0.24052966,0.27940294,0.16044464,0.28327428,0.00081004,0.06257422,0.01025639,0.19555055
-5.92196098,0.87970823,0.23055744,0.28587243,0.14858899,0.26677343,0.00069871,0.05873533,0.00926264,0.19352232
-5.91595798,0.86122314,0.22276454,0.29466230,0.13779491,0.25336323,0.00060772,0.05534209,0.00835519,0.19333457
-5.90995498,0.85154171,0.21735810,0.30579935,0.12818753,0.24310512,0.00053487,0.05244324,0.00753649,0.19507012
-5.90395198,0.85087205,0.21449673,0.31931503,0.11986106,0.23602551,0.00047828,0.05007562,0.00680793,0.19879230
-5.89794897,0.85933023,0.21428834,0.33524337,0.11287874,0.23211403,0.00043639,0.04826402,0.00616984,0.20454304
-5.89194597,0.87693672,0.21678931,0.35361855,0.10727358,0.23132285,0.00040794,0.04702143,0.00562156,0.21234135
-5.88594297,0.90361519,0.22200500,0.37447224,0.10305006,0.23356705,0.00039197,0.04634961,0.00516145,0.22218238
-5.87993997,0.93919372,0.22989153,0.39783077,0.10018635,0.23872607,0.00038781,0.04623985,0.00478704,0.23403700
-5.87393697,0.98340851,0.24035879,0.42371231,0.09863719,0.24664615,0.00039507,0.04667402,0.00449516,0.24785209
-5.86793397,1.03591003,0.25327466,0.45212408,0.09833724,0.25714389,0.00041365,0.04762576,0.00428210,0.26355140
-5.86193097,1.09627148,0.26847033,0.48305983,0.09920463,0.27001062,0.00044372,0.04906188,0.00414378,0.28103719
-5.85592796,1.16399936,0.28574666,0.51649755,0.10114484,0.28501762,0.00048571,0.05094378,0.00407593,0.30019245
-5.84992496,1.23854606,0.30488134,0.55239768,0.10405458,0.30192204,0.00054038,0.05322900,0.00407426,0.32088386
-5.84392196,1.31932374,0.32563679,0.59070161,0.10782567,0.32047320,0.00060873,0.05587277,0.00413467,0.34296517
-5.83791896,1.40571937,0.34776841,0.63133078,0.11234875,0.34041932,0.00069208,0.05882951,0.00425336,0.36628115
-5.83191596,1.49710997,0.37103303,0.67418607,0.11751679,0.36151405,0.00079203,0.06205425,0.00442698,0.39067175
-5.82591296,1.59287760,0.39519723,0.71914765,0.12322817,0.38352292,0.00091045,0.06550395,0.00465277,0.41597636
-5.81990995,1.69242311,0.42004499,0.76607503,0.12938940,0.40622908,0.00104950,0.06913863,0.00492860,0.44203794
-5.81390695,1.79517794,0.44538460,0.81480731,0.13591718,0.42943821,0.00121159,0.07292227,0.00525302,0.46870676
