energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,0.70460145,0.06365020,0.00746976,0.15244901,0.14556943,0.02126047,0.32900246
-5.99399700,0.74260817,0.06327072,0.00829991,0.16094887,0.14970454,0.02256125,0.35290438
-5.98799400,0.78517297,0.06295921,0.00924812,0.17059235,0.15420324,0.02402586,0.37949068
-5.98199100,0.83170024,0.06272547,0.01030982,0.18130110,0.15900368,0.02562699,0.40838674
-5.97598799,0.88150385,0.06257245,0.01147819,0.19297138,0.16402819,0.02733436,0.43917412
-5.96998499,0.93381682,0.06249607,0.01274400,0.20547432,0.16918435,0.02911528,0.47139677
-5.96398199,0.98780414,0.06248554,0.01409557,0.21865701,0.17436693,0.03093537,0.50456852
-5.95797899,1.04257865,0.06252400,0.01551875,0.23234446,0.17946058,0.03275925,0.53818176
-5.95197599,1.09721940,0.06258938,0.01699705,0.24634244,0.18434325,0.03455134,0.57171706
-5.94597299,1.15079211,0.06265554,0.01851181,0.26044117,0.18889007,0.03627666,0.60465349
-5.93996998,1.20237077,0.06269362,0.02004256,0.27441973,0.19297756,0.03790161,0.63647932
-5.93396698,1.25105983,0.06267343,0.02156741,0.28805111,0.19648790,0.03939475,0.66670270
-5.92796398,1.29601603,0.06256489,0.02306357,0.30110768,0.19931323,0.04072747,0.69486206
-5.92196098,1.33646908,0.06233940,0.02450796,0.31336702,0.20135949,0.04187470,0.72053578
-5.91595798,1.37174035,0.06197110,0.02587791,0.32461778,0.20254984,0.04281533,0.74335086
-5.90995498,1.40125899,0.06143796,0.02715188,0.33466543,0.20282740,0.04353271,0.76299026
-5.90395198,1.42457483,0.06072260,0.02831018,0.34333769,0.20215722,0.04401484,0.77919874
-5.89794897,1.44136770,0.05981291,0.02933575,0.35048940,0.20052736,0.04425455,0.79178703
-5.89194597,1.45145285,0.05870237,0.03021479,0.35600670,0.19794913,0.04424944,0.80063422
-5.88594297,1.45478249,0.05739014,0.03093738,0.35981033,0.19445639,0.04400177,0.80568840
-5.87993997,1.45144345,0.05588085,0.03149796,0.36185786,0.19010411,0.04351813,0.80696556
-5.87393697,1.44165119,0.05418420,0.03189565,0.36214490,0.18496615,0.04280909,0.80454692
-5.86793397,1.42574053,0.05231439,0.03213444,0.36070511,0.17913252,0.04188871,0.79857482
-5.86193097,1.40415350,0.05028942,0.03222311,0.35760902,0.17270607,0.04077400,0.78924733
-5.85592796,1.37742483,0.04813027,0.03217507,0.35296176,0.16579909,0.03948433,0.77681185
-5.84992496,1.34616557,0.04586006,0.03200792,0.34689966,0.15852957,0.03804085,0.76155786
-5.84392196,1.31104537,0.04350320,0.03174286,0.33958596,0.15101762,0.03646588,0.74380908
-5.83791896,1.27277400,0.04108462,0.03140390,0.33120566,0.14338205,0.03478238,0.72391515
-5.83191596,1.23208252,0.03862904,0.03101702,0.32195971,0.13573709,0.03301340,0.70224311
-5.82591296,1.18970465,0.03616031,0.03060912,0.31205878,0.12818964,0.03118160,0.67916882
-5.81990995,1.14635864,0.03370093,0.03020698,0.30171681,0.12083681,0.02930890,0.65506842
-5.81390695,1.10273025,0.03127161,0.02983618,0.29114448,0.11376405,0.02741608,0.63031009
-5.80790395,1.05945694,0.02889101,0.02952007,0.28054297,0.10704363,0.02552259,0.60524617
-5.80190095,1.01711388,0.02657552,0.02927879,0.27009808,0.10073375,0.02364627,0.58020591
-5.79589795,0.97620185,0.02433921,0.02912841,0.25997504,0.09487797,0.02180327,0.55548880
-5.78989495,0.93713757,0.02219380,0.02908027,0.25031407,0.08950522,0.02000794,0.53135892
-5.78389195,0.90024643,0.02014871,0.02914045,0.24122696,0.08463013,0.01827282,0.50804022
-5.77788894,0.86575821,0.01821120,0.02930953,0.23279476,0.08025369,0.01660866,0.48571306
-5.77188594,0.83380550,0.01638649,0.02958247,0.22506655,0.07636431,0.01502444,0.46451202
-5.76588294,0.80442539,0.01467793,0.02994886,0.21805948,0.07293908,0.01352754,0.44452512
-5.75987994,0.77756402,0.01308717,0.03039327,0.21176002,0.06994527,0.01212375,0.42579461
-5.75387694,0.75308415,0.01161439,0.03089591,0.20612624,0.06734200,0.01081752,0.40831919
-5.74787394,0.73077551,0.01025839,0.03143341,0.20109122,0.06508199,0.00961207,0.39205766
-5.74187094,0.71036748,0.00901687,0.03197978,0.19656724,0.06311350,0.00850963,0.37693406
-5.73586793,0.69154383,0.00788650,0.03250750,0.19245074,0.06138215,0.00751158,0.36284380
-5.72986493,0.67395892,0.00686317,0.03298859,0.18862766,0.05983284,0.00661875,0.34966090
-5.72386193,0.65725471,0.00594205,0.03339583,0.18497909,0.05841155,0.00583163,0.33724583
-5.71785893,0.64107804,0.00511780,0.03370383,0.18138691,0.05706699,0.00515060,0.32545367
-5.71185593,0.62509734,0.00438469,0.03389007,0.17773913,0.05575216,0.00457621,0.31414239
-5.70585293,0.60901827,0.00373671,0.03393578,0.17393490,0.05442568,0.00410944,0.30318065
-5.69984992,0.59259746,0.00316772,0.03382675,0.16988872,0.05305287,0.00375188,0.29245506
-5.69384692,0.57565403,0.00267153,0.03355383,0.16553399,0.05160653,0.00350605,0.28187642
-5.68784392,0.55807825,0.00224206,0.03311330,0.16082551,0.05006756,0.00337549,0.27138479
-5.68184092,0.53983719,0.00187343,0.03250699,0.15574112,0.04842510,0.00336501,0.26095307
-5.67583792,0.52097709,0.00156004,0.03174222,0.15028218,0.04667660,0.00348071,0.25058924
-5.66983492,0.50162251,0.00129668,0.03083145,0.14447324,0.04482739,0.00373009,0.24033685
-5.66383192,0.48197234,0.00107863,0.02979183,0.13836063,0.04289018,0.00412198,0.23027411
-5.65782891,0.46229295,0.00090172,0.02864457,0.13201044,0.04088427,0.00466644,0.22051147
-5.65182591,0.44290890,0.00076243,0.02741412,0.12550570,0.03883456,0.00537455,0.21118800
-5.64582291,0.42419159,0.00065794,0.02612733,0.11894313,0.03677051,0.00625808,0.20246656
