energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.04906351,0.00286412,0.55718022,0.28369251,0.01539686,0.77496252,0.71323176,0.53443291
-5.99399700,2.02542011,0.00265257,0.57086518,0.27286894,0.01399397,0.74382545,0.70831236,0.54380236
-5.98799400,2.00275576,0.00244935,0.58503209,0.26176004,0.01271702,0.71269848,0.70345252,0.55348763
-5.98199100,1.98149609,0.00225543,0.59957372,0.25060455,0.01157298,0.68201306,0.69881264,0.56345959
-5.97598799,1.96204652,0.00207164,0.61436109,0.23965710,0.01056782,0.65221382,0.69454894,0.57367471
-5.96998499,1.94478438,0.00189876,0.62924625,0.22918165,0.00970666,0.62374938,0.69080954,0.58407561
-5.96398199,1.93005167,0.00173744,0.64406582,0.21944451,0.00899407,0.59706256,0.68773058,0.59459247
-5.95797899,1.91814850,0.00158827,0.65864543,0.21070711,0.00843419,0.57258019,0.68543259,0.60514471
-5.95197599,1.90932713,0.00145178,0.67280450,0.20321869,0.00803094,0.55070279,0.68401712,0.61564332
-5.94597299,1.90378664,0.00132840,0.68636134,0.19720923,0.00778801,0.53179440,0.68356365,0.62599321
-5.93996998,1.90166801,0.00121849,0.69913820,0.19288253,0.00770895,0.51617288,0.68412679,0.63609575
-5.93396698,1.90304960,0.00112234,0.71096591,0.19040993,0.00779704,0.50410077,0.68573390,0.64585101
-5.92796398,1.90794277,0.00104012,0.72168796,0.18992461,0.00805517,0.49577719,0.68838296,0.65515975
-5.92196098,1.91628763,0.00097194,0.73116372,0.19151667,0.00848567,0.49133080,0.69204087,0.66392488
-5.91595798,1.92794899,0.00091775,0.73927066,0.19522921,0.00909000,0.49081409,0.69664207,0.67205237
-5.90995498,1.94271252,0.00087742,0.74590551,0.20105542,0.00986845,0.49419925,0.70208778,0.67945151
-5.90395198,1.96028149,0.00085066,0.75098428,0.20893687,0.01081980,0.50137570,0.70824566,0.68603460
-5.89794897,1.98027434,0.00083705,0.75444142,0.21876306,0.01194093,0.51214947,0.71495032,0.69171614
-5.89194597,2.00222368,0.00083605,0.75622806,0.23037231,0.01322646,0.52624463,0.72200460,0.69641178
-5.88594297,2.02557727,0.00084696,0.75630975,0.24355406,0.01466842,0.54330676,0.72918198,0.70003703
-5.87993997,2.04970140,0.00086893,0.75466397,0.25805259,0.01625590,0.56290863,0.73623002,0.70250621
-5.87393697,2.07388748,0.00090099,0.75127756,0.27357210,0.01797489,0.58455806,0.74287529,0.70373170
-5.86793397,2.09736206,0.00094204,0.74614459,0.28978313,0.01980808,0.60770796,0.74882947,0.70362379
-5.86193097,2.11930069,0.00099085,0.73926476,0.30633024,0.02173484,0.63176834,0.75379690,0.70209130
-5.85592796,2.13884569,0.00104613,0.73064259,0.32284066,0.02373137,0.65612026,0.75748343,0.69904306
-5.84992496,2.15512759,0.00110647,0.72028759,0.33893385,0.02577087,0.68013124,0.75960621,0.69439040
-5.84392196,2.16728990,0.00117046,0.70821528,0.35423152,0.02782397,0.70317189,0.75990443,0.68805041
-5.83791896,2.17451641,0.00123666,0.69444918,0.36836799,0.02985927,0.72463329,0.75815036,0.67995005
-5.83191596,2.17606002,0.00130365,0.67902354,0.38100042,0.03184397,0.74394448,0.75416043,0.67003079
-5.82591296,2.17127203,0.00137009,0.66198647,0.39181850,0.03374468,0.76058966,0.74780580,0.65825354
-5.81990995,2.15963057,0.00143475,0.64340350,0.40055348,0.03552830,0.77412428,0.73902186,0.64460357
-5.81390695,2.14076666,0.00149653,0.62336087,0.40698585,0.03716297,0.78418967,0.72781624,0.62909507
-5.80790395,2.11448673,0.00155456,0.60196855,0.41095172,0.03861902,0.79052530,0.71427479,0.61177503
-5.80190095,2.08079026,0.00160819,0.57936249,0.41234733,0.03986999,0.79297853,0.69856519,0.59272615
-5.79589795,2.03988145,0.00165703,0.55570589,0.41113171,0.04089346,0.79151107,0.68093778,0.57206851
-5.78989495,1.99217426,0.00170104,0.53118937,0.40732733,0.04167193,0.78620209,0.66172360,0.54995986
-5.78389195,1.93829017,0.00174047,0.50602977,0.40101868,0.04219347,0.77724763,0.64132937,0.52659437
-5.77788894,1.87904854,0.00177595,0.48046761,0.39234887,0.04245224,0.76495633,0.62022967,0.50219993
