energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.16575422,0.68301519,0.87251212,0.00392828,0.81632796,2.87868194,1.26923904,0.02578183,0.81611503
-5.99399700,4.11638912,0.67479885,0.87456793,0.00394743,0.79839081,2.83744833,1.24462658,0.02591398,0.81242747
-5.98799400,4.05409080,0.66403013,0.87429204,0.00394815,0.77778761,2.78637139,1.21590704,0.02603862,0.80608976
-5.98199100,3.98019718,0.65090730,0.87187458,0.00393108,0.75488329,2.72615624,1.18364223,0.02615729,0.79728213
-5.97598799,3.89613851,0.63565674,0.86752476,0.00389715,0.73005888,2.65759180,1.14842072,0.02627015,0.78621109
-5.96998499,3.80340828,0.61852788,0.86146697,0.00384752,0.70370336,2.58153690,1.11084550,0.02637594,0.77310514
-5.96398199,3.70353878,0.59978828,0.85393783,0.00378352,0.67620653,2.49890795,1.07152338,0.02647213,0.75821102
-5.95797899,3.59808199,0.57971915,0.84518444,0.00370662,0.64795319,2.41066831,1.03105626,0.02655513,0.74179058
-5.95197599,3.48859582,0.55861126,0.83546372,0.00361837,0.61931865,2.31781920,0.99003449,0.02662056,0.72411834
-5.94597299,3.37663530,0.53676147,0.82504278,0.00352037,0.59066555,2.22139212,0.94903203,0.02666365,0.70547962
-5.93996998,3.26374789,0.51446959,0.81420008,0.00341423,0.56234180,2.12244206,0.90860341,0.02667963,0.68616915
-5.93396698,3.15147183,0.49203581,0.80322699,0.00330158,0.53467948,2.02204123,0.86928207,0.02666420,0.66648997
-5.92796398,3.04133604,0.46975849,0.79242956,0.00318398,0.50799445,1.92127266,0.83157953,0.02661391,0.64675251
-5.92196098,2.93486028,0.44793213,0.78212994,0.00306296,0.48258625,1.82122315,0.79598517,0.02652663,0.62727346
-5.91595798,2.83355394,0.42684565,0.77266716,0.00294002,0.45873816,1.72297518,0.76296593,0.02640185,0.60837445
-5.90995498,2.73891233,0.40678061,0.76439683,0.00281660,0.43671701,1.62759744,0.73296563,0.02624094,0.59038020
-5.90395198,2.65240942,0.38800949,0.75768958,0.00269413,0.41677248,1.53613390,0.70640354,0.02604736,0.57361601
-5.89794897,2.57548623,0.37079393,0.75292781,0.00257401,0.39913595,1.44959139,0.68367188,0.02582666,0.55840471
-5.89194597,2.50953473,0.35538278,0.75050089,0.00245763,0.38401841,1.36892588,0.66513218,0.02558644,0.54506279
-5.88594297,2.45587724,0.34201012,0.75079862,0.00234640,0.37160785,1.29502791,0.65111045,0.02533615,0.53389592
-5.87993997,2.41574202,0.33089322,0.75420316,0.00224172,0.36206585,1.22870766,0.64189131,0.02508679,0.52519403
-5.87393697,2.39023575,0.32223037,0.76107972,0.00214504,0.35552367,1.17068006,0.63771133,0.02485049,0.51922594
-5.86793397,2.38031443,0.31619887,0.77176620,0.00205783,0.35207809,1.12155091,0.63875183,0.02464007,0.51623395
-5.86193097,2.38675390,0.31295305,0.78656246,0.00198158,0.35178714,1.08180440,0.64513174,0.02446843,0.51642851
-5.85592796,2.41012179,0.31262248,0.80571955,0.00191778,0.35466609,1.05179268,0.65690086,0.02434808,0.51998328
-5.84992496,2.45075250,0.31531044,0.82942941,0.00186791,0.36068405,1.03172821,0.67403401,0.02429051,0.52703080
-5.84392196,2.50872670,0.32109268,0.85781576,0.00183343,0.36976132,1.02167906,0.69642670,0.02430569,0.53765900
-5.83791896,2.58385684,0.33001644,0.89092647,0.00181571,0.38176802,1.02156765,0.72389254,0.02440161,0.55190869
-5.83191596,2.67567975,0.34209989,0.92872790,0.00181604,0.39652398,1.03117307,0.75616289,0.02458387,0.56977225
-5.82591296,2.78345697,0.35733178,0.97110155,0.00183553,0.41380020,1.05013680,0.79288892,0.02485542,0.59119342
-5.81990995,2.90618329,0.37567137,1.01784320,0.00187513,0.43332188,1.07797193,0.83364618,0.02521638,0.61606826
-5.81390695,3.04260330,0.39704859,1.06866461,0.00193553,0.45477311,1.11407528,0.87794170,0.02566401,0.64424726
-5.80790395,3.19123539,0.42136426,1.12319769,0.00201715,0.47780306,1.15774222,0.92522338,0.02619276,0.67553832
-5.80190095,3.35040225,0.44849039,1.18100089,0.00212008,0.50203347,1.20818342,0.97489136,0.02679449,0.70971048
-5.79589795,3.51826665,0.47827047,1.24156767,0.00224401,0.52706726,1.26454298,1.02631101,0.02745871,0.74649825
-5.78989495,3.69287070,0.51051967,1.30433635,0.00238827,0.55249786,1.32591721,1.07882696,0.02817299,0.78560609
-5.78389195,3.87217703,0.54502493,1.36870114,0.00255173,0.57791896,1.39137330,1.13177747,0.02892339,0.82671301
-5.77788894,4.05410993,0.58154501,1.43402355,0.00273281,0.60293415,1.45996728,1.18450878,0.02969489,0.86947692
-5.77188594,4.23659475,0.61981041,1.49964395,0.00292950,0.62716621,1.53076043,1.23638848,0.03047192,0.91353861
-5.76588294,4.41759388,0.65952338,1.56489263,0.00313933,0.65026547,1.60283385,1.28681762,0.03123879,0.95852510
-5.75987994,4.59513811,0.70035799,1.62909995,0.00335939,0.67191710,1.67530048,1.33524090,0.03198014,1.00405247
-5.75387694,4.76735222,0.74196058,1.69160541,0.00358641,0.69184683,1.74731453,1.38115467,0.03268133,1.04972794
-5.74787394,4.93247445,0.78395055,1.75176536,0.00381677,0.70982509,1.81807806,1.42411238,0.03332875,1.09515140
-5.74187094,5.08886961,0.82592183,1.80895931,0.00404659,0.72566936,1.88684480,1.46372763,0.03391008,1.13991647
-5.73586793,5.23503623,0.86744513,1.86259485,0.00427180,0.73924477,1.95292155,1.49967466,0.03441446,1.18361123
-5.72986493,5.36960852,0.90807114,1.91211153,0.00448824,0.75046297,2.01566736,1.53168666,0.03483261,1.22581891
-5.72386193,5.49135427,0.94733479,1.95698374,0.00469175,0.75927964,2.07449118,1.55955229,0.03515684,1.26611873
-5.71785893,5.59917003,0.98476072,1.99672308,0.00487828,0.76569067,2.12884856,1.58311079,0.03538106,1.30408731
-5.71185593,5.69207508,1.01986983,2.03088048,0.00504402,0.76972753,2.17823803,1.60224633,0.03550070,1.33930065
-5.70585293,5.76920582,1.05218711,2.05904854,0.00518548,0.77145216,2.22219789,1.61688211,0.03551262,1.37133715
-5.69984992,5.82981186,1.08125031,2.08086425,0.00529960,0.77095165,2.26030405,1.62697483,0.03541502,1.39978176
-5.69384692,5.87325522,1.10661964,2.09601253,0.00538383,0.76833317,2.29216947,1.63251005,0.03520729,1.42423124
-5.68784392,5.89901342,1.12788786,2.10423047,0.00543624,0.76371955,2.31744561,1.63349881,0.03488997,1.44430077
-5.68184092,5.90668697,1.14469075,2.10531262,0.00545552,0.75724551,2.33582603,1.62997591,0.03446457,1.45963163
-5.67583792,5.89601133,1.15671738,2.09911697,0.00544106,0.74905500,2.34705242,1.62199993,0.03393359,1.46989988
-5.66983492,5.86687294,1.16371994,2.08557155,0.00539296,0.73929959,2.35092256,1.60965495,0.03330044,1.47482571
-5.66383192,5.81932833,1.16552260,2.06468127,0.00531201,0.72813788,2.34730008,1.59305399,0.03256939,1.47418313
-5.65782891,5.75362518,1.16202899,2.03653458,0.00519965,0.71573599,2.33612532,1.57234362,0.03174559,1.46780956
-5.65182591,5.67022362,1.15322806,2.00130954,0.00505795,0.70226869,2.31742653,1.54770951,0.03083510,1.45561482
-5.64582291,5.56981597,1.13919781,1.95927866,0.00488951,0.68792122,2.29133069,1.51938217,0.02984481,1.43758905
-5.63981991,5.45334308,1.12010676,1.91081209,0.00469739,0.67289122,2.25807285,1.48764253,0.02878254,1.41380908
-5.63381691,5.32200533,1.09621289,1.85637867,0.00448500,0.65739058,2.21800334,1.45282653,0.02765691,1.38444272
-5.62781391,5.17726663,1.06786004,1.79654443,0.00425601,0.64164692,2.17159175,1.41532817,0.02647743,1.34975071
-5.62181091,5.02085002,1.03547172,1.73196826,0.00401423,0.62590422,2.11942721,1.37560065,0.02525430,1.31008588
-5.61580790,4.85472387,0.99954247,1.66339461,0.00376352,0.61042255,2.06221432,1.33415487,0.02399840,1.26588954
-5.60980490,4.68107821,0.96062704,1.59164313,0.00350767,0.59547643,2.00076452,1.29155534,0.02272114,1.21768485
-5.60380190,4.50229107,0.91932757,1.51759547,0.00325032,0.58135202,1.93598283,1.24841310,0.02143424,1.16606739
-5.59779890,4.32088552,0.87627934,1.44217943,0.00299487,0.56834276,1.86885011,1.20537581,0.02014961,1.11169317
-5.59179590,4.13947843,0.83213540,1.36635099,0.00274442,0.55674388,1.80040154,1.16311517,0.01887910,1.05526439
-5.58579290,3.96072245,0.78755061,1.29107454,0.00250172,0.54684553,1.73170177,1.12231211,0.01763423,0.99751336
-5.57978989,3.78724329,0.74316575,1.21730221,0.00226912,0.53892514,1.66381785,1.08364014,0.01642603,0.93918533
-5.57378689,3.62157440,0.69959198,1.14595272,0.00204856,0.53323908,1.59779099,1.04774755,0.01526473,0.88102067
-5.56778389,3.46609168,0.65739640,1.07789061,0.00184157,0.53001399,1.53460810,1.01523926,0.01415956,0.82373710
-5.56178089,3.32295059,0.61708907,1.01390649,0.00164925,0.52943832,1.47517459,0.98665886,0.01311858,0.76801271
-5.55577789,3.19402807,0.57911184,0.95469900,0.00147233,0.53165430,1.42028931,0.96247180,0.01214845,0.71447025
-5.54977489,3.08087179,0.54382955,0.90085911,0.00131114,0.53675084,1.37062279,0.94305044,0.01125433,0.66366325
-5.54377189,2.98465838,0.51152354,0.85285713,0.00116570,0.54475771,1.32669958,0.92866144,0.01043978,0.61606457
-5.53776888,2.90616248,0.48238791,0.81103313,0.00103575,0.55564131,1.28888551,0.91945632,0.00970671,0.57205750
-5.53176588,2.84573779,0.45652845,0.77559070,0.00092074,0.56930223,1.25738013,0.91546537,0.00905539,0.53192981
-5.52576288,2.80331061,0.43396423,0.74659460,0.00081997,0.58557485,1.23221474,0.91659542,0.00848446,0.49587087
-5.51975988,2.77838634,0.41463173,0.72397199,0.00073252,0.60422907,1.21325588,0.92263135,0.00799107,0.46397160
-5.51375688,2.77006841,0.39839126,0.70751748,0.00065742,0.62497404,1.20021402,0.93324158,0.00757100,0.43622742
-5.50775388,2.77708901,0.38503551,0.69690156,0.00059356,0.64746395,1.19265707,0.94798712,0.00721880,0.41254375
-5.50175088,2.79785036,0.37429966,0.69168227,0.00053984,0.67130563,1.19002792,0.96633393,0.00692804,0.39274387
-5.49574787,2.83047502,0.36587285,0.69131971,0.00049511,0.69606765,1.19166544,0.98766813,0.00669148,0.37657868
-5.48974487,2.87286333,0.35941048,0.69519284,0.00045828,0.72129076,1.19682775,1.01131348,0.00650135,0.36373800
-5.48374187,2.92275597,0.35454688,0.70261812,0.00042826,0.74649915,1.20471721,1.03655045,0.00634959,0.35386295
-5.47773887,2.97779941,0.35090802,0.71286942,0.00040406,0.77121211,1.21450576,1.06263622,0.00622807,0.34655892
-5.47173587,3.03561207,0.34812371,0.72519854,0.00038472,0.79495594,1.22536010,1.08882481,0.00612884,0.34140879
-5.46573287,3.09384902,0.34583892,0.73885578,0.00036939,0.81727529,1.23646557,1.11438672,0.00604434,0.33798583
-5.45972986,3.15026305,0.34372398,0.75310986,0.00035730,0.83774398,1.24704812,1.13862741,0.00596763,0.33586609
-5.45372686,3.20276037,0.34148327,0.76726676,0.00034777,0.85597459,1.25639375,1.16090394,0.00589253,0.33463978
-5.44772386,3.24944934,0.33886220,0.78068672,0.00034021,0.87162679,1.26386481,1.18063935,0.00581376,0.33392147
-5.44172086,3.28868077,0.33565236,0.79279903,0.00033411,0.88441399,1.26891304,1.19733432,0.00572707,0.33335886
-5.43571786,3.31907905,0.33169478,0.80311426,0.00032905,0.89410836,1.27108892,1.21057593,0.00562930,0.33263994
-5.42971486,3.33956342,0.32688125,0.81123337,0.00032467,0.90054388,1.27004741,1.22004325,0.00551842,0.33149846
-5.42371186,3.34935915,0.32115384,0.81685379,0.00032069,0.90361766,1.26555019,1.22550985,0.00539354,0.32971768
-5.41770885,3.34799895,0.31450266,0.81977218,0.00031688,0.90328941,1.25746449,1.22684329,0.00525489,0.32713233
-5.41170585,3.33531501,0.30696220,0.81988388,0.00031309,0.89957929,1.24575888,1.22400181,0.00510378,0.32362897
-5.40570285,3.31142261,0.29860637,0.81717938,0.00030917,0.89256426,1.23049648,1.21702860,0.00494249,0.31914478
-5.39969985,3.27669644,0.28954251,0.81173796,0.00030504,0.88237316,1.21182584,1.20604394,0.00477422,0.31366495
-5.39369685,3.23174090,0.27990476,0.80371885,0.00030064,0.86918080,1.18997016,1.19123577,0.00460297,0.30721880
-5.38769385,3.17735597,0.26984703,0.79335056,0.00029593,0.85320127,1.16521525,1.17284916,0.00443340,0.29987503
-5.38169085,3.11450018,0.25953581,0.78091865,0.00029089,0.83468079,1.13789674,1.15117507,0.00427074,0.29173607
-5.37568784,3.04425231,0.24914324,0.76675285,0.00028553,0.81389034,1.10838708,1.12653909,0.00412066,0.28293202
-5.36968484,2.96777322,0.23884053,0.75121380,0.00027985,0.79111832,1.07708259,1.09929033,0.00398912,0.27361420
-5.36368184,2.88626934,0.22879204,0.73468020,0.00027386,0.76666344,1.04439127,1.06979112,0.00388225,0.26394874
-5.35767884,2.80095885,0.21915016,0.71753674,0.00026759,0.74082806,1.01072130,1.03840760,0.00380625,0.25411026
-5.35167584,2.71304167,0.21005118,0.70016332,0.00026105,0.71391213,0.97647092,1.00550159,0.00376722,0.24427596
-5.34567284,2.62367380,0.20161200,0.68292583,0.00025429,0.68620781,0.94201955,0.97142381,0.00377109,0.23462017
-5.33966983,2.53394646,0.19392811,0.66616877,0.00024732,0.65799488,0.90772045,0.93650853,0.00382344,0.22530954
-5.33366683,2.44487020,0.18707231,0.65020971,0.00024018,0.62953693,0.87389502,0.90106964,0.00392940,0.21649895
-5.32766383,2.35736379,0.18109467,0.63533562,0.00023291,0.60107839,0.84082857,0.86539801,0.00409351,0.20832814
-5.32166083,2.27224755,0.17602313,0.62180097,0.00022554,0.57284235,0.80876769,0.82976003,0.00431960,0.20091913
-5.31565783,2.19024061,0.17186499,0.60982728,0.00021811,0.54502906,0.77791894,0.79439713,0.00461063,0.19437442
-5.30965483,2.11196138,0.16860901,0.59960395,0.00021065,0.51781514,0.74844887,0.75952604,0.00496857,0.18877579
-5.30365183,2.03793062,0.16622800,0.59128997,0.00020321,0.49135330,0.72048500,0.72533964,0.00539424,0.18418386
-5.29764882,1.96857624,0.16468173,0.58501623,0.00019584,0.46577258,0.69411779,0.69200800,0.00588720,0.18063807
-5.29164582,1.90423937,0.16392015,0.58088823,0.00018856,0.44117896,0.66940320,0.65967975,0.00644564,0.17815730
-5.28564282,1.84518098,0.16388660,0.57898871,0.00018143,0.41765628,0.64636580,0.62848325,0.00706625,0.17674074
-5.27963982,1.79158876,0.16452115,0.57938038,0.00017448,0.39526737,0.62500217,0.59852779,0.00774421,0.17636927
-5.27363682,1.74358392,0.16576371,0.58210838,0.00016775,0.37405533,0.60528448,0.56990458,0.00847308,0.17700695
