energy_ev,total_up,Au_p_up,Au_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.52947732,1.03934362,2.85712299,0.27738116,0.00431497,0.51804491,0.03849922,0.69860637
-5.99399700,4.50757422,1.02655273,2.85095517,0.27485742,0.00426285,0.51854488,0.03786585,0.69055524
-5.98799400,4.47264458,1.01020197,2.83604232,0.27234673,0.00422792,0.51644583,0.03714280,0.68219500
-5.98199100,4.42592613,0.99077634,2.81294026,0.26996489,0.00421144,0.51181888,0.03635547,0.67388238
-5.97598799,4.36888297,0.96882620,2.78235219,0.26782487,0.00421433,0.50478079,0.03553154,0.66598304
-5.96998499,4.30316584,0.94495275,2.74510960,0.26603380,0.00423721,0.49549050,0.03470022,0.65886154
-5.96398199,4.23056720,0.91979201,2.70214966,0.26469011,0.00428036,0.48414472,0.03389147,0.65287120
-5.95797899,4.15297225,0.89399790,2.65448971,0.26388067,0.00434372,0.47097251,0.03313523,0.64834398
-5.95197599,4.07230751,0.86822482,2.60319972,0.26367814,0.00442685,0.45622912,0.03246058,0.64558075
-5.94597299,3.99048845,0.84311046,2.54937335,0.26413860,0.00452899,0.44018926,0.03189496,0.64484222
-5.93996998,3.90936790,0.81925940,2.49409882,0.26529937,0.00464899,0.42314003,0.03146338,0.64634095
-5.93396698,3.83068688,0.79722788,2.43843030,0.26717737,0.00478534,0.40537376,0.03118771,0.65023445
-5.92796398,3.75602956,0.77751042,2.38336096,0.26976785,0.00493621,0.38718097,0.03108602,0.65661985
-5.92196098,3.68678376,0.76052872,2.32979839,0.27304372,0.00509942,0.36884361,0.03117201,0.66553027
-5.91595798,3.62410830,0.74662299,2.27854335,0.27695555,0.00527247,0.35062898,0.03145460,0.67693297
-5.90995498,3.56890836,0.73604624,2.23027254,0.28143223,0.00545259,0.33278428,0.03193756,0.69072948
-5.90395198,3.52181958,0.72896140,2.18552579,0.28638238,0.00563677,0.31553206,0.03261934,0.70675774
-5.89794897,3.48320126,0.72544149,2.14469818,0.29169655,0.00582177,0.29906673,0.03349303,0.72479617
-5.89194597,3.45313890,0.72547257,2.10803716,0.29725014,0.00600419,0.28355205,0.03454645,0.74456958
-5.88594297,3.43145564,0.72895939,2.07564461,0.30290705,0.00618055,0.26911974,0.03576241,0.76575685
-5.87993997,3.41773202,0.73573330,2.04748368,0.30852391,0.00634731,0.25586916,0.03711913,0.78800003
-5.87393697,3.41133306,0.74556205,2.02338980,0.31395479,0.00650097,0.24386795,0.03859074,0.81091462
